file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7AF36D,0,,,,,record0:segment0:timing0-0,,さっきの戦闘のおかげで警戒が厳重なままだ\n見つかるなよ,警戒が厳しい\n気をつけて進んでくれ,,,,NOT_CHECKED,80,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,11,,,,,record10:segment0:timing0-0,エレベーターに乗り込むのは難しそうだな…\n他に地下へ降りるルートはないか？,警戒レベルが高いとその扉は開かないようだな,そのホバー戦車 ずいぶん車高があるな,,,,NOT_CHECKED,63,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,12,,,,,record11:segment0:timing84-183,警戒レベルが高いとその扉は開かないようだな,そのホバー戦車 ずいぶん車高があるな,車体に登れば\n物陰に隠れた敵を見つけられるかも知れんぞ,,,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,13,,,,,record11:segment1:timing0-0,そのホバー戦車 ずいぶん車高があるな,車体に登れば\n物陰に隠れた敵を見つけられるかも知れんぞ,あの戦車 バシリスコみたいにタッパがありやがる,,,,NOT_CHECKED,80,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,14,,,,,record12:segment0:timing90-188,車体に登れば\n物陰に隠れた敵を見つけられるかも知れんぞ,あの戦車 バシリスコみたいにタッパがありやがる,車体の上に上がれば\nいろんな所を偵察しやすくなるんじゃないか？,,,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,15,,,,,record12:segment1:timing0-0,あの戦車 バシリスコみたいにタッパがありやがる,車体の上に上がれば\nいろんな所を偵察しやすくなるんじゃないか？,エレベーターに近づくのは難しいな…\n迂回路はないか？,,,,NOT_CHECKED,92,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,16,,,,,record13:segment0:timing0-0,車体の上に上がれば\nいろんな所を偵察しやすくなるんじゃないか？,エレベーターに近づくのは難しいな…\n迂回路はないか？,その階段は地下へ続いてるのか？,,,,NOT_CHECKED,77,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,17,,,,,record14:segment0:timing0-0,エレベーターに近づくのは難しいな…\n迂回路はないか？,その階段は地下へ続いてるのか？,エレベーターは危険だ 階段で地下へ降りてくれ,,,,NOT_CHECKED,45,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,18,,,,,record15:segment0:timing0-0,その階段は地下へ続いてるのか？,エレベーターは危険だ 階段で地下へ降りてくれ,どうした何してる 先へ進んでくれ\n見つかるなよ,,,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,19,,,,,record16:segment0:timing0-0,エレベーターは危険だ 階段で地下へ降りてくれ,どうした何してる 先へ進んでくれ\n見つかるなよ,扉を押さえろ <I=ACT>だ！,,,,NOT_CHECKED,66,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,20,,,,,record17:segment0:timing0-0,どうした何してる 先へ進んでくれ\n見つかるなよ,扉を押さえろ <I=ACT>だ！,シャッターは<I=ACT>を押して開けるんだ！,<I=ACT>,,,NOT_CHECKED,32,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,21,,,,,record18:segment0:timing0-0,扉を押さえろ <I=ACT>だ！,シャッターは<I=ACT>を押して開けるんだ！,『アイコン』が出たら <I=ACT>を押して,<I=ACT>,,,NOT_CHECKED,55,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,22,,,,,record19:segment0:timing0-0,シャッターは<I=ACT>を押して開けるんだ！,『アイコン』が出たら <I=ACT>を押して,AI兵器がこんなに製造されていたなんて…,<I=ACT>,,,NOT_CHECKED,50,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,23,,,,,record20:segment0:timing0-0,『アイコン』が出たら <I=ACT>を押して,AI兵器がこんなに製造されていたなんて…,そいつはAIポッドの搭載用パネルだろう\nいまAIポッドの姿はみえないけど…,,,,NOT_CHECKED,56,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,24,,,,,record21:segment0:timing0-0,AI兵器がこんなに製造されていたなんて…,そいつはAIポッドの搭載用パネルだろう\nいまAIポッドの姿はみえないけど…,あなたの目的は…\nピースウォーカーのAIポッド破壊だったわね,,,,NOT_CHECKED,102,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,25,,,,,record22:segment0:timing0-0,そいつはAIポッドの搭載用パネルだろう\nいまAIポッドの姿はみえないけど…,あなたの目的は…\nピースウォーカーのAIポッド破壊だったわね,ピースウォーカーの格納庫を探し出し\nAIポッドを破壊するんだ,,,,NOT_CHECKED,85,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,26,,,,,record23:segment0:timing0-0,あなたの目的は…\nピースウォーカーのAIポッド破壊だったわね,ピースウォーカーの格納庫を探し出し\nAIポッドを破壊するんだ,どこかにピースウォーカーの格納庫があるはずだ,,,,NOT_CHECKED,85,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,27,,,,,record24:segment0:timing0-0,ピースウォーカーの格納庫を探し出し\nAIポッドを破壊するんだ,どこかにピースウォーカーの格納庫があるはずだ,時間がない\nピースウォーカーの格納庫へ向かってくれ,,,,NOT_CHECKED,66,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,28,,,,,record25:segment0:timing0-0,どこかにピースウォーカーの格納庫があるはずだ,時間がない\nピースウォーカーの格納庫へ向かってくれ,ピースウォーカーは起動準備中だ\n急いでくれ！,,,,NOT_CHECKED,74,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,29,,,,,record26:segment0:timing0-0,時間がない\nピースウォーカーの格納庫へ向かってくれ,ピースウォーカーは起動準備中だ\n急いでくれ！,,,,,NOT_CHECKED,65,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
