file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7C73AD,0,,,,,record0:segment0:timing0-0,,ゲートが…！\n閉まり切る前に通り抜けろ！,こんな所でRPG！？\nムチャクチャだ！,,,,NOT_CHECKED,59,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,11,,,,,record9:segment1:timing0-0,閉じたゲートはこじ開けて進むしかない,『アイコン』が表示されたら<I=ACT>を\n連打してこじ開けろ！,ゲートはこじ開けるしかなさそうだ,<I=ACT>,,,NOT_CHECKED,81,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,12,,,,,record10:segment0:timing62-123,『アイコン』が表示されたら<I=ACT>を\n連打してこじ開けろ！,ゲートはこじ開けるしかなさそうだ,『アイコン』表示のある場所で<I=ACT>を\n連打するといい,,,,NOT_CHECKED,48,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,13,,,,,record10:segment1:timing0-0,ゲートはこじ開けるしかなさそうだ,『アイコン』表示のある場所で<I=ACT>を\n連打するといい,ゲートを素手で…？　何て言うか \nもっとあんたのことを知りたくなったよ ボス,<I=ACT>,,,NOT_CHECKED,75,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,14,,,,,record11:segment0:timing0-0,『アイコン』表示のある場所で<I=ACT>を\n連打するといい,ゲートを素手で…？　何て言うか \nもっとあんたのことを知りたくなったよ ボス,核発射を止めてくれ！\n管制塔に向かうんだ！,,,,NOT_CHECKED,109,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,15,,,,,record12:segment0:timing0-0,ゲートを素手で…？　何て言うか \nもっとあんたのことを知りたくなったよ ボス,核発射を止めてくれ！\n管制塔に向かうんだ！,鳥が…海鳥が殺される…\n核発射を止めて…,,,,NOT_CHECKED,62,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,16,,,,,record13:segment0:timing0-0,核発射を止めてくれ！\n管制塔に向かうんだ！,鳥が…海鳥が殺される…\n核発射を止めて…,頼む 核発射を阻止してくれ！,,,,NOT_CHECKED,59,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,17,,,,,record14:segment0:timing0-0,鳥が…海鳥が殺される…\n核発射を止めて…,頼む 核発射を阻止してくれ！,管制塔に向かってくれ！,,,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,18,,,,,record15:segment0:timing0-0,頼む 核発射を阻止してくれ！,管制塔に向かってくれ！,チャフだ！　\nチャフグレネードで奴の動きを止めろ！,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,19,,,,,record16:segment0:timing0-0,管制塔に向かってくれ！,チャフだ！　\nチャフグレネードで奴の動きを止めろ！,あいつは測的のために時々ホバリングする\nそこを狙うんだ！,,,,NOT_CHECKED,74,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,20,,,,,record17:segment0:timing0-0,チャフだ！　\nチャフグレネードで奴の動きを止めろ！,あいつは測的のために時々ホバリングする\nそこを狙うんだ！,電子妨害用の武器も効果があるはずだよ！,,,,NOT_CHECKED,83,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,21,,,,,record18:segment0:timing0-0,あいつは測的のために時々ホバリングする\nそこを狙うんだ！,電子妨害用の武器も効果があるはずだよ！,そっちへ行ってどうする,,,,NOT_CHECKED,57,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,22,,,,,record19:segment0:timing0-0,電子妨害用の武器も効果があるはずだよ！,そっちへ行ってどうする,管制塔だ 管制塔を目指して進め！,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,23,,,,,record20:segment0:timing0-0,そっちへ行ってどうする,管制塔だ 管制塔を目指して進め！,北へ向かうんだ,,,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,24,,,,,record21:segment0:timing0-0,管制塔だ 管制塔を目指して進め！,北へ向かうんだ,,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
