character,codepoint,unicode_name,production_occurrences,loading_text_count,record_unique_indices,fixture_hits,JPN001C_present,JPN001C_glyph_index,JPN001C_rect,sample_contexts
么,U+4E48,CJK UNIFIED IDEOGRAPH-4E48,4,3,25;46;50,,NO,0,"(4,1)-(25,67)",我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！ || 这里的人到底怎么回事，怎么全是一群味觉野蛮人！
之,U+4E4B,CJK UNIFIED IDEOGRAPH-4E4B,2,2,22;26,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。
也,U+4E5F,CJK UNIFIED IDEOGRAPH-4E5F,7,6,21;25;26;28;31;34,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。
了,U+4E86,CJK UNIFIED IDEOGRAPH-4E86,11,8,25;26;28;29;35;49;52;53,SNAKE,NO,0,"(4,1)-(25,67)",我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。
事,U+4E8B,CJK UNIFIED IDEOGRAPH-4E8B,2,2,20;50,,YES,145,"(1198,269)-(1264,335)",我只想知道一件事——“真相”。 || 这里的人到底怎么回事，怎么全是一群味觉野蛮人！
于,U+4E8E,CJK UNIFIED IDEOGRAPH-4E8E,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
亡,U+4EA1,CJK UNIFIED IDEOGRAPH-4EA1,1,1,55,,NO,0,"(4,1)-(25,67)",我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
人,U+4EBA,CJK UNIFIED IDEOGRAPH-4EBA,15,12,21;22;24;26;27;36;41;43;46;47;50;52,,YES,147,"(1339,269)-(1405,335)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 杀人换来的肮脏称号，你还一直挂在身上吗？
什,U+4EC0,CJK UNIFIED IDEOGRAPH-4EC0,2,2,25;46,,NO,0,"(4,1)-(25,67)",我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
今,U+4ECA,CJK UNIFIED IDEOGRAPH-4ECA,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
从,U+4ECE,CJK UNIFIED IDEOGRAPH-4ECE,1,1,22,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
代,U+4EE3,CJK UNIFIED IDEOGRAPH-4EE3,1,1,42,,YES,150,"(1547,269)-(1613,335)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
以,U+4EE5,CJK UNIFIED IDEOGRAPH-4EE5,1,1,26,,NO,0,"(4,1)-(25,67)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。
们,U+4EEC,CJK UNIFIED IDEOGRAPH-4EEC,16,10,26;28;29;37;39;40;44;45;55;56,SNAKE;KAZUHIRA_MILLER;RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。
件,U+4EF6,CJK UNIFIED IDEOGRAPH-4EF6,1,1,20,,NO,0,"(4,1)-(25,67)",我只想知道一件事——“真相”。
任,U+4EFB,CJK UNIFIED IDEOGRAPH-4EFB,1,1,23,,YES,152,"(1685,269)-(1751,335)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？
份,U+4EFD,CJK UNIFIED IDEOGRAPH-4EFD,1,1,35,,NO,0,"(4,1)-(25,67)",你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
会,U+4F1A,CJK UNIFIED IDEOGRAPH-4F1A,10,9,27;30;31;32;37;43;44;52;55,PAZ;KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 我是和平的使者。\n我会守望着你。 || 光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。
伟,U+4F1F,CJK UNIFIED IDEOGRAPH-4F1F,1,1,56,,NO,0,"(4,1)-(25,67)",难道……你就是伟大的领袖……\n请……带领我们……
但,U+4F46,CJK UNIFIED IDEOGRAPH-4F46,6,6,28;35;37;45;54;55,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。 || 我们只会战斗……\n但我们要活得不受国家局势摆布。
住,U+4F4F,CJK UNIFIED IDEOGRAPH-4F4F,1,1,41,,NO,0,"(4,1)-(25,67)",人到最后要守住的……不是生命，而是名声！
体,U+4F53,CJK UNIFIED IDEOGRAPH-4F53,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
你,U+4F60,CJK UNIFIED IDEOGRAPH-4F60,13,11,21;22;23;24;25;30;35;38;40;51;56,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？
使,U+4F7F,CJK UNIFIED IDEOGRAPH-4F7F,2,2,30;34,,YES,155,"(1889,269)-(1955,335)",我是和平的使者。\n我会守望着你。 || 即使知道真相，也无法改变过去。
侮,U+4FAE,CJK UNIFIED IDEOGRAPH-4FAE,1,1,51,,NO,0,"(4,1)-(25,67)",拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
候,U+5019,CJK UNIFIED IDEOGRAPH-5019,1,1,46,,NO,0,"(4,1)-(25,67)",敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
借,U+501F,CJK UNIFIED IDEOGRAPH-501F,1,1,23,,NO,0,"(4,1)-(25,67)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？
做,U+505A,CJK UNIFIED IDEOGRAPH-505A,1,1,25,,NO,0,"(4,1)-(25,67)",我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。
像,U+50CF,CJK UNIFIED IDEOGRAPH-50CF,1,1,25,,NO,0,"(4,1)-(25,67)",我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。
先,U+5148,CJK UNIFIED IDEOGRAPH-5148,1,1,54,,NO,0,"(4,1)-(25,67)",我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
光,U+5149,CJK UNIFIED IDEOGRAPH-5149,1,1,31,,NO,0,"(4,1)-(25,67)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。
全,U+5168,CJK UNIFIED IDEOGRAPH-5168,4,2,45;50,,YES,161,"(278,336)-(344,402)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。 || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。 || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
兵,U+5175,CJK UNIFIED IDEOGRAPH-5175,1,1,51,,YES,163,"(419,336)-(485,402)",拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
具,U+5177,CJK UNIFIED IDEOGRAPH-5177,1,1,22,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
冲,U+51B2,CJK UNIFIED IDEOGRAPH-51B2,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
准,U+51C6,CJK UNIFIED IDEOGRAPH-51C6,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
切,U+5207,CJK UNIFIED IDEOGRAPH-5207,1,1,35,,NO,0,"(4,1)-(25,67)",你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
利,U+5229,CJK UNIFIED IDEOGRAPH-5229,3,3,29;38;55,SNAKE,YES,168,"(774,336)-(840,402)",听好了，对我们来说，没有胜利可言。 || 你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？ || 我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
别,U+522B,CJK UNIFIED IDEOGRAPH-522B,1,1,53,,NO,0,"(4,1)-(25,67)",我在想，要不要别研究鸟了，自己飞上天空。
到,U+5230,CJK UNIFIED IDEOGRAPH-5230,7,7,22;31;32;41;48;50;52,PAZ,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || 我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。
前,U+524D,CJK UNIFIED IDEOGRAPH-524D,2,2,22;25,,YES,169,"(844,336)-(910,402)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。
力,U+529B,CJK UNIFIED IDEOGRAPH-529B,5,3,23;27;45,,YES,171,"(984,336)-(1050,402)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？ || 不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
功,U+529F,CJK UNIFIED IDEOGRAPH-529F,2,2,52;54,,YES,172,"(1053,336)-(1119,402)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。 || 我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
务,U+52A1,CJK UNIFIED IDEOGRAPH-52A1,1,1,23,,NO,0,"(4,1)-(25,67)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？
势,U+52BF,CJK UNIFIED IDEOGRAPH-52BF,1,1,37,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",我们只会战斗……\n但我们要活得不受国家局势摆布。
北,U+5317,CJK UNIFIED IDEOGRAPH-5317,1,1,39,RAMON_GALVEZ_MENA,YES,176,"(1329,336)-(1395,402)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。
区,U+533A,CJK UNIFIED IDEOGRAPH-533A,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
十,U+5341,CJK UNIFIED IDEOGRAPH-5341,1,1,25,,NO,0,"(4,1)-(25,67)",我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。
千,U+5343,CJK UNIFIED IDEOGRAPH-5343,1,1,36,,YES,177,"(1400,336)-(1466,402)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
卖,U+5356,CJK UNIFIED IDEOGRAPH-5356,1,1,54,,NO,0,"(4,1)-(25,67)",我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
南,U+5357,CJK UNIFIED IDEOGRAPH-5357,1,1,39,RAMON_GALVEZ_MENA,YES,178,"(1471,336)-(1537,402)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。
博,U+535A,CJK UNIFIED IDEOGRAPH-535A,1,1,44,,YES,179,"(1540,336)-(1606,402)",……博士，和平不会自己走来。\n我们只能彼此走向对方。
即,U+5373,CJK UNIFIED IDEOGRAPH-5373,1,1,34,,NO,0,"(4,1)-(25,67)",即使知道真相，也无法改变过去。
去,U+53BB,CJK UNIFIED IDEOGRAPH-53BB,4,4,28;31;34;35,,YES,180,"(1609,336)-(1675,402)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || 即使知道真相，也无法改变过去。
又,U+53C8,CJK UNIFIED IDEOGRAPH-53C8,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
受,U+53D7,CJK UNIFIED IDEOGRAPH-53D7,2,2,37;49,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",我们只会战斗……\n但我们要活得不受国家局势摆布。 || ……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！
变,U+53D8,CJK UNIFIED IDEOGRAPH-53D8,2,2,34;54,,NO,0,"(4,1)-(25,67)",即使知道真相，也无法改变过去。 || 我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
只,U+53EA,CJK UNIFIED IDEOGRAPH-53EA,4,4,20;27;37;44,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",我只想知道一件事——“真相”。 || 不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 我们只会战斗……\n但我们要活得不受国家局势摆布。
可,U+53EF,CJK UNIFIED IDEOGRAPH-53EF,2,2,29;36,SNAKE,NO,0,"(4,1)-(25,67)",听好了，对我们来说，没有胜利可言。 || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
号,U+53F7,CJK UNIFIED IDEOGRAPH-53F7,1,1,24,,NO,0,"(4,1)-(25,67)",杀人换来的肮脏称号，你还一直挂在身上吗？
叹,U+53F9,CJK UNIFIED IDEOGRAPH-53F9,1,1,31,,NO,0,"(4,1)-(25,67)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。
吃,U+5403,CJK UNIFIED IDEOGRAPH-5403,1,1,46,,NO,0,"(4,1)-(25,67)",敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
同,U+540C,CJK UNIFIED IDEOGRAPH-540C,1,1,55,,YES,181,"(1682,336)-(1748,402)",我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
名,U+540D,CJK UNIFIED IDEOGRAPH-540D,5,4,32;41;42;51,PAZ,YES,182,"(1754,336)-(1820,402)",我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。 || 人到最后要守住的……不是生命，而是名声！ || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
后,U+540E,CJK UNIFIED IDEOGRAPH-540E,4,4,21;41;42;54,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 人到最后要守住的……不是生命，而是名声！ || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
向,U+5411,CJK UNIFIED IDEOGRAPH-5411,3,3,31;44;45,,YES,183,"(1827,336)-(1893,402)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || ……博士，和平不会自己走来。\n我们只能彼此走向对方。 || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
吗,U+5417,CJK UNIFIED IDEOGRAPH-5417,5,5,21;23;24;38;51,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？ || 杀人换来的肮脏称号，你还一直挂在身上吗？
吧,U+5427,CJK UNIFIED IDEOGRAPH-5427,1,1,25,,NO,0,"(4,1)-(25,67)",我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。
听,U+542C,CJK UNIFIED IDEOGRAPH-542C,2,2,22;29,SNAKE,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 听好了，对我们来说，没有胜利可言。
告,U+544A,CJK UNIFIED IDEOGRAPH-544A,1,1,48,,NO,0,"(4,1)-(25,67)",如果遇到没见过的生物，记得告诉我。
味,U+5473,CJK UNIFIED IDEOGRAPH-5473,1,1,50,,YES,184,"(1898,336)-(1964,402)",这里的人到底怎么回事，怎么全是一群味觉野蛮人！
命,U+547D,CJK UNIFIED IDEOGRAPH-547D,6,5,27;41;51;54;55,,YES,185,"(2,403)-(68,469)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 人到最后要守住的……不是生命，而是名声！ || 拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
和,U+548C,CJK UNIFIED IDEOGRAPH-548C,8,7,22;30;31;32;39;44;54,PAZ;RAMON_GALVEZ_MENA,YES,186,"(72,403)-(138,469)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 我是和平的使者。\n我会守望着你。 || 光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。
哪,U+54EA,CJK UNIFIED IDEOGRAPH-54EA,1,1,46,,NO,0,"(4,1)-(25,67)",敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
器,U+5668,CJK UNIFIED IDEOGRAPH-5668,2,2,43;51,,YES,188,"(212,403)-(278,469)",机器不会犯错。\n犯错的永远是人类。 || 拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
回,U+56DE,CJK UNIFIED IDEOGRAPH-56DE,1,1,50,,NO,0,"(4,1)-(25,67)",这里的人到底怎么回事，怎么全是一群味觉野蛮人！
因,U+56E0,CJK UNIFIED IDEOGRAPH-56E0,3,3,26;36;40,,NO,0,"(4,1)-(25,67)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || 正因为知道你是“BIG BOSS”，我们才来拜托你。
国,U+56FD,CJK UNIFIED IDEOGRAPH-56FD,6,5,26;28;35;37;54,KAZUHIRA_MILLER,YES,189,"(285,403)-(351,469)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
在,U+5728,CJK UNIFIED IDEOGRAPH-5728,8,8,22;24;28;36;42;49;53;54,,YES,190,"(355,403)-(421,469)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 杀人换来的肮脏称号，你还一直挂在身上吗？ || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。
地,U+5730,CJK UNIFIED IDEOGRAPH-5730,3,3,27;38;46,,YES,191,"(424,403)-(490,469)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？ || 敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
场,U+573A,CJK UNIFIED IDEOGRAPH-573A,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
基,U+57FA,CJK UNIFIED IDEOGRAPH-57FA,1,1,52,,YES,192,"(492,403)-(558,469)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
士,U+58EB,CJK UNIFIED IDEOGRAPH-58EB,1,1,44,,YES,196,"(770,403)-(836,469)",……博士，和平不会自己走来。\n我们只能彼此走向对方。
声,U+58F0,CJK UNIFIED IDEOGRAPH-58F0,1,1,41,,YES,197,"(840,403)-(906,469)",人到最后要守住的……不是生命，而是名声！
多,U+591A,CJK UNIFIED IDEOGRAPH-591A,3,2,28;55,,YES,200,"(1050,403)-(1116,469)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
大,U+5927,CJK UNIFIED IDEOGRAPH-5927,4,3,39;49;56,RAMON_GALVEZ_MENA,YES,201,"(1120,403)-(1186,469)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。 || 中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。 || ……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！
天,U+5929,CJK UNIFIED IDEOGRAPH-5929,2,2,47;53,,NO,0,"(4,1)-(25,67)",总有一天，我想成为猎人。 || 我在想，要不要别研究鸟了，自己飞上天空。
女,U+5973,CJK UNIFIED IDEOGRAPH-5973,1,1,22,,YES,203,"(1260,403)-(1326,469)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
她,U+5979,CJK UNIFIED IDEOGRAPH-5979,1,1,21,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
好,U+597D,CJK UNIFIED IDEOGRAPH-597D,1,1,29,SNAKE,NO,0,"(4,1)-(25,67)",听好了，对我们来说，没有胜利可言。
如,U+5982,CJK UNIFIED IDEOGRAPH-5982,2,2,36;48,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || 如果遇到没见过的生物，记得告诉我。
始,U+59CB,CJK UNIFIED IDEOGRAPH-59CB,1,1,35,,YES,205,"(1399,403)-(1465,469)",你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
威,U+5A01,CJK UNIFIED IDEOGRAPH-5A01,2,1,45,,NO,0,"(4,1)-(25,67)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。 || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
子,U+5B50,CJK UNIFIED IDEOGRAPH-5B50,1,1,49,,YES,206,"(1469,403)-(1535,469)",……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！
字,U+5B57,CJK UNIFIED IDEOGRAPH-5B57,2,2,32;51,PAZ,NO,0,"(4,1)-(25,67)",我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。 || 拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
存,U+5B58,CJK UNIFIED IDEOGRAPH-5B58,1,1,36,,YES,207,"(1539,403)-(1605,469)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
孩,U+5B69,CJK UNIFIED IDEOGRAPH-5B69,1,1,49,,NO,0,"(4,1)-(25,67)",……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！
它,U+5B83,CJK UNIFIED IDEOGRAPH-5B83,1,1,31,,NO,0,"(4,1)-(25,67)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。
