character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
+,U+002B,PLUS SIGN,Sm,Basic Latin,170,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,"LOOSE_OLANG/005184E3#3247: 左摇杆+攻击按钮（轻按） || LOOSE_OLANG/005184E3#3248: 左摇杆+蹲下按钮 || LOOSE_OLANG/005184E3#3249: 左摇杆+攻击按钮 || LOOSE_OLANG/005184E3#3251: 左摇杆+徒手攻击按钮 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6932: 射击尼加拉瓜美军导弹基地・通用口的所有靶子（目标）。仅限SINGLE。时间限制：01'00""（射中靶子时+00'03""～+00'07""）目标数：32",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
",",U+002C,COMMA,Po,Basic Latin,105,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,"YPK_GTT/1C79F2ED#9: 哥斯达黎加铁路轨距1,067毫米，和日本国铁一样。 || LOOSE_OLANG/005184E3#3266: 任务区域：怪物岛狩猎GearREX。CAPCOMCO.,LTD. || LOOSE_OLANG/005184E3#3267: 任务区域：怪物岛狩猎GearREX。CAPCOMCO.,LTD. || LOOSE_OLANG/005184E3#3268: 任务区域：怪物岛狩猎轰龙。CAPCOMCO.,LTD. || LOOSE_OLANG/005184E3#3269: 任务区域：怪物岛狩猎轰龙。CAPCOMCO.,LTD.",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
-,U+002D,HYPHEN-MINUS,Pd,Basic Latin,5112,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#141: 要是Snake，就是“Snake-yan”。也可以叫我“Kazu-yan”。 || YPK_GTT/1C7679A5#122: 要和同伴通信，就从菜单窗口使用CO-OPS通信。 || YPK_GTT/1C7679A5#124: 使用CO-OPS通信，就能在不惊动周围的情况下联系同伴。 || YPK_GTT/1C7679A5#125: 要和同伴通信，按使用CO-OPS通信。 || YPK_GTT/1C7679A5#283: 要使用“人间弹弓虎。”，所有人都进入CO-OP状态！,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
.,U+002E,FULL STOP,Po,Basic Latin,1691,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F2AD#48: Mk.22麻醉枪让敌人睡着。 || YPK_GTT/1C79F46D#44: 圆周率是3.14159265358979323846 || YPK_GTT/1C79F46D#45: 圆周率是3.141602653699679724673 || YPK_GTT/1C79F46D#46: 圆周率是3.2546373469888888…… || YPK_GTT/1C79F46D#59: 圆周率是3.2546373469888888……,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
/,U+002F,SOLIDUS,Po,Basic Latin,924,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/0005EE2F#3061: SF杂志/2010年7月号 || LOOSE_OLANG/00225520#3106: 【RC225/02/18】键盘用文本 || LOOSE_OLANG/00225520#3116: 返回：使用/取消战吼： || LOOSE_OLANG/00225520#3119: 选择/取消选择： || LOOSE_OLANG/0066E64E#3398: 蹲下/匍匐,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
0,U+0030,DIGIT ZERO,Nd,Basic Latin,8260,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,"YPK_GTT/1C7679A5#127: 装备军粮后，即使LIFE降到0也会自动恢复。 || YPK_GTT/1C79F2ED#9: 哥斯达黎加铁路轨距1,067毫米，和日本国铁一样。 || YPK_GTT/1C79F46D#45: 圆周率是3.141602653699679724673 || YPK_GTT/1C79F46D#48: Jack，让这成为我们一生中最棒的10分钟吧。你是个战士。 || YPK_GTT/1C7AF2ED#2: 听说Basilisco足有30瓦拉25m高。",CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
1,U+0031,DIGIT ONE,Nd,Basic Latin,6976,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,"YPK_GTT/1C79F2AD#50: M16是突击步枪，可以连发。 || YPK_GTT/1C79F2ED#9: 哥斯达黎加铁路轨距1,067毫米，和日本国铁一样。 || YPK_GTT/1C79F46D#44: 圆周率是3.14159265358979323846 || YPK_GTT/1C79F46D#45: 圆周率是3.141602653699679724673 || YPK_GTT/1C79F46D#48: Jack，让这成为我们一生中最棒的10分钟吧。你是个战士。",CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
2,U+0032,DIGIT TWO,Nd,Basic Latin,4032,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#91: 听说日本有接近2米大的大闪蝶。真的吗？ || YPK_GTT/1C79F2AD#48: Mk.22麻醉枪让敌人睡着。 || YPK_GTT/1C79F46D#44: 圆周率是3.14159265358979323846 || YPK_GTT/1C79F46D#45: 圆周率是3.141602653699679724673 || YPK_GTT/1C79F46D#46: 圆周率是3.2546373469888888……,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
3,U+0033,DIGIT THREE,Nd,Basic Latin,2516,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F46D#44: 圆周率是3.14159265358979323846 || YPK_GTT/1C79F46D#45: 圆周率是3.141602653699679724673 || YPK_GTT/1C79F46D#46: 圆周率是3.2546373469888888…… || YPK_GTT/1C79F46D#47: 大约3 || YPK_GTT/1C79F46D#59: 圆周率是3.2546373469888888……,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
4,U+0034,DIGIT FOUR,Nd,Basic Latin,3117,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#117: 摧毁敌人的物资。使用C4炸弹！ || YPK_GTT/1C0FB26B#118: 用C4炸掉集装箱TARGET。 || YPK_GTT/1C0FB26B#119: 用C4把敌人的物资炸飞！ || YPK_GTT/1C0FB26B#170: 把所有卡车炸掉。用C4炸弹！ || YPK_GTT/1C0FB26B#174: 用C4炸弹摧毁卡车。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
5,U+0035,DIGIT FIVE,Nd,Basic Latin,2618,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F46D#44: 圆周率是3.14159265358979323846 || YPK_GTT/1C79F46D#45: 圆周率是3.141602653699679724673 || YPK_GTT/1C79F46D#46: 圆周率是3.2546373469888888…… || YPK_GTT/1C79F46D#59: 圆周率是3.2546373469888888…… || YPK_GTT/1C7AF2ED#2: 听说Basilisco足有30瓦拉25m高。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
6,U+0036,DIGIT SIX,Nd,Basic Latin,2835,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,"YPK_GTT/1C79F2AD#50: M16是突击步枪，可以连发。 || YPK_GTT/1C79F2ED#9: 哥斯达黎加铁路轨距1,067毫米，和日本国铁一样。 || YPK_GTT/1C79F46D#44: 圆周率是3.14159265358979323846 || YPK_GTT/1C79F46D#45: 圆周率是3.141602653699679724673 || YPK_GTT/1C79F46D#46: 圆周率是3.2546373469888888……",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
7,U+0037,DIGIT SEVEN,Nd,Basic Latin,2554,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,"YPK_GTT/1C79F2ED#9: 哥斯达黎加铁路轨距1,067毫米，和日本国铁一样。 || YPK_GTT/1C79F46D#44: 圆周率是3.14159265358979323846 || YPK_GTT/1C79F46D#45: 圆周率是3.141602653699679724673 || YPK_GTT/1C79F46D#46: 圆周率是3.2546373469888888…… || YPK_GTT/1C79F46D#59: 圆周率是3.2546373469888888……",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
8,U+0038,DIGIT EIGHT,Nd,Basic Latin,1012,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F46D#44: 圆周率是3.14159265358979323846 || YPK_GTT/1C79F46D#46: 圆周率是3.2546373469888888…… || YPK_GTT/1C79F46D#59: 圆周率是3.2546373469888888…… || LOOSE_OLANG/0005EE2F#3076: 《荒川爆笑团》第8卷 || LOOSE_OLANG/00225520#3106: 【RC225/02/18】键盘用文本,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
9,U+0039,DIGIT NINE,Nd,Basic Latin,2160,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F46D#44: 圆周率是3.14159265358979323846 || YPK_GTT/1C79F46D#45: 圆周率是3.141602653699679724673 || YPK_GTT/1C79F46D#46: 圆周率是3.2546373469888888…… || YPK_GTT/1C79F46D#59: 圆周率是3.2546373469888888…… || LOOSE_OLANG/005184E3#3207: “《少年Magazine》是1953年3月17日创刊的。那时候我还只是个婴儿呢。”,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
:,U+003A,COLON,Po,Basic Latin,728,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#5539: CANCEL: || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6010: 1974年11月4日15:42 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6022: 1974年11月4日20:31 || STAGEDAT_OLANG/LANG_ONLINE_ERROR.OLANG#6119: 请选择要加入的主机。:确定:返回:刷新列表 || STAGEDAT_OLANG/LANG_ONLINE_ERROR.OLANG#6125: 加入所选主机的游戏。确定吗？:是:否,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
;,U+003B,SEMICOLON,Po,Basic Latin,1,STAGEDAT_OLANG,"STAGEDAT_OLANG/LANG_TITLE_NAMEENTRY.OLANG#22846: 请输入15个字符以内的玩家名称。※只能使用大写英文字母、数字，以及部分符号（!""#$&'()=@[];:,./?_^+-）。",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
<,U+003C,LESS-THAN SIGN,Sm,Basic Latin,57,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/005184E3#3365: <ADDSTAGE> || STAGEDAT_OLANG/LANG_MISSION_ENDTELOP.OLANG#6697: <<狩猎任务：雄火龙>> || STAGEDAT_OLANG/LANG_MISSION_ENDTELOP.OLANG#6698: <<狩猎任务：轰龙>> || STAGEDAT_OLANG/LANG_MISSION_ENDTELOP.OLANG#6699: <<狩猎任务：GearREX>> || STAGEDAT_OLANG/LANG_MYOUTER_DEVELOP.OLANG#9566: <>,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
=,U+003D,EQUALS SIGN,Sm,Basic Latin,3,SLOT_OLANG | STAGEDAT_OLANG,"STAGEDAT_OLANG/LANG_TITLE_NAMEENTRY.OLANG#22846: 请输入15个字符以内的玩家名称。※只能使用大写英文字母、数字，以及部分符号（!""#$&'()=@[];:,./?_^+-）。 || SLOT_OLANG/5D83B291#61983: x= || SLOT_OLANG/5D83B291#62177: x=",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
>,U+003E,GREATER-THAN SIGN,Sm,Basic Latin,61,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/005184E3#3365: <ADDSTAGE> || STAGEDAT_OLANG/LANG_MISSION_ENDTELOP.OLANG#6697: <<狩猎任务：雄火龙>> || STAGEDAT_OLANG/LANG_MISSION_ENDTELOP.OLANG#6698: <<狩猎任务：轰龙>> || STAGEDAT_OLANG/LANG_MISSION_ENDTELOP.OLANG#6699: <<狩猎任务：GearREX>> || STAGEDAT_OLANG/LANG_MYOUTER_DEVELOP.OLANG#9566: <>,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
?,U+003F,QUESTION MARK,Po,Basic Latin,202,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_EXTRA.OLANG#7747: ????? || STAGEDAT_OLANG/LANG_EXTRA.OLANG#7772: ????? || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8051: 机密文件（研发班用设计图纸）。记载了“???”的开发条件。 || STAGEDAT_OLANG/LANG_EXTRA.OLANG#12665: ????? || STAGEDAT_OLANG/LANG_EXTRA.OLANG#12690: ?????,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
@,U+0040,COMMERCIAL AT,Po,Basic Latin,39,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_VOCALOID_KEYBOARD.OLANG#10524: I@ || STAGEDAT_OLANG/LANG_VOCALOID_KEYBOARD.OLANG#10527: Q@ || STAGEDAT_OLANG/LANG_VOCALOID_KEYBOARD.OLANG#10549: O@ || STAGEDAT_OLANG/LANG_VOCALOID_KEYBOARD.OLANG#10551: @U || STAGEDAT_OLANG/LANG_VOCALOID_KEYBOARD.OLANG#10554: @r,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
A,U+0041,LATIN CAPITAL LETTER A,Lu,Basic Latin,16940,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#30: 看到什么了吗？难道是UMA！？ || YPK_GTT/1C0FB26B#40: 原来幽灵FANTASMA真的存在。 || YPK_GTT/1C0FB26B#41: 快拍下幽灵FANTASMA的照片。我也想看看。 || YPK_GTT/1C0FB26B#77: 拜托，快找到同志COMPA！ || YPK_GTT/1C0FB26B#79: 拜托！无论如何都要救出同志COMPA！,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
B,U+0042,LATIN CAPITAL LETTER B,Lu,Basic Latin,5641,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#9: 不愧是Boss！真让人佩服。 || YPK_GTT/1C0FB26B#120: 回收Boss的全部装备。我们要尽快救他，快！ || YPK_GTT/1C0FB26B#121: Boss的装备应该还有。全部回收。 || YPK_GTT/1C0FB26B#123: 干得好，这下可以着手营救Boss了！ || YPK_GTT/1C0FB26B#166: 大人物就是好啊，这么闲……啊，我可不是说Boss！,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
C,U+0043,LATIN CAPITAL LETTER C,Lu,Basic Latin,9774,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#77: 拜托，快找到同志COMPA！ || YPK_GTT/1C0FB26B#79: 拜托！无论如何都要救出同志COMPA！ || YPK_GTT/1C0FB26B#88: 绝不能抛下完成危险任务的同伴。全力掩护COVER他撤离。 || YPK_GTT/1C0FB26B#103: 要审问，就先用CQC控制住对方，再按。 || YPK_GTT/1C0FB26B#104: 要审问，就先用CQC控制住对方，再按。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
D,U+0044,LATIN CAPITAL LETTER D,Lu,Basic Latin,5005,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#24: 是终结THEEND。 || YPK_GTT/1C0FB26B#182: 目标是让所有士兵投降HOLDUP……拜托，别伤害任何人。 || YPK_GTT/1C0FB26B#183: 这次的目标是让所有士兵投降HOLDUP。 || YPK_GTT/1C0FB26B#184: 不要乱开枪。目标是让所有士兵投降HOLDUP。 || YPK_GTT/1C677327#10: 没有ID卡就进不了研究设施LAB。回去找。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
E,U+0045,LATIN CAPITAL LETTER E,Lu,Basic Latin,19082,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#24: 是终结THEEND。 || YPK_GTT/1C0FB26B#76: 拜托，救救FSLNFRENTE的士兵。 || YPK_GTT/1C0FB26B#88: 绝不能抛下完成危险任务的同伴。全力掩护COVER他撤离。 || YPK_GTT/1C0FB26B#118: 用C4炸掉集装箱TARGET。 || YPK_GTT/1C0FB26B#165: 指挥官居然这么闲……在FSLNFRENTE可不可能这样。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
F,U+0046,LATIN CAPITAL LETTER F,Lu,Basic Latin,2495,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#40: 原来幽灵FANTASMA真的存在。 || YPK_GTT/1C0FB26B#41: 快拍下幽灵FANTASMA的照片。我也想看看。 || YPK_GTT/1C0FB26B#76: 拜托，救救FSLNFRENTE的士兵。 || YPK_GTT/1C0FB26B#165: 指挥官居然这么闲……在FSLNFRENTE可不可能这样。 || YPK_GTT/1C0FB26B#176: 继续把那些小UFO打下来。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
G,U+0047,LATIN CAPITAL LETTER G,Lu,Basic Latin,5431,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#118: 用C4炸掉集装箱TARGET。 || YPK_GTT/1C0FB26B#135: 很好！接下来赶往回收地点GOAL！ || YPK_GTT/1C0FB26B#142: 不知怎么……GoGo……突然想吃猪肉了…… || YPK_GTT/1C0FB26B#159: 被发现就GameOver。 || YPK_GTT/1C0FB26B#243: 真是的……Zadornov恐怕连强制收容所LAGER都能逃出去。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
H,U+0048,LATIN CAPITAL LETTER H,Lu,Basic Latin,2548,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#24: 是终结THEEND。 || YPK_GTT/1C0FB26B#44: 幽灵？没兴趣。要是Harpy我倒想看看…… || YPK_GTT/1C0FB26B#177: 用HoldUp控制所有敌人！ || YPK_GTT/1C0FB26B#178: 一旦被发现就完了。用HoldUp控制他们。 || YPK_GTT/1C0FB26B#182: 目标是让所有士兵投降HOLDUP……拜托，别伤害任何人。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
I,U+0049,LATIN CAPITAL LETTER I,Lu,Basic Latin,9471,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#189: 要找出狙击手SNIPER很困难……但别放弃，让他们失去战斗能力。 || YPK_GTT/1C677327#10: 没有ID卡就进不了研究设施LAB。回去找。 || YPK_GTT/1C677327#11: 先拿到ID卡。 || YPK_GTT/1C677327#12: 寻找拿着ID卡的士兵。他在凤尾绿咬鹃鸣叫的森林里。 || YPK_GTT/1C677327#28: 听说拿着ID卡的敌兵穿着橙色夹克。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
J,U+004A,LATIN CAPITAL LETTER J,Lu,Basic Latin,289,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#88: Jet'aime… || YPK_GTT/1C79F36D#5: 我以前也常和朋友爬上屋顶玩。被老爸MIVIEJO发现就会挨揍。 || YPK_GTT/1C79F46D#29: Jack……！ || YPK_GTT/1C79F46D#48: Jack，让这成为我们一生中最棒的10分钟吧。你是个战士。 || YPK_GTT/1C79F46D#50: Jack？这些伪装数据我无法停止。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
