font,xpr,character,codepoint,glyph_index
JPN0007,0007ccd8.xpr,ò,U+00F2,139
JPN0007,0007ccd8.xpr,ó,U+00F3,140
JPN0007,0007ccd8.xpr,ô,U+00F4,141
JPN0007,0007ccd8.xpr,õ,U+00F5,142
JPN0007,0007ccd8.xpr,ö,U+00F6,143
JPN0007,0007ccd8.xpr,ù,U+00F9,144
JPN0007,0007ccd8.xpr,ú,U+00FA,145
JPN0007,0007ccd8.xpr,û,U+00FB,146
JPN0007,0007ccd8.xpr,ü,U+00FC,147
JPN0007,0007ccd8.xpr,ĉ,U+0109,148
JPN0007,0007ccd8.xpr,Œ,U+0152,149
JPN0007,0007ccd8.xpr,œ,U+0153,150
JPN0007,0007ccd8.xpr,Ѐ,U+0400,151
JPN0007,0007ccd8.xpr,–,U+2013,152
JPN0007,0007ccd8.xpr,’,U+2019,153
JPN0007,0007ccd8.xpr,“,U+201C,154
JPN0007,0007ccd8.xpr,”,U+201D,155
JPN0007,0007ccd8.xpr,„,U+201E,156
JPN0007,0007ccd8.xpr,•,U+2022,157
JPN0007,0007ccd8.xpr,…,U+2026,158
JPN0007,0007ccd8.xpr,™,U+2122,159
JPN0007,0007ccd8.xpr,□,U+25A1,160
JPN0007,0007ccd8.xpr,△,U+25B3,161
JPN0007,0007ccd8.xpr,○,U+25CB,162
JPN0007,0007ccd8.xpr,　,U+3000,163
JPN0007,0007ccd8.xpr,、,U+3001,164
JPN0007,0007ccd8.xpr,。,U+3002,165
JPN0007,0007ccd8.xpr,〇,U+3007,166
JPN0007,0007ccd8.xpr,「,U+300C,167
JPN0007,0007ccd8.xpr,」,U+300D,168
JPN0007,0007ccd8.xpr,『,U+300E,169
JPN0007,0007ccd8.xpr,』,U+300F,170
JPN0007,0007ccd8.xpr,【,U+3010,171
JPN0007,0007ccd8.xpr,】,U+3011,172
JPN0007,0007ccd8.xpr,あ,U+3042,173
JPN0007,0007ccd8.xpr,い,U+3044,174
JPN0007,0007ccd8.xpr,う,U+3046,175
JPN0007,0007ccd8.xpr,え,U+3048,176
JPN0007,0007ccd8.xpr,お,U+304A,177
JPN0007,0007ccd8.xpr,か,U+304B,178
JPN0007,0007ccd8.xpr,が,U+304C,179
JPN0007,0007ccd8.xpr,き,U+304D,180
JPN0007,0007ccd8.xpr,ぎ,U+304E,181
JPN0007,0007ccd8.xpr,く,U+304F,182
JPN0007,0007ccd8.xpr,け,U+3051,183
JPN0007,0007ccd8.xpr,げ,U+3052,184
JPN0007,0007ccd8.xpr,こ,U+3053,185
JPN0007,0007ccd8.xpr,ご,U+3054,186
JPN0007,0007ccd8.xpr,さ,U+3055,187
JPN0007,0007ccd8.xpr,ざ,U+3056,188
JPN0007,0007ccd8.xpr,し,U+3057,189
JPN0007,0007ccd8.xpr,じ,U+3058,190
JPN0007,0007ccd8.xpr,す,U+3059,191
JPN0007,0007ccd8.xpr,ず,U+305A,192
JPN0007,0007ccd8.xpr,せ,U+305B,193
JPN0007,0007ccd8.xpr,そ,U+305D,194
JPN0007,0007ccd8.xpr,た,U+305F,195
JPN0007,0007ccd8.xpr,だ,U+3060,196
JPN0007,0007ccd8.xpr,ち,U+3061,197
JPN0007,0007ccd8.xpr,っ,U+3063,198
JPN0007,0007ccd8.xpr,つ,U+3064,199
JPN0007,0007ccd8.xpr,づ,U+3065,200
JPN0007,0007ccd8.xpr,て,U+3066,201
JPN0007,0007ccd8.xpr,で,U+3067,202
JPN0007,0007ccd8.xpr,と,U+3068,203
JPN0007,0007ccd8.xpr,ど,U+3069,204
JPN0007,0007ccd8.xpr,な,U+306A,205
JPN0007,0007ccd8.xpr,に,U+306B,206
JPN0007,0007ccd8.xpr,の,U+306E,207
JPN0007,0007ccd8.xpr,は,U+306F,208
JPN0007,0007ccd8.xpr,ば,U+3070,209
JPN0007,0007ccd8.xpr,び,U+3073,210
JPN0007,0007ccd8.xpr,ぴ,U+3074,211
JPN0007,0007ccd8.xpr,ぶ,U+3076,212
JPN0007,0007ccd8.xpr,へ,U+3078,213
JPN0007,0007ccd8.xpr,ほ,U+307B,214
JPN0007,0007ccd8.xpr,ぼ,U+307C,215
JPN0007,0007ccd8.xpr,ま,U+307E,216
JPN0007,0007ccd8.xpr,み,U+307F,217
JPN0007,0007ccd8.xpr,め,U+3081,218
JPN0007,0007ccd8.xpr,も,U+3082,219
JPN0007,0007ccd8.xpr,ゃ,U+3083,220
JPN0007,0007ccd8.xpr,や,U+3084,221
JPN0007,0007ccd8.xpr,ゅ,U+3085,222
JPN0007,0007ccd8.xpr,ゆ,U+3086,223
JPN0007,0007ccd8.xpr,ょ,U+3087,224
JPN0007,0007ccd8.xpr,よ,U+3088,225
JPN0007,0007ccd8.xpr,ら,U+3089,226
JPN0007,0007ccd8.xpr,り,U+308A,227
JPN0007,0007ccd8.xpr,る,U+308B,228
JPN0007,0007ccd8.xpr,れ,U+308C,229
JPN0007,0007ccd8.xpr,ろ,U+308D,230
JPN0007,0007ccd8.xpr,わ,U+308F,231
JPN0007,0007ccd8.xpr,を,U+3092,232
JPN0007,0007ccd8.xpr,ん,U+3093,233
JPN0007,0007ccd8.xpr,ァ,U+30A1,234
JPN0007,0007ccd8.xpr,ア,U+30A2,235
JPN0007,0007ccd8.xpr,ィ,U+30A3,236
JPN0007,0007ccd8.xpr,イ,U+30A4,237
JPN0007,0007ccd8.xpr,ウ,U+30A6,238
JPN0007,0007ccd8.xpr,ェ,U+30A7,239
JPN0007,0007ccd8.xpr,エ,U+30A8,240
JPN0007,0007ccd8.xpr,オ,U+30AA,241
JPN0007,0007ccd8.xpr,カ,U+30AB,242
JPN0007,0007ccd8.xpr,ガ,U+30AC,243
JPN0007,0007ccd8.xpr,キ,U+30AD,244
JPN0007,0007ccd8.xpr,ク,U+30AF,245
JPN0007,0007ccd8.xpr,グ,U+30B0,246
JPN0007,0007ccd8.xpr,ケ,U+30B1,247
JPN0007,0007ccd8.xpr,ゲ,U+30B2,248
JPN0007,0007ccd8.xpr,コ,U+30B3,249
JPN0007,0007ccd8.xpr,ゴ,U+30B4,250
JPN0007,0007ccd8.xpr,サ,U+30B5,251
JPN0007,0007ccd8.xpr,ザ,U+30B6,252
JPN0007,0007ccd8.xpr,シ,U+30B7,253
JPN0007,0007ccd8.xpr,ジ,U+30B8,254
JPN0007,0007ccd8.xpr,ス,U+30B9,255
JPN0007,0007ccd8.xpr,セ,U+30BB,256
JPN0007,0007ccd8.xpr,タ,U+30BF,257
JPN0007,0007ccd8.xpr,ダ,U+30C0,258
JPN0007,0007ccd8.xpr,チ,U+30C1,259
JPN0007,0007ccd8.xpr,ッ,U+30C3,260
JPN0007,0007ccd8.xpr,ツ,U+30C4,261
JPN0007,0007ccd8.xpr,テ,U+30C6,262
JPN0007,0007ccd8.xpr,デ,U+30C7,263
JPN0007,0007ccd8.xpr,ト,U+30C8,264
JPN0007,0007ccd8.xpr,ド,U+30C9,265
JPN0007,0007ccd8.xpr,ナ,U+30CA,266
JPN0007,0007ccd8.xpr,ニ,U+30CB,267
JPN0007,0007ccd8.xpr,ネ,U+30CD,268
JPN0007,0007ccd8.xpr,ノ,U+30CE,269
JPN0007,0007ccd8.xpr,ハ,U+30CF,270
JPN0007,0007ccd8.xpr,バ,U+30D0,271
JPN0007,0007ccd8.xpr,パ,U+30D1,272
JPN0007,0007ccd8.xpr,ヒ,U+30D2,273
JPN0007,0007ccd8.xpr,ビ,U+30D3,274
JPN0007,0007ccd8.xpr,ピ,U+30D4,275
JPN0007,0007ccd8.xpr,フ,U+30D5,276
JPN0007,0007ccd8.xpr,ブ,U+30D6,277
JPN0007,0007ccd8.xpr,プ,U+30D7,278
JPN0007,0007ccd8.xpr,ヘ,U+30D8,279
JPN0007,0007ccd8.xpr,ベ,U+30D9,280
JPN0007,0007ccd8.xpr,ペ,U+30DA,281
JPN0007,0007ccd8.xpr,ホ,U+30DB,282
JPN0007,0007ccd8.xpr,ボ,U+30DC,283
JPN0007,0007ccd8.xpr,ポ,U+30DD,284
JPN0007,0007ccd8.xpr,マ,U+30DE,285
JPN0007,0007ccd8.xpr,ミ,U+30DF,286
JPN0007,0007ccd8.xpr,ム,U+30E0,287
JPN0007,0007ccd8.xpr,メ,U+30E1,288
JPN0007,0007ccd8.xpr,モ,U+30E2,289
JPN0007,0007ccd8.xpr,ャ,U+30E3,290
JPN0007,0007ccd8.xpr,ュ,U+30E5,291
JPN0007,0007ccd8.xpr,ユ,U+30E6,292
JPN0007,0007ccd8.xpr,ョ,U+30E7,293
JPN0007,0007ccd8.xpr,ラ,U+30E9,294
JPN0007,0007ccd8.xpr,リ,U+30EA,295
JPN0007,0007ccd8.xpr,ル,U+30EB,296
JPN0007,0007ccd8.xpr,レ,U+30EC,297
JPN0007,0007ccd8.xpr,ロ,U+30ED,298
JPN0007,0007ccd8.xpr,ワ,U+30EF,299
JPN0007,0007ccd8.xpr,ン,U+30F3,300
JPN0007,0007ccd8.xpr,・,U+30FB,301
JPN0007,0007ccd8.xpr,ー,U+30FC,302
JPN0007,0007ccd8.xpr,一,U+4E00,303
JPN0007,0007ccd8.xpr,三,U+4E09,304
JPN0007,0007ccd8.xpr,上,U+4E0A,305
JPN0007,0007ccd8.xpr,下,U+4E0B,306
JPN0007,0007ccd8.xpr,不,U+4E0D,307
JPN0007,0007ccd8.xpr,中,U+4E2D,308
JPN0007,0007ccd8.xpr,了,U+4E86,309
JPN0007,0007ccd8.xpr,予,U+4E88,310
JPN0007,0007ccd8.xpr,亡,U+4EA1,311
JPN0007,0007ccd8.xpr,人,U+4EBA,312
JPN0007,0007ccd8.xpr,介,U+4ECB,313
JPN0007,0007ccd8.xpr,他,U+4ED6,314
JPN0007,0007ccd8.xpr,以,U+4EE5,315
JPN0007,0007ccd8.xpr,仮,U+4EEE,316
JPN0007,0007ccd8.xpr,仲,U+4EF2,317
JPN0007,0007ccd8.xpr,位,U+4F4D,318
JPN0007,0007ccd8.xpr,体,U+4F53,319
JPN0007,0007ccd8.xpr,作,U+4F5C,320
JPN0007,0007ccd8.xpr,使,U+4F7F,321
JPN0007,0007ccd8.xpr,侵,U+4FB5,322
JPN0007,0007ccd8.xpr,俗,U+4FD7,323
JPN0007,0007ccd8.xpr,保,U+4FDD,324
JPN0007,0007ccd8.xpr,信,U+4FE1,325
JPN0007,0007ccd8.xpr,個,U+500B,326
JPN0007,0007ccd8.xpr,偽,U+507D,327
JPN0007,0007ccd8.xpr,備,U+5099,328
JPN0007,0007ccd8.xpr,傷,U+50B7,329
JPN0007,0007ccd8.xpr,像,U+50CF,330
JPN0007,0007ccd8.xpr,優,U+512A,331
JPN0007,0007ccd8.xpr,元,U+5143,332
JPN0007,0007ccd8.xpr,光,U+5149,333
JPN0007,0007ccd8.xpr,入,U+5165,334
JPN0007,0007ccd8.xpr,公,U+516C,335
JPN0007,0007ccd8.xpr,兵,U+5175,336
JPN0007,0007ccd8.xpr,内,U+5185,337
JPN0007,0007ccd8.xpr,再,U+518D,338
JPN0007,0007ccd8.xpr,出,U+51FA,339
JPN0007,0007ccd8.xpr,分,U+5206,340
JPN0007,0007ccd8.xpr,切,U+5207,341
JPN0007,0007ccd8.xpr,初,U+521D,342
JPN0007,0007ccd8.xpr,利,U+5229,343
JPN0007,0007ccd8.xpr,到,U+5230,344
JPN0007,0007ccd8.xpr,制,U+5236,345
JPN0007,0007ccd8.xpr,削,U+524A,346
JPN0007,0007ccd8.xpr,前,U+524D,347
JPN0007,0007ccd8.xpr,力,U+529B,348
JPN0007,0007ccd8.xpr,加,U+52A0,349
JPN0007,0007ccd8.xpr,効,U+52B9,350
JPN0007,0007ccd8.xpr,動,U+52D5,351
JPN0007,0007ccd8.xpr,化,U+5316,352
JPN0007,0007ccd8.xpr,南,U+5357,353
JPN0007,0007ccd8.xpr,印,U+5370,354
JPN0007,0007ccd8.xpr,反,U+53CD,355
JPN0007,0007ccd8.xpr,受,U+53D7,356
JPN0007,0007ccd8.xpr,口,U+53E3,357
JPN0007,0007ccd8.xpr,可,U+53EF,358
JPN0007,0007ccd8.xpr,右,U+53F3,359
JPN0007,0007ccd8.xpr,各,U+5404,360
JPN0007,0007ccd8.xpr,合,U+5408,361
JPN0007,0007ccd8.xpr,吊,U+540A,362
JPN0007,0007ccd8.xpr,同,U+540C,363
JPN0007,0007ccd8.xpr,名,U+540D,364
JPN0007,0007ccd8.xpr,向,U+5411,365
JPN0007,0007ccd8.xpr,品,U+54C1,366
JPN0007,0007ccd8.xpr,器,U+5668,367
JPN0007,0007ccd8.xpr,囲,U+56F2,368
JPN0007,0007ccd8.xpr,国,U+56FD,369
JPN0007,0007ccd8.xpr,園,U+5712,370
JPN0007,0007ccd8.xpr,地,U+5730,371
JPN0007,0007ccd8.xpr,型,U+578B,372
JPN0007,0007ccd8.xpr,域,U+57DF,373
JPN0007,0007ccd8.xpr,基,U+57FA,374
JPN0007,0007ccd8.xpr,場,U+5834,375
JPN0007,0007ccd8.xpr,塚,U+585A,376
JPN0007,0007ccd8.xpr,境,U+5883,377
JPN0007,0007ccd8.xpr,声,U+58F0,378
JPN0007,0007ccd8.xpr,変,U+5909,379
JPN0007,0007ccd8.xpr,多,U+591A,380
JPN0007,0007ccd8.xpr,大,U+5927,381
JPN0007,0007ccd8.xpr,失,U+5931,382
JPN0007,0007ccd8.xpr,奇,U+5947,383
JPN0007,0007ccd8.xpr,女,U+5973,384
JPN0007,0007ccd8.xpr,好,U+597D,385
JPN0007,0007ccd8.xpr,始,U+59CB,386
JPN0007,0007ccd8.xpr,威,U+5A01,387
JPN0007,0007ccd8.xpr,嫌,U+5ACC,388
JPN0007,0007ccd8.xpr,子,U+5B50,389
JPN0007,0007ccd8.xpr,字,U+5B57,390
JPN0007,0007ccd8.xpr,存,U+5B58,391
JPN0007,0007ccd8.xpr,安,U+5B89,392
JPN0007,0007ccd8.xpr,完,U+5B8C,393
JPN0007,0007ccd8.xpr,定,U+5B9A,394
JPN0007,0007ccd8.xpr,実,U+5B9F,395
JPN0007,0007ccd8.xpr,害,U+5BB3,396
JPN0007,0007ccd8.xpr,容,U+5BB9,397
JPN0007,0007ccd8.xpr,密,U+5BC6,398
JPN0007,0007ccd8.xpr,富,U+5BCC,399
JPN0007,0007ccd8.xpr,対,U+5BFE,400
JPN0007,0007ccd8.xpr,専,U+5C02,401
JPN0007,0007ccd8.xpr,射,U+5C04,402
JPN0007,0007ccd8.xpr,小,U+5C0F,403
JPN0007,0007ccd8.xpr,屋,U+5C4B,404
JPN0007,0007ccd8.xpr,山,U+5C71,405
JPN0007,0007ccd8.xpr,岸,U+5CB8,406
JPN0007,0007ccd8.xpr,工,U+5DE5,407
JPN0007,0007ccd8.xpr,左,U+5DE6,408
JPN0007,0007ccd8.xpr,巨,U+5DE8,409
JPN0007,0007ccd8.xpr,年,U+5E74,410
JPN0007,0007ccd8.xpr,広,U+5E83,411
JPN0007,0007ccd8.xpr,序,U+5E8F,412
JPN0007,0007ccd8.xpr,底,U+5E95,413
JPN0007,0007ccd8.xpr,度,U+5EA6,414
JPN0007,0007ccd8.xpr,延,U+5EF6,415
JPN0007,0007ccd8.xpr,式,U+5F0F,416
JPN0007,0007ccd8.xpr,引,U+5F15,417
JPN0007,0007ccd8.xpr,張,U+5F35,418
JPN0007,0007ccd8.xpr,弾,U+5F3E,419
JPN0007,0007ccd8.xpr,当,U+5F53,420
JPN0007,0007ccd8.xpr,径,U+5F84,421
JPN0007,0007ccd8.xpr,待,U+5F85,422
JPN0007,0007ccd8.xpr,後,U+5F8C,423
JPN0007,0007ccd8.xpr,従,U+5F93,424
JPN0007,0007ccd8.xpr,得,U+5F97,425
JPN0007,0007ccd8.xpr,心,U+5FC3,426
JPN0007,0007ccd8.xpr,必,U+5FC5,427
JPN0007,0007ccd8.xpr,応,U+5FDC,428
JPN0007,0007ccd8.xpr,快,U+5FEB,429
JPN0007,0007ccd8.xpr,急,U+6025,430
JPN0007,0007ccd8.xpr,性,U+6027,431
JPN0007,0007ccd8.xpr,恐,U+6050,432
JPN0007,0007ccd8.xpr,意,U+610F,433
JPN0007,0007ccd8.xpr,態,U+614B,434
JPN0007,0007ccd8.xpr,成,U+6210,435
JPN0007,0007ccd8.xpr,戦,U+6226,436
JPN0007,0007ccd8.xpr,戻,U+623B,437
JPN0007,0007ccd8.xpr,所,U+6240,438
JPN0007,0007ccd8.xpr,手,U+624B,439
JPN0007,0007ccd8.xpr,投,U+6295,440
JPN0007,0007ccd8.xpr,抜,U+629C,441
JPN0007,0007ccd8.xpr,択,U+629E,442
JPN0007,0007ccd8.xpr,押,U+62BC,443
JPN0007,0007ccd8.xpr,拠,U+62E0,444
JPN0007,0007ccd8.xpr,拡,U+62E1,445
JPN0007,0007ccd8.xpr,拳,U+62F3,446
JPN0007,0007ccd8.xpr,掘,U+6398,447
JPN0007,0007ccd8.xpr,採,U+63A1,448
JPN0007,0007ccd8.xpr,接,U+63A5,449
JPN0007,0007ccd8.xpr,揚,U+63DA,450
JPN0007,0007ccd8.xpr,搬,U+642C,451
JPN0007,0007ccd8.xpr,撃,U+6483,452
JPN0007,0007ccd8.xpr,操,U+64CD,453
JPN0007,0007ccd8.xpr,擲,U+64F2,454
JPN0007,0007ccd8.xpr,改,U+6539,455
JPN0007,0007ccd8.xpr,攻,U+653B,456
JPN0007,0007ccd8.xpr,敗,U+6557,457
JPN0007,0007ccd8.xpr,数,U+6570,458
JPN0007,0007ccd8.xpr,敵,U+6575,459
JPN0007,0007ccd8.xpr,文,U+6587,460
JPN0007,0007ccd8.xpr,方,U+65B9,461
JPN0007,0007ccd8.xpr,日,U+65E5,462
JPN0007,0007ccd8.xpr,旧,U+65E7,463
JPN0007,0007ccd8.xpr,旺,U+65FA,464
JPN0007,0007ccd8.xpr,明,U+660E,465
JPN0007,0007ccd8.xpr,時,U+6642,466
JPN0007,0007ccd8.xpr,普,U+666E,467
JPN0007,0007ccd8.xpr,更,U+66F4,468
JPN0007,0007ccd8.xpr,替,U+66FF,469
JPN0007,0007ccd8.xpr,月,U+6708,470
JPN0007,0007ccd8.xpr,有,U+6709,471
JPN0007,0007ccd8.xpr,期,U+671F,472
JPN0007,0007ccd8.xpr,未,U+672A,473
JPN0007,0007ccd8.xpr,本,U+672C,474
JPN0007,0007ccd8.xpr,杉,U+6749,475
JPN0007,0007ccd8.xpr,材,U+6750,476
JPN0007,0007ccd8.xpr,村,U+6751,477
JPN0007,0007ccd8.xpr,来,U+6765,478
JPN0007,0007ccd8.xpr,東,U+6771,479
JPN0007,0007ccd8.xpr,林,U+6797,480
JPN0007,0007ccd8.xpr,果,U+679C,481
JPN0007,0007ccd8.xpr,棄,U+68C4,482
JPN0007,0007ccd8.xpr,楽,U+697D,483
JPN0007,0007ccd8.xpr,榴,U+69B4,484
JPN0007,0007ccd8.xpr,構,U+69CB,485
JPN0007,0007ccd8.xpr,標,U+6A19,486
JPN0007,0007ccd8.xpr,権,U+6A29,487
JPN0007,0007ccd8.xpr,橋,U+6A4B,488
JPN0007,0007ccd8.xpr,機,U+6A5F,489
JPN0007,0007ccd8.xpr,次,U+6B21,490
JPN0007,0007ccd8.xpr,止,U+6B62,491
JPN0007,0007ccd8.xpr,武,U+6B66,492
JPN0007,0007ccd8.xpr,死,U+6B7B,493
JPN0007,0007ccd8.xpr,殺,U+6BBA,494
JPN0007,0007ccd8.xpr,気,U+6C17,495
JPN0007,0007ccd8.xpr,河,U+6CB3,496
JPN0007,0007ccd8.xpr,沼,U+6CBC,497
JPN0007,0007ccd8.xpr,沿,U+6CBF,498
JPN0007,0007ccd8.xpr,泣,U+6CE3,499
JPN0007,0007ccd8.xpr,注,U+6CE8,500
JPN0007,0007ccd8.xpr,泳,U+6CF3,501
JPN0007,0007ccd8.xpr,流,U+6D41,502
JPN0007,0007ccd8.xpr,海,U+6D77,503
JPN0007,0007ccd8.xpr,港,U+6E2F,504
JPN0007,0007ccd8.xpr,湖,U+6E56,505
JPN0007,0007ccd8.xpr,源,U+6E90,506
JPN0007,0007ccd8.xpr,準,U+6E96,507
JPN0007,0007ccd8.xpr,滅,U+6EC5,508
JPN0007,0007ccd8.xpr,滝,U+6EDD,509
JPN0007,0007ccd8.xpr,火,U+706B,510
JPN0007,0007ccd8.xpr,点,U+70B9,511
JPN0007,0007ccd8.xpr,為,U+70BA,512
JPN0007,0007ccd8.xpr,無,U+7121,513
JPN0007,0007ccd8.xpr,煙,U+7159,514
