resource_class,file_id,scope,unique_index_start,unique_index_end,row_count,all_001c_100_percent,high_value_count,ordinary_count,min_0007_coverage,min_000e_coverage,min_00c7_coverage,max_loading_fixture_similarity,loading_union_similarity,unique_indices,sample_jpn_texts
STAGEDAT_OLANG,LANG_CHARAEDIT.OLANG,OUTSIDE_LOADING,8,18,11,YES,0,11,100.00%,100.00%,100.00%,0.130435,0.010381,8;9;10;11;12;13;14;15;16;17;18,BATTLE DRESS || LIFE: || CO-OPS COMM.
STAGEDAT_OLANG,LANG_WEAPON_TEXT.OLANG,OUTSIDE_LOADING,355,365,11,YES,0,11,100.00%,100.00%,100.00%,0.166667,0.013793,355;356;357;358;359;360;361;362;363;364;365,SMK G.(G) || K.PISTOL || SMK G.(B)
SLOT_OLANG,5D74A6CA,OUTSIDE_LOADING,129,138,10,YES,0,10,100.00%,100.00%,100.00%,0.148148,0.013652,129;130;131;132;133;134;135;136;137;138,SUBMACHINE GUN || SNIPER RIFLE || SHOTGUN
STAGEDAT_OLANG,LANG_MYOUTER_DEVELOP.OLANG,OUTSIDE_LOADING,129,138,10,YES,0,10,100.00%,100.00%,100.00%,0.148148,0.013652,129;130;131;132;133;134;135;136;137;138,SUBMACHINE GUN || SNIPER RIFLE || SHOTGUN
OHD,1E4C1146,OUTSIDE_LOADING,79,87,9,YES,4,5,50.00%,75.00%,100.00%,0.111111,0.017483,79;80;81;82;83;84;85;86;87,感じるぞ || 感じるぞ！ || 感じるぞ！！
SLOT_OLANG,5D2E0FEE,OUTSIDE_LOADING,90,98,9,YES,0,9,100.00%,100.00%,100.00%,0.166667,0.013793,90;91;92;93;94;95;96;97;98,BLUE || BLACK || S
SLOT_OLANG,5D52E4F8,OUTSIDE_LOADING,314,322,9,YES,0,9,100.00%,100.00%,100.00%,0.086957,0.006920,314;315;316;317;318;319;320;321;322,CANNON || MISSILE || E.CHARGE
SLOT_OLANG,5D56AA31,OUTSIDE_LOADING,0,8,9,YES,0,9,100.00%,100.00%,100.00%,0.125000,0.010345,0;1;2;3;4;5;6;7;8,UNKNOWN || STAMINA || SOLDIERS
SLOT_OLANG,5D83B291,OUTSIDE_LOADING,150,158,9,YES,0,9,100.00%,100.00%,100.00%,0.166667,0.013793,150;151;152;153;154;155;156;157;158,TDM || RES || DM
SLOT_OLANG,5DC48887,OUTSIDE_LOADING,37,45,9,YES,0,9,100.00%,100.00%,100.00%,0.086957,0.006920,37;38;39;40;41;42;43;44;45,CANNON || MISSILE || E.CHARGE
STAGEDAT_OLANG,LANG_MYOUTER_DEVELOP_METAL.OLANG,OUTSIDE_LOADING,90,98,9,YES,0,9,100.00%,100.00%,100.00%,0.166667,0.013793,90;91;92;93;94;95;96;97;98,BLUE || BLACK || S
STAGEDAT_OLANG,LANG_WEAPON_SHORT_NAME.OLANG,OUTSIDE_LOADING,37,45,9,YES,0,9,100.00%,100.00%,100.00%,0.086957,0.006920,37;38;39;40;41;42;43;44;45,CANNON || MISSILE || E.CHARGE
STAGEDAT_OLANG,LANG_WEAPON_TEXT.OLANG,OUTSIDE_LOADING,314,322,9,YES,0,9,100.00%,100.00%,100.00%,0.086957,0.006920,314;315;316;317;318;319;320;321;322,CANNON || MISSILE || E.CHARGE
LOOSE_OLANG,00D0C740,OUTSIDE_LOADING,0,7,8,YES,5,3,87.50%,50.00%,100.00%,0.213115,0.109677,0;1;2;3;4;5;6;7,CO-OPS MEMBER`S FRIENDS || TO GAME SELECT || CO-OPS MEMBER
SLOT_OLANG,5DA7D877,OUTSIDE_LOADING,0,7,8,YES,0,8,100.00%,100.00%,100.00%,0.137931,0.013559,0;1;2;3;4;5;6;7,CAFETAL AROMA ENCANTADO || CAFETAL AROMA ENCANTADO: ENTRANCE || TARGET
SLOT_OLANG,5DC48887,OUTSIDE_LOADING,82,89,8,YES,0,8,100.00%,100.00%,100.00%,0.125000,0.010345,82;83;84;85;86;87;88;89,SMK G.(G) || K.PISTOL || SMK G.(B)
SLOT_OLANG,5DD9B1F3,OUTSIDE_LOADING,23,30,8,YES,0,8,100.00%,100.00%,100.00%,0.041667,0.003448,23;24;25;26;27;28;29;30,$1 (WED) || $1 (TUE) || $1 (THU)
SLOT_OLANG,5DDFF0A5,OUTSIDE_LOADING,1,8,8,YES,4,4,75.00%,80.00%,100.00%,0.150000,0.024476,1;2;3;4;5;6;7;8,うにゃ？ うにゃにゃ…？ || うん… || えっ！？
SLOT_OLANG,5DE6EF4C,OUTSIDE_LOADING,5,12,8,YES,0,8,100.00%,100.00%,100.00%,0.083333,0.006897,5;6;7;8;9;10;11;12,PUMA || PIRANHA || ORCA
STAGEDAT_OLANG,LANG_GETTITLE_INSIGNIA_LIST.OLANG,OUTSIDE_LOADING,5,12,8,YES,0,8,100.00%,100.00%,100.00%,0.083333,0.006897,5;6;7;8;9;10;11;12,PUMA || PIRANHA || ORCA
STAGEDAT_OLANG,LANG_WEAPON_SHORT_NAME.OLANG,OUTSIDE_LOADING,82,89,8,YES,0,8,100.00%,100.00%,100.00%,0.125000,0.010345,82;83;84;85;86;87;88;89,SMK G.(G) || K.PISTOL || SMK G.(B)
LOOSE_OLANG,007E2F18,OUTSIDE_LOADING,152,158,7,YES,0,7,100.00%,100.00%,100.00%,0.130435,0.010381,152;153;154;155;156;157;158,GOLD || UB-NINO || NKD(DPM)
SLOT_OLANG,5D1A33A6,OUTSIDE_LOADING,10,16,7,YES,0,7,100.00%,100.00%,100.00%,0.050000,0.003497,10;11;12;13;14;15;16,M || ATTACK || A
SLOT_OLANG,5D1A33A9,OUTSIDE_LOADING,7,13,7,YES,0,7,100.00%,100.00%,100.00%,0.050000,0.003497,7;8;9;10;11;12;13,M || ATTACK || A
SLOT_OLANG,5D1A33AA,OUTSIDE_LOADING,7,13,7,YES,0,7,100.00%,100.00%,100.00%,0.050000,0.003497,7;8;9;10;11;12;13,M || ATTACK || A
SLOT_OLANG,5D2E0FEE,OUTSIDE_LOADING,27,33,7,YES,0,7,100.00%,100.00%,100.00%,0.115385,0.010274,27;28;29;30;31;32;33,SAND || SALMON PINK || SAGE GREEN
SLOT_OLANG,5D56A63D,OUTSIDE_LOADING,718,724,7,YES,0,7,100.00%,100.00%,100.00%,0.083333,0.006897,718;719;720;721;722;723;724,AUSCAM || CHOCO-CHIP || WATER
SLOT_OLANG,5D5CAF77,OUTSIDE_LOADING,9,15,7,YES,0,7,100.00%,100.00%,100.00%,0.111111,0.010239,9;10;11;12;13;14;15,WEAPON || USE: || STN
SLOT_OLANG,5D74A6CA,OUTSIDE_LOADING,66,72,7,YES,0,7,100.00%,100.00%,100.00%,0.071429,0.006803,66;67;68;69;70;71;72,MECHA SELECTOR || MECHA || WEAPON
SLOT_OLANG,5D83B291,OUTSIDE_LOADING,49,55,7,YES,0,7,100.00%,100.00%,100.00%,0.043478,0.003460,49;50;51;52;53;54;55,WAIT || TIME || TICKET
SLOT_OLANG,5D8AED23,OUTSIDE_LOADING,7,13,7,YES,0,7,100.00%,100.00%,100.00%,0.125000,0.010345,7;8;9;10;11;12;13,GREETINGS || ETC || OTHER COMMANDS
SLOT_OLANG,5D97F0B2,OUTSIDE_LOADING,1,7,7,YES,0,7,100.00%,100.00%,100.00%,0.080000,0.006873,1;2;3;4;5;6;7,BACK || FRONT || UNIT MODE
SLOT_OLANG,5DA7D879,OUTSIDE_LOADING,0,6,7,YES,0,7,100.00%,100.00%,100.00%,0.148148,0.013652,0;1;2;3;4;5;6,COSTA RICAN COAST || TARGET || SNAKE
SLOT_OLANG,5DA7D87B,OUTSIDE_LOADING,0,6,7,YES,0,7,100.00%,100.00%,100.00%,0.153846,0.013699,0;1;2;3;4;5;6,SHOOTING RANGE || TARGET || SNAKE
SLOT_OLANG,5DD9B1F3,OUTSIDE_LOADING,1,7,7,YES,0,7,100.00%,100.00%,100.00%,0.136364,0.010417,1;2;3;4;5;6;7,PRESET WORDS:%d || STAMP CARD || PRESET ITEMS:%d
STAGEDAT_OLANG,LANG_DEMOTELOP2.OLANG,OUTSIDE_LOADING,9,15,7,YES,0,7,100.00%,100.00%,100.00%,0.125000,0.010345,9;10;11;12;13;14;15,KIKUKO INOUE || HOCHU OTSUKA || MUGIHITO
STAGEDAT_OLANG,LANG_ITEM_TEXT.OLANG,OUTSIDE_LOADING,718,724,7,YES,0,7,100.00%,100.00%,100.00%,0.083333,0.006897,718;719;720;721;722;723;724,AUSCAM || CHOCO-CHIP || WATER
STAGEDAT_OLANG,LANG_MYOUTER_DEVELOP.OLANG,OUTSIDE_LOADING,66,72,7,YES,0,7,100.00%,100.00%,100.00%,0.071429,0.006803,66;67;68;69;70;71;72,MECHA SELECTOR || MECHA || WEAPON
STAGEDAT_OLANG,LANG_MYOUTER_DEVELOP_METAL.OLANG,OUTSIDE_LOADING,27,33,7,YES,0,7,100.00%,100.00%,100.00%,0.115385,0.010274,27;28;29;30;31;32;33,SAND || SALMON PINK || SAGE GREEN
STAGEDAT_OLANG,LANG_SYSTEM.OLANG,OUTSIDE_LOADING,9,15,7,YES,0,7,100.00%,100.00%,100.00%,0.111111,0.010239,9;10;11;12;13;14;15,WEAPON || USE: || STN
STAGEDAT_OLANG,LANG_TITLEMENU.OLANG,OUTSIDE_LOADING,0,6,7,YES,0,7,100.00%,100.00%,100.00%,0.130435,0.010381,0;1;2;3;4;5;6,PRESS START BUTTON || DATA INSTALL || OPTIONS
SLOT_OLANG,5D15C941,OUTSIDE_LOADING,6,11,6,YES,0,6,100.00%,100.00%,100.00%,0.045455,0.003472,6;7;8;9;10;11,TRD || POW || NML
SLOT_OLANG,5D1A33A7,OUTSIDE_LOADING,6,11,6,YES,0,6,100.00%,100.00%,100.00%,0.050000,0.003497,6;7;8;9;10;11,POD || P || ATTACK
SLOT_OLANG,5D1DF209,OUTSIDE_LOADING,72,77,6,YES,0,6,100.00%,100.00%,100.00%,0.181818,0.010381,72;73;74;75;76;77,HOST SEARCH || CLIENT SEARCH || はい
SLOT_OLANG,5D2E0FEE,OUTSIDE_LOADING,50,55,6,YES,0,6,100.00%,100.00%,100.00%,0.120000,0.010309,50;51;52;53;54;55,PART02 || PART01 || COLOR PAINT
SLOT_OLANG,5D56A63D,OUTSIDE_LOADING,691,696,6,YES,0,6,100.00%,100.00%,100.00%,0.071429,0.006803,691;692;693;694;695;696,NKD(CHOCO) || NKD(WATR) || NKD(TIGER)
SLOT_OLANG,5D56A63D,OUTSIDE_LOADING,698,703,6,YES,0,6,100.00%,100.00%,100.00%,0.037037,0.003413,698;699;700;701;702;703,NKD(RED) || NKD(WHITE) || NKD(N.BLU)
SLOT_OLANG,5DA57090,OUTSIDE_LOADING,264,269,6,YES,5,1,83.33%,66.67%,100.00%,0.200000,0.027972,264;265;266;267;268;269,やられたのか！？ || 食い止めろ！ || やめろっ！
SLOT_OLANG,5DB4D9C8,OUTSIDE_LOADING,42,47,6,YES,0,6,100.00%,100.00%,100.00%,0.083333,0.006897,42;43;44;45;46;47,ESCORT || MECHANIC || F.POW
SLOT_OLANG,5DB4D9C8,OUTSIDE_LOADING,86,91,6,YES,0,6,100.00%,100.00%,100.00%,0.071429,0.006803,86;87;88;89;90;91,NKD(CHOCO) || NKD(WATR) || NKD(TIGER)
SLOT_OLANG,5DB83C7B,OUTSIDE_LOADING,5,10,6,YES,0,6,100.00%,100.00%,100.00%,0.153846,0.013699,5;6;7;8;9;10,REMAINING TARGETS || OCCUPIED BASES || REMAINING ENEMIES
SLOT_OLANG,5DDFF0A5,OUTSIDE_LOADING,39,44,6,YES,6,0,50.00%,80.00%,100.00%,0.227273,0.027972,39;40;41;42;43;44,何してるの？ || どうして？ || 何するの！？
SLOT_OLANG,5DDFF0A5,OUTSIDE_LOADING,57,62,6,YES,4,2,75.00%,33.33%,100.00%,0.250000,0.034965,57;58;59;60;61;62,えっ？ || やだ…ダメ… || そんなに…見たいの？
STAGEDAT_OLANG,LANG_ITEM_SHORT_NAME.OLANG,OUTSIDE_LOADING,42,47,6,YES,0,6,100.00%,100.00%,100.00%,0.083333,0.006897,42;43;44;45;46;47,ESCORT || MECHANIC || F.POW
STAGEDAT_OLANG,LANG_ITEM_SHORT_NAME.OLANG,OUTSIDE_LOADING,86,91,6,YES,0,6,100.00%,100.00%,100.00%,0.071429,0.006803,86;87;88;89;90;91,NKD(CHOCO) || NKD(WATR) || NKD(TIGER)
STAGEDAT_OLANG,LANG_ITEM_TEXT.OLANG,OUTSIDE_LOADING,691,696,6,YES,0,6,100.00%,100.00%,100.00%,0.071429,0.006803,691;692;693;694;695;696,NKD(CHOCO) || NKD(WATR) || NKD(TIGER)
STAGEDAT_OLANG,LANG_ITEM_TEXT.OLANG,OUTSIDE_LOADING,698,703,6,YES,0,6,100.00%,100.00%,100.00%,0.037037,0.003413,698;699;700;701;702;703,NKD(RED) || NKD(WHITE) || NKD(N.BLU)
STAGEDAT_OLANG,LANG_MYOUTER_DEVELOP_METAL.OLANG,OUTSIDE_LOADING,50,55,6,YES,0,6,100.00%,100.00%,100.00%,0.120000,0.010309,50;51;52;53;54;55,PART02 || PART01 || COLOR PAINT
STAGEDAT_OLANG,LANG_MYOUTER_STAFF.OLANG,OUTSIDE_LOADING,6,11,6,YES,0,6,100.00%,100.00%,100.00%,0.045455,0.003472,6;7;8;9;10;11,TRD || POW || NML
YPK_GTT,1C7679A5,OUTSIDE_LOADING,193,198,6,YES,3,3,57.14%,57.14%,100.00%,0.314286,0.055944,193;194;195;196;197;198,殺したのか… || 戦士の宿命か… || 殺したの…？
LOOSE_OLANG,007E2F18,OUTSIDE_LOADING,146,150,5,YES,0,5,100.00%,100.00%,100.00%,0.120000,0.010309,146;147;148;149;150,MHT-K.MA || UB-RIKU || MHT-K.DAMA
LOOSE_OLANG,007E2F18,OUTSIDE_LOADING,160,164,5,YES,0,5,100.00%,100.00%,100.00%,0.037037,0.003413,160;161;162;163;164,NKD(RED) || NKD(WHITE) || NKD(N.BLU)
LOOSE_OLANG,007E2F18,OUTSIDE_LOADING,166,170,5,YES,0,5,100.00%,100.00%,100.00%,0.043478,0.003460,166;167;168;169;170,COMRADE || TREE BARK || WATER
LOOSE_OLANG,007E2F18,OUTSIDE_LOADING,409,413,5,YES,2,3,100.00%,50.00%,100.00%,0.192308,0.030822,409;410;411;412;413,タイトルメニューに戻りますか？ || CANCEL || <I=CAN> 戻る
SLOT_OLANG,5D06C8DE,OUTSIDE_LOADING,118,122,5,YES,0,5,100.00%,100.00%,100.00%,0.130435,0.010381,118;119;120;121;122,LOG || OPTIONS || MOTHER-BASE DATA
SLOT_OLANG,5D1DF209,OUTSIDE_LOADING,44,48,5,YES,0,5,100.00%,100.00%,100.00%,0.125000,0.010345,44;45;46;47;48,MAIN OPS || MAP SELECT || DEMO OPS
SLOT_OLANG,5D2362B8,OUTSIDE_LOADING,3,7,5,YES,0,5,100.00%,100.00%,100.00%,0.076923,0.006849,3;4;5;6;7,MAP || RULE || ST.
SLOT_OLANG,5D2E0FEE,OUTSIDE_LOADING,67,71,5,YES,0,5,100.00%,100.00%,100.00%,0.080000,0.010381,67;68;69;70;71,LINE02 || LINE01 || LIME GREEN
SLOT_OLANG,5D3B0112,OUTSIDE_LOADING,6,10,5,YES,5,0,84.62%,80.00%,100.00%,0.269231,0.048951,6;7;8;9;10,やめて！　そうじゃない！ || 俺は…　愛する人を…　この手で…！ || もうやめて！　…やめて！
SLOT_OLANG,5D52E4F8,OUTSIDE_LOADING,302,306,5,YES,0,5,100.00%,100.00%,100.00%,0.076923,0.010381,302;303;304;305;306,M10(SP) || SPAS-12 || MK.22
SLOT_OLANG,5D52E4F8,OUTSIDE_LOADING,343,347,5,YES,0,5,100.00%,100.00%,100.00%,0.125000,0.010345,343;344;345;346;347,DNGK GAMES || DPS(R) || FAMITSU
SLOT_OLANG,5D56A63D,OUTSIDE_LOADING,735,739,5,YES,0,5,100.00%,100.00%,100.00%,0.125000,0.010417,735;736;737;738;739,TIG-FANG-G || LIO-WING-G || CG.FLTN AM
SLOT_OLANG,5D56A63D,OUTSIDE_LOADING,756,760,5,YES,0,5,100.00%,100.00%,100.00%,0.120000,0.013793,756;757;758;759;760,12G.(RBR) || MATE || BT.RATION
SLOT_OLANG,5D5A5B84,OUTSIDE_LOADING,0,4,5,YES,0,5,100.00%,100.00%,100.00%,0.130435,0.010381,0;1;2;3;4,SINGLE || NEW || -
SLOT_OLANG,5D83B291,OUTSIDE_LOADING,0,4,5,YES,0,5,100.00%,100.00%,100.00%,0.125000,0.010345,0;1;2;3;4,SELECT BASE || RED - $1 || NEUTRAL - $1
SLOT_OLANG,5D9A9677,OUTSIDE_LOADING,11,15,5,YES,0,5,100.00%,100.00%,100.00%,0.045455,0.003472,11;12;13;14;15,RELOAD || UNLOCK || LOCK
SLOT_OLANG,5DA57090,OUTSIDE_LOADING,280,284,5,YES,3,2,83.33%,85.71%,100.00%,0.307692,0.024476,280;281;282;283;284,ああ… || 敵がいるぞ！ || なにもないか…
SLOT_OLANG,5DA7D87A,OUTSIDE_LOADING,6,10,5,YES,0,5,100.00%,100.00%,100.00%,0.103448,0.010169,6;7;8;9;10,MAIN MAINTENANCE DOCK || ROOFTOP || SMALL MAINTENANCE DOCK
SLOT_OLANG,5DB96275,OUTSIDE_LOADING,72,76,5,YES,0,5,100.00%,100.00%,100.00%,0.086957,0.006920,72;73;74;75;76,PROFILE || NEW || HEROES
SLOT_OLANG,5DC48887,OUTSIDE_LOADING,68,72,5,YES,0,5,100.00%,100.00%,100.00%,0.090909,0.006944,68;69;70;71;72,DNGK GAMES || DPS(R) || FAMITSU
SLOT_OLANG,5DC48887,OUTSIDE_LOADING,116,120,5,YES,0,5,100.00%,100.00%,100.00%,0.064516,0.006969,116;117;118;119;120,M21 || M1C (MR) || M1C
SLOT_OLANG,5DDFF09B,OUTSIDE_LOADING,29,33,5,YES,3,2,93.33%,83.33%,100.00%,0.242424,0.048780,29;30;31;32;33,まだまだやれる！ || そうだな やれる！ || ああ 俺たちの戦いは\n始まったばかりだ
SLOT_OLANG,5DDFF09B,OUTSIDE_LOADING,94,98,5,YES,2,3,100.00%,80.00%,100.00%,0.238095,0.031469,94;95;96;97;98,どこにだ？ || まさか ボス… || そんなものはない
SLOT_OLANG,5DDFF0A5,OUTSIDE_LOADING,11,15,5,YES,2,3,100.00%,75.00%,100.00%,0.200000,0.027972,11;12;13;14;15,う うん… || まいりました || どういうこと？
STAGEDAT_OLANG,LANG_ITEM_TEXT.OLANG,OUTSIDE_LOADING,735,739,5,YES,0,5,100.00%,100.00%,100.00%,0.125000,0.010417,735;736;737;738;739,TIG-FANG-G || LIO-WING-G || CG.FLTN AM
STAGEDAT_OLANG,LANG_ITEM_TEXT.OLANG,OUTSIDE_LOADING,756,760,5,YES,0,5,100.00%,100.00%,100.00%,0.120000,0.013793,756;757;758;759;760,12G.(RBR) || MATE || BT.RATION
STAGEDAT_OLANG,LANG_MYOUTER_DEVELOP_METAL.OLANG,OUTSIDE_LOADING,67,71,5,YES,0,5,100.00%,100.00%,100.00%,0.080000,0.010381,67;68;69;70;71,LINE02 || LINE01 || LIME GREEN
STAGEDAT_OLANG,LANG_MYOUTER_TOP.OLANG,OUTSIDE_LOADING,118,122,5,YES,0,5,100.00%,100.00%,100.00%,0.130435,0.010381,118;119;120;121;122,LOG || OPTIONS || MOTHER-BASE DATA
STAGEDAT_OLANG,LANG_PW_COMMON.OLANG,OUTSIDE_LOADING,0,4,5,YES,0,5,100.00%,100.00%,100.00%,0.130435,0.010381,0;1;2;3;4,SINGLE || NEW || -
STAGEDAT_OLANG,LANG_SYNC.OLANG,OUTSIDE_LOADING,11,15,5,YES,0,5,100.00%,100.00%,100.00%,0.045455,0.003472,11;12;13;14;15,RELOAD || UNLOCK || LOCK
STAGEDAT_OLANG,LANG_WEAPON_SHORT_NAME.OLANG,OUTSIDE_LOADING,68,72,5,YES,0,5,100.00%,100.00%,100.00%,0.090909,0.006944,68;69;70;71;72,DNGK GAMES || DPS(R) || FAMITSU
STAGEDAT_OLANG,LANG_WEAPON_SHORT_NAME.OLANG,OUTSIDE_LOADING,116,120,5,YES,0,5,100.00%,100.00%,100.00%,0.064516,0.006969,116;117;118;119;120,M21 || M1C (MR) || M1C
STAGEDAT_OLANG,LANG_WEAPON_TEXT.OLANG,OUTSIDE_LOADING,302,306,5,YES,0,5,100.00%,100.00%,100.00%,0.076923,0.010381,302;303;304;305;306,M10(SP) || SPAS-12 || MK.22
STAGEDAT_OLANG,LANG_WEAPON_TEXT.OLANG,OUTSIDE_LOADING,343,347,5,YES,0,5,100.00%,100.00%,100.00%,0.125000,0.010345,343;344;345;346;347,DNGK GAMES || DPS(R) || FAMITSU
BRIEFING,BRIEFING_FILES_BLOCK_062D50,OUTSIDE_LOADING,32,35,4,YES,1,3,72.22%,77.78%,100.00%,1.000000,0.062937,32;33;34;35,なんなのここの人達、味覚の野蛮人だらけじゃない！\n || ああ、よしよしよしよし。\n || ありがとう。あんたいい人だよ。\n
BRIEFING,BRIEFING_FILES_BLOCK_064AE0,OUTSIDE_LOADING,8,11,4,YES,3,1,33.33%,33.33%,100.00%,0.360000,0.052448,8;9;10;11,博士？\n || …僕は、歩けない。\n || うん？\n
BRIEFING,BRIEFING_MISSION_BLOCK_36DD60,OUTSIDE_LOADING,21,24,4,YES,3,1,81.25%,68.75%,100.00%,0.615385,0.065972,21;22;23;24,ああ。\n || だから、平和という状態は、\n自分で創らなければいけない。\n || 嘆いていても、平和はやってこないし、続かない。\n
LOOSE_OLANG,007E2F18,OUTSIDE_LOADING,141,144,4,YES,0,4,100.00%,100.00%,100.00%,0.173913,0.013841,141;142;143;144,ブラック || MHT-K.CHU || MHT-K.TOMO
LOOSE_OLANG,007E2F18,OUTSIDE_LOADING,924,927,4,YES,0,4,100.00%,100.00%,100.00%,0.111111,0.013699,924;925;926;927,CO-OPS || ・NAKED || ・BATTLE DRESS
OHD,1E4C1146,OUTSIDE_LOADING,71,74,4,YES,4,0,100.00%,87.50%,100.00%,0.192308,0.031469,71;72;73;74,おまえならやれる || おまえならやれる！ || おまえならやれる！！
OHD,1E4C1146,OUTSIDE_LOADING,96,99,4,YES,4,0,83.33%,66.67%,100.00%,0.156250,0.024476,96;97;98;99,耐えてみせる || 耐えてみせる！ || 耐えてみせる！！
OHD,1E4C1146,OUTSIDE_LOADING,104,107,4,YES,0,4,100.00%,100.00%,100.00%,0.200000,0.024476,104;105;106;107,はいだらー || はいだらー！ || すまなかった
OHD,1E4C1146,OUTSIDE_LOADING,139,142,4,YES,2,2,66.67%,66.67%,100.00%,0.136364,0.013986,139;140;141;142,ん？ || いいぞ！ || そうだ！
OHD,1E4C1146,OUTSIDE_LOADING,175,178,4,YES,3,1,75.00%,75.00%,100.00%,0.227273,0.031469,175;176;177;178,来るぞ！ || おーい || 答えてくれないか？
SLOT_OLANG,5D09325F,OUTSIDE_LOADING,18,21,4,YES,0,4,100.00%,100.00%,100.00%,0.166667,0.016892,18;19;20;21,ELIMINATE THE GUARDS || COCOON BATTLE || INFILTRATE THE UNDERGROUND BASE
SLOT_OLANG,5D09325F,OUTSIDE_LOADING,42,45,4,YES,0,4,100.00%,100.00%,100.00%,0.107143,0.010204,42;43;44;45,BASE DEFENSE || POW DEFENSE || TARGET DEMOLITION
SLOT_OLANG,5D09325F,OUTSIDE_LOADING,47,50,4,YES,0,4,100.00%,100.00%,100.00%,0.083333,0.006897,47;48;49;50,ELIMINATE THE KIDNAPPERS || HOLD UP || ITEM RUNNER
