character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
彰,U+5F70,CJK UNIFIED IDEOGRAPH-5F70,Lo,CJK Unified Ideographs,7,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4941: 上半身裸露状态下通关的任务数超过时授予，以表彰这份毅力。（英雄度增加） || LOOSE_OLANG/007E2F18#4943: 待在纸箱中的时间超过小时时授予，以表彰这份耐力。（英雄度增加） || LOOSE_OLANG/007E2F18#4948: 向其他玩家赠送武器或道具超过次时授予，以表彰其慷慨。（英雄度增加） || STAGEDAT_OLANG/LANG_GETTITLE_INSIGNIA_LIST.OLANG#14976: 因在纸箱中待了超过小时而授予，以表彰其耐心。（英雄值增加） || STAGEDAT_OLANG/LANG_GETTITLE_INSIGNIA_LIST.OLANG#14985: 因向其他玩家赠送武器或道具的次数超过而授予，以表彰其慷慨。（英雄值增加）,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
怯,U+602F,CJK UNIFIED IDEOGRAPH-602F,Lo,CJK Unified Ideographs,2,LOOSE_OLANG,LOOSE_OLANG/007E2F18#4321: 一个人不可能独自背负人类这个物种的终结。正因如此，胆怯的人类才在这数千年间存活下来。 || LOOSE_OLANG/00D0C740#5896: 一个人不可能独自背负人类这个物种的终结。正因如此，胆怯的人类才在这数千年间存活下来。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
悍,U+608D,CJK UNIFIED IDEOGRAPH-608D,Lo,CJK Unified Ideographs,2,STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F42D#50: 好强悍的UMA！简直像战斗机器！ || STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19536: “‘穿甲弹连头盔和盾牌都能射穿’！？真够强悍的。”,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
悼,U+60BC,CJK UNIFIED IDEOGRAPH-60BC,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_04F520#5: 更准确地说，也许应该叫感情移入的能力。疼爱孩子的心、怜惜弱者的心、悼念死者的心……。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
惰,U+60F0,CJK UNIFIED IDEOGRAPH-60F0,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_04F520#2: ……懒惰吗？,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
憧,U+61A7,CJK UNIFIED IDEOGRAPH-61A7,Lo,CJK Unified Ideographs,5,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_019000#10: 这个嘛……我对巴黎姑娘有点憧憬…… || BRIEFING/BRIEFING_FILES_BLOCK_019D90#12: 憧憬会催生新的憧憬，最终变成把全人类都卷进去的巨大漩涡。 || BRIEFING/BRIEFING_FILES_BLOCK_077B90#5: 在曼彻斯特，很少有机会看到满天繁星。但那已经足以点燃我的憧憬。 || BRIEFING/BRIEFING_FILES_BLOCK_07CA30#32: 我感到羞愧。我只顾憧憬星空，却从未想过低头看看脚下，看看支撑着自己的这片大地。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
拘,U+62D8,CJK UNIFIED IDEOGRAPH-62D8,Lo,CJK Unified Ideographs,61,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/00225520#3122: 要审问对手，先用拘束对手，保持该状态按。 || LOOSE_OLANG/005184E3#3357: 拘束中推动左摇杆，把对手甩出去。 || LOOSE_OLANG/005184E3#3359: 拘束中推动左摇杆，把对手甩出去。 || LOOSE_OLANG/005184E3#3360: 靠近对手时按徒手攻击按钮（X），拘束对手。 || LOOSE_OLANG/005184E3#3361: Boss，拘束中要推动左摇杆！,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
挽,U+633D,CJK UNIFIED IDEOGRAPH-633D,Lo,CJK Unified Ideographs,3,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D2088CC#29988: 六年前你作为FOX队员挽救了全面核战争的危机 || BRIEFING/BRIEFING_FILES_BLOCK_065C70#10: 必须在造成无法挽回的后果之前阻止他。 || BRIEFING/BRIEFING_MISSION_BLOCK_375000#2: 别在意。还来得及挽回。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
昼,U+663C,CJK UNIFIED IDEOGRAPH-663C,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_08FF20#3: 飞行路线选择了向东移动距离最长的方案，好让她至少能从“窗户”看到一点地球的白昼部分。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
曙,U+66D9,CJK UNIFIED IDEOGRAPH-66D9,Lo,CJK Unified Ideographs,4,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0289C0#0: “PlayadelAlba”在西班牙语里是“曙光海岸”的意思。从加勒比海升起的朝阳非常漂亮。 || BRIEFING/BRIEFING_FILES_BLOCK_0289C0#1: “曙光海岸”啊。很适合作为作战的起点。 || BRIEFING/BRIEFING_FILES_BLOCK_028D50#0: “BosquedelAlba”意为“曙光之森”。这个名字果然是因为它位于东海岸。 || BRIEFING/BRIEFING_FILES_BLOCK_029020#1: 那些人擅自把这里叫作“PuertodelAlba”，意思是“曙光之港”。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
曝,U+66DD,CJK UNIFIED IDEOGRAPH-66DD,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_07A0B0#42: 真相曝光后，美国与苏联之间的对立也彻底定型。 || BRIEFING/BRIEFING_MISSION_BLOCK_36D0B0#7: 条约全面禁止核武器的试验、使用、进口和部署等行为……一旦事情曝光，拉丁美洲禁止核武器组织OPANAL就会介入。这会成为国际问题。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
朦,U+6726,CJK UNIFIED IDEOGRAPH-6726,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0377F0#1: 很不巧，还是比较严重的疟疾。意识都变得朦胧，据说一度甚至被认为没救了。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
殿,U+6BBF,CJK UNIFIED IDEOGRAPH-6BBF,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_02E160#8: 就算已经残破，那也是神殿。进去时别忘了保持敬意。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
浅,U+6D45,CJK UNIFIED IDEOGRAPH-6D45,Lo,CJK Unified Ideographs,6,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19680: “我以前是军官候补生。虽然经验尚浅，但会说七种语言。有什么能让我帮上忙的吗？” || SLOT_OLANG/5D4C49A2#36171: 我以前是军官候补生。虽然经验还浅，但会说7种语言。有什么我能帮上忙的吗？ || SLOT_OLANG/5D4C49A2#36527: 我以前是军官候补生。虽然经验还浅，但会说7种语言。有什么我能帮上忙的吗？ || SLOT_OLANG/5D4C49A2#36883: 我以前是军官候补生。虽然经验还浅，但会说7种语言。有什么我能帮上忙的吗？ || SLOT_OLANG/5D4C49A2#37239: 我以前是军官候补生。虽然经验还浅，但会说7种语言。有什么我能帮上忙的吗？,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
溢,U+6EA2,CJK UNIFIED IDEOGRAPH-6EA2,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_029400#2: 这一带的河流经常泛滥。洪水溢出时会冲刷地表，到处都留下这样的沟槽。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
溺,U+6EBA,CJK UNIFIED IDEOGRAPH-6EBA,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_063B40#18: 也许有相似之处。不过我们没有沉溺于神秘主义，也不追求回归自然。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
潟,U+6F5F,CJK UNIFIED IDEOGRAPH-6F5F,Lo,CJK Unified Ideographs,1,LOOSE_OLANG,LOOSE_OLANG/0005EE2F#3058: 新潟方言版,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
燥,U+71E5,CJK UNIFIED IDEOGRAPH-71E5,Lo,CJK Unified Ideographs,3,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6986: 潜入伊拉苏山的热带干燥林，在不被任何人发现且不出现任何死亡者的情况下到达目标地点（终点）。一旦被敌人发现或有任何一名敌人死亡，任务即告失败。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#17525: 潜入伊拉苏山的热带干燥林，在不被任何人发现且不出现任何死亡者的情况下到达目标地点（终点）。一旦被敌人发现或有任何一名敌人死亡，任务即告失败。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#22097: 潜入伊拉苏山的热带干燥林，在不被任何人发现且不出现任何死亡者的情况下到达目标地点（终点）。一旦被敌人发现或有任何一名敌人死亡，任务即告失败。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
璐,U+7490,CJK UNIFIED IDEOGRAPH-7490,Lo,CJK Unified Ideographs,3,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_DEMOTELOP2.OLANG#11830: 朴璐美 || STAGEDAT_OLANG/LANG_GAMEOVER.OLANG#13415: Amanda（CV：朴璐美） || STAGEDAT_OLANG/LANG_GAMEOVER.OLANG#14091: Amanda（CV：朴璐美）,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
畔,U+7554,CJK UNIFIED IDEOGRAPH-7554,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D3B050D#34715: 建筑物另一侧西北方向的湖畔可以看到机场核发射应该会使用那里,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
瞥,U+77A5,CJK UNIFIED IDEOGRAPH-77A5,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_077B90#39: 她瞥了一眼沉浸在庆祝气氛中的我们，低声说道。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
瞳,U+77B3,CJK UNIFIED IDEOGRAPH-77B3,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_047530#6: 不过，外星人到底长什么样？果然是灰色皮肤、没有头发，连瞳孔都没有吗？,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
祭,U+796D,CJK UNIFIED IDEOGRAPH-796D,Lo,CJK Unified Ideographs,1,LOOSE_OLANG,LOOSE_OLANG/007E2F18#4124: 《MonsterHunter》T恤「狩猎祭」,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
翡,U+7FE1,CJK UNIFIED IDEOGRAPH-7FE1,Lo,CJK Unified Ideographs,4,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_029C30#0: 这里流的是RíodelJade，意思是“翡翠之河”。 || BRIEFING/BRIEFING_FILES_BLOCK_029C30#1: 翡翠？这里有矿床吗？ || BRIEFING/BRIEFING_FILES_BLOCK_029C30#2: 不是，只是河面的颜色很像而已。能出产翡翠的是危地马拉。 || BRIEFING/BRIEFING_FILES_BLOCK_05C0F0#2: 好。首先，它的样子你应该还记得。羽毛和背部是绿色VIRIDIAN与蓝色交织成渐变般的色彩，也就是翡翠绿。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
膜,U+819C,CJK UNIFIED IDEOGRAPH-819C,Lo,CJK Unified Ideographs,3,SLOT_OLANG,SLOT_OLANG/5D904CFF#62678: GearREX充满谜团的龙族，别称“核龙”。虽然没有翱翔天空的翼膜，却可能因核辐射突变长出形似巨炮的突起，其强酸体液攻击没有任何防御手段。 || SLOT_OLANG/5D904CFF#62679: GearREX充满谜团的龙族，别称“核龙”。虽然没有翱翔天空的翼膜，却可能因核辐射突变长出形似巨炮的突起，其强酸体液攻击没有任何防御手段。 || SLOT_OLANG/5D904CFF#62680: GearREX充满谜团的龙族，别称“核龙”。虽然没有翱翔天空的翼膜，却可能因核辐射突变长出形似巨炮的突起，其强酸体液攻击没有任何防御手段。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
臣,U+81E3,CJK UNIFIED IDEOGRAPH-81E3,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_04E760#5: 为什么？他不是终结大战的功臣吗？,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
舌,U+820C,CJK UNIFIED IDEOGRAPH-820C,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C79F46D#49: 据说在卷舌宇宙闻名的紫蚯蚓标本，放在切腹岩上，等音叉眨眼就好。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
舐,U+8210,CJK UNIFIED IDEOGRAPH-8210,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_082710#3: 我问她有什么事，她的视线却像舔舐一样，从我身上慢慢扫过。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
苗,U+82D7,CJK UNIFIED IDEOGRAPH-82D7,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_02A4F0#4: 食用香蕉不会结籽，所以是分株育苗，再把这些苗一株株种到田里……,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
荷,U+8377,CJK UNIFIED IDEOGRAPH-8377,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_087AF0#17: 我小心挑选了驱动系统中容易承受负荷的部位，试图让零件发生变形。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
菊,U+83CA,CJK UNIFIED IDEOGRAPH-83CA,Lo,CJK Unified Ideographs,3,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_DEMOTELOP2.OLANG#11835: 菊地由美 || STAGEDAT_OLANG/LANG_GAMEOVER.OLANG#13418: Strangelove（CV：菊地由美） || STAGEDAT_OLANG/LANG_GAMEOVER.OLANG#14094: Strangelove（CV：菊地由美）,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
裕,U+88D5,CJK UNIFIED IDEOGRAPH-88D5,Lo,CJK Unified Ideographs,3,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_034C20#3: 也就是说，他们资金充裕。而且还有门路能弄到那种大型兵器。 || BRIEFING/BRIEFING_FILES_BLOCK_04A590#18: 以后有机会再一起去吧。要是有余裕，我会拍些照片回来。这次就先忍忍吧。 || BRIEFING/BRIEFING_FILES_BLOCK_0586B0#10: 可还是被士兵看见了。光是能逃出来都算奇迹，根本没余裕再找录音带。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
迸,U+8FF8,CJK UNIFIED IDEOGRAPH-8FF8,Lo,CJK Unified Ideographs,1,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19691: “精神抖擞！力量涌现！！激情迸发！！！”,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
陶,U+9676,CJK UNIFIED IDEOGRAPH-9676,Lo,CJK Unified Ideographs,2,BRIEFING | YPK_GTT,YPK_GTT/1C7679A5#265: 嗯——这香味真让人陶醉。马上试试。 || BRIEFING/BRIEFING_FILES_BLOCK_082710#30: 我明明没有那种嗜好，却一时大意，竟然有些陶醉了。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
％,U+FF05,FULLWIDTH PERCENT SIGN,Po,Halfwidth and Fullwidth Forms,26,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4928: 获得的称号数量超过全部称号的％时授予，以作纪念。（英雄度增加） || LOOSE_OLANG/007E2F18#4929: 获得的称号数量超过全部称号的％时授予，以作纪念。（英雄度增加） || LOOSE_OLANG/007E2F18#4930: 获得的勋章数量超过全部勋章的％时授予，以作纪念。（英雄度增加） || LOOSE_OLANG/007E2F18#4931: 获得的勋章数量超过全部勋章的％时授予，以作纪念。（英雄度增加） || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#7576: 正在检查已安装的数据。（进度％）请勿拔出MemoryStick、关闭主机电源，或进入睡眠模式。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
＋,U+FF0B,FULLWIDTH PLUS SIGN,Sm,Halfwidth and Fullwidth Forms,30,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8150: 机密文件（研发班用设计图纸）。记载了开发M16A1（烟雾榴弹＋激光型）所需的条件。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8152: 机密文件（研发班用设计图纸）。记载了开发M16A1（榴弹＋激光型）所需的条件。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8155: 机密文件（研发班用设计图纸）。记载了开发M16A1（霰弹＋激光型）所需的条件。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8658: M16A1（烟雾榴弹＋激光）设计图 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8660: M16A1（榴弹＋激光）设计图,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
．,U+FF0E,FULLWIDTH FULL STOP,Po,Halfwidth and Fullwidth Forms,4,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0084F0#4: 还有人称“阿拉伯的劳伦斯”的T．E．劳伦斯少校。以及写过《游击战》的毛泽东…… || BRIEFING/BRIEFING_FILES_BLOCK_00CDC0#6: 美国真会为了日本，冒着华盛顿D．C．遭到核打击的风险进行反击吗？,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
３,U+FF13,FULLWIDTH DIGIT THREE,Nd,Halfwidth and Fullwidth Forms,76,SLOT_OLANG,SLOT_OLANG/5D81443C#52766: 暴击时造成的伤害是３倍… || SLOT_OLANG/5D81443C#52786: 这里…还有３个守卫… || SLOT_OLANG/5D81443C#53006: 暴击时造成的伤害是３倍… || SLOT_OLANG/5D81443C#53026: 这里…还有３个守卫… || SLOT_OLANG/5D81443C#53246: 暴击时造成的伤害是３倍…,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
４,U+FF14,FULLWIDTH DIGIT FOUR,Nd,Halfwidth and Fullwidth Forms,76,SLOT_OLANG,SLOT_OLANG/5D81443C#52785: 这里…还有４个守卫… || SLOT_OLANG/5D81443C#52816: 我、我身上藏着４件道具… || SLOT_OLANG/5D81443C#53025: 这里…还有４个守卫… || SLOT_OLANG/5D81443C#53056: 我、我身上藏着４件道具… || SLOT_OLANG/5D81443C#53265: 这里…还有４个守卫…,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
５,U+FF15,FULLWIDTH DIGIT FIVE,Nd,Halfwidth and Fullwidth Forms,40,SLOT_OLANG,SLOT_OLANG/5D81443C#52784: 这里…还有５个守卫… || SLOT_OLANG/5D81443C#53024: 这里…还有５个守卫… || SLOT_OLANG/5D81443C#53264: 这里…还有５个守卫… || SLOT_OLANG/5D81443C#53504: 这里…还有５个守卫… || SLOT_OLANG/5D81443C#53744: 这里…还有５个守卫…,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
６,U+FF16,FULLWIDTH DIGIT SIX,Nd,Halfwidth and Fullwidth Forms,2,SLOT_OLANG,SLOT_OLANG/5D81E50B#61827: 项目０６ || SLOT_OLANG/5D81E50B#61859: 项目０６,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
＞,U+FF1E,FULLWIDTH GREATER-THAN SIGN,Sm,Halfwidth and Fullwidth Forms,6,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#7598: 使用数据安装功能将游戏数据安装到MemoryStick后，可为游戏中的无线电添加语音，并缩短读取时间。要删除已安装的数据，请在PSP主机的XMB[游戏]＞[存档数据管理]中，显示[METALGEARSOLIDPEACEWALKER安装数据]后按按钮选择[删除]。要进行数据安装吗？ || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#7600: 使用数据安装功能将游戏数据安装到MemoryStick后，可为游戏中的无线电添加语音，并缩短读取时间。要删除已安装的数据，请在PSP主机的XMB[游戏]＞[存档数据管理]中，显示[METALGEARSOLIDPEACEWALKER安装数据]后按按钮选择[删除]。 || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#12516: 使用数据安装功能将游戏数据安装到MemoryStick后，可为游戏中的无线电添加语音，并缩短读取时间。要删除已安装的数据，请在PSP主机的XMB[游戏]＞[存档数据管理]中，显示[METALGEARSOLIDPEACEWALKER安装数据]后按按钮选择[删除]。要进行数据安装吗？ || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#12518: 使用数据安装功能将游戏数据安装到MemoryStick后，可为游戏中的无线电添加语音，并缩短读取时间。要删除已安装的数据，请在PSP主机的XMB[游戏]＞[存档数据管理]中，显示[METALGEARSOLIDPEACEWALKER安装数据]后按按钮选择[删除]。 || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#21759: 使用数据安装功能将游戏数据安装到MemoryStick后，可为游戏中的无线电添加语音，并缩短读取时间。要删除已安装的数据，请在PSP主机的XMB[游戏]＞[存档数据管理]中，显示[METALGEARSOLIDPEACEWALKER安装数据]后按按钮选择[删除]。要进行数据安装吗？,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
Ｃ,U+FF23,FULLWIDTH LATIN CAPITAL LETTER C,Lu,Halfwidth and Fullwidth Forms,6,SLOT_OLANG,SLOT_OLANG/5D83C375#62286: 「连续！Ｃ！Ｑ！Ｃ！」 || SLOT_OLANG/5D83C375#62324: 「连续！Ｃ！Ｑ！Ｃ！」 || SLOT_OLANG/5D83C375#62362: 「连续！Ｃ！Ｑ！Ｃ！」,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
