character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
殃,U+6B83,CJK UNIFIED IDEOGRAPH-6B83,Lo,CJK Unified Ideographs,7,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19511: “眩晕手雷扔出去后得马上别过脸，不然自己的眼睛也会遭殃……说得太对了，Boss！” || SLOT_OLANG/5D3AF5CD#33497: 已经有很多人遭殃了 || SLOT_OLANG/5D3AF5CD#33576: 已经有很多人遭殃了 || SLOT_OLANG/5D4C49A2#36002: 投出眩晕手榴弹后必须立刻把脸转开，不然自己的眼睛也会遭殃……说得太对了，Boss！ || SLOT_OLANG/5D4C49A2#36358: 投出眩晕手榴弹后必须立刻把脸转开，不然自己的眼睛也会遭殃……说得太对了，Boss！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
涨,U+6DA8,CJK UNIFIED IDEOGRAPH-6DA8,Lo,CJK Unified Ideographs,7,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19499: “士气高涨时，就能发挥出超出平时的能力。我要上了！” || SLOT_OLANG/5D4C49A2#35990: 士气高涨时，就能发挥出超越自身水平的能力。干起来！ || SLOT_OLANG/5D4C49A2#36346: 士气高涨时，就能发挥出超越自身水平的能力。干起来！ || SLOT_OLANG/5D4C49A2#36702: 士气高涨时，就能发挥出超越自身水平的能力。干起来！ || SLOT_OLANG/5D4C49A2#37058: 士气高涨时，就能发挥出超越自身水平的能力。干起来！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咧,U+54A7,CJK UNIFIED IDEOGRAPH-54A7,Lo,CJK Unified Ideographs,6,LOOSE_OLANG,LOOSE_OLANG/007E2F18#3998: 超厉害的电磁脉冲咧！ || LOOSE_OLANG/007E2F18#4003: 武器舱坏掉了咧。 || LOOSE_OLANG/007E2F18#4025: 超厉害的电磁脉冲咧！ || LOOSE_OLANG/007E2F18#4030: 烫得不得了咧～ || LOOSE_OLANG/007E2F18#4032: 烫得不得了咧～,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咫,U+54AB,CJK UNIFIED IDEOGRAPH-54AB,Lo,CJK Unified Ideographs,6,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19562: “教官告诉我：‘面对近在咫尺的敌人，CQC比枪械更有效！’我绝不会偷懒训练！” || SLOT_OLANG/5D4C49A2#36053: 教官告诉我：『面对近在咫尺的敌人，CQC比枪械更有效』！我不会偷懒，一定好好训练！ || SLOT_OLANG/5D4C49A2#36409: 教官告诉我：『面对近在咫尺的敌人，CQC比枪械更有效』！我不会偷懒，一定好好训练！ || SLOT_OLANG/5D4C49A2#36765: 教官告诉我：『面对近在咫尺的敌人，CQC比枪械更有效』！我不会偷懒，一定好好训练！ || SLOT_OLANG/5D4C49A2#37121: 教官告诉我：『面对近在咫尺的敌人，CQC比枪械更有效』！我不会偷懒，一定好好训练！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嘶,U+5636,CJK UNIFIED IDEOGRAPH-5636,Lo,CJK Unified Ideographs,6,SLOT_OLANG | YPK_GTT,YPK_GTT/1C79F42D#34: 嘎——！呜——！吼——！咕咕咕……嘶——！嗷——！ || SLOT_OLANG/5DDB94DF#88791: 嘶——！ || SLOT_OLANG/5DDB94DF#88975: 嘶——！ || SLOT_OLANG/5DDB94DF#89159: 嘶——！ || SLOT_OLANG/5DDB94DF#89343: 嘶——！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
鸭,U+9E2D,CJK UNIFIED IDEOGRAPH-9E2D,Lo,CJK Unified Ideographs,6,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_UTIL.OLANG#10186: (不要)好奇心旺盛、不服输，还有点爱逞强的鸭子女孩（不过其实很爱哭）。很擅长游泳，和青蛙Kerotan是好朋友。 || SLOT_OLANG/5DD9AF4C#88414: (不要)好奇心旺盛、不服输，还有一点爱逞威风的鸭子女孩（不过是个爱哭鬼）。擅长游泳，和青蛙Kerotan是好朋友。 || SLOT_OLANG/5DD9AF4C#88470: (不要)好奇心旺盛、不服输，还有一点爱逞威风的鸭子女孩（不过是个爱哭鬼）。擅长游泳，和青蛙Kerotan是好朋友。 || SLOT_OLANG/5DD9AF4C#88526: (不要)好奇心旺盛、不服输，还有一点爱逞威风的鸭子女孩（不过是个爱哭鬼）。擅长游泳，和青蛙Kerotan是好朋友。 || SLOT_OLANG/5DD9AF4C#88582: (不要)好奇心旺盛、不服输，还有一点爱逞威风的鸭子女孩（不过是个爱哭鬼）。擅长游泳，和青蛙Kerotan是好朋友。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
卜,U+535C,CJK UNIFIED IDEOGRAPH-535C,Lo,CJK Unified Ideographs,5,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19706: “你相信占卜吗？我只相信你。” || SLOT_OLANG/5D4C49A2#36197: 你相信占卜吗？我只相信你。 || SLOT_OLANG/5D4C49A2#36553: 你相信占卜吗？我只相信你。 || SLOT_OLANG/5D4C49A2#36909: 你相信占卜吗？我只相信你。 || SLOT_OLANG/5D4C49A2#37265: 你相信占卜吗？我只相信你。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
呕,U+5455,CJK UNIFIED IDEOGRAPH-5455,Lo,CJK Unified Ideographs,5,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19461: “我是在山里长大的，对大海啊船啊这些有点……呕。真想出任务……” || SLOT_OLANG/5D4C49A2#35952: 我是在山里长大的，对海啊船啊这些有点……呕。真想出任务…… || SLOT_OLANG/5D4C49A2#36308: 我是在山里长大的，对海啊船啊这些有点……呕。真想出任务…… || SLOT_OLANG/5D4C49A2#36664: 我是在山里长大的，对海啊船啊这些有点……呕。真想出任务…… || SLOT_OLANG/5D4C49A2#37020: 我是在山里长大的，对海啊船啊这些有点……呕。真想出任务……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嘱,U+5631,CJK UNIFIED IDEOGRAPH-5631,Lo,CJK Unified Ideographs,5,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7837: Huey托付给Snake、让他转交给Strangelove的信。Huey还特意叮嘱不要偷看，不过…… || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#15542: Huey托付给Snake、让他转交给Strangelove的信。Huey还特意叮嘱不要偷看，不过…… || SLOT_OLANG/5D56A63D#43901: 休伊托付给你、要转交给斯特兰奇洛夫的信。他特意叮嘱不要偷看，不过…… || SLOT_OLANG/5D56A63D#45427: 休伊托付给你、要转交给斯特兰奇洛夫的信。他特意叮嘱不要偷看，不过…… || SLOT_OLANG/5D56A63D#46953: 休伊托付给你、要转交给斯特兰奇洛夫的信。他特意叮嘱不要偷看，不过……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嵌,U+5D4C,CJK UNIFIED IDEOGRAPH-5D4C,Lo,CJK Unified Ideographs,5,SLOT_OLANG,SLOT_OLANG/5DDB94DF#88915: 我们是嵌进旧威慑体系的一枚齿轮。 || SLOT_OLANG/5DDB94DF#89099: 我们是嵌进旧威慑体系的一枚齿轮。 || SLOT_OLANG/5DDB94DF#89283: 我们是嵌进旧威慑体系的一枚齿轮。 || SLOT_OLANG/5DDB94DF#89467: 我们是嵌进旧威慑体系的一枚齿轮。 || SLOT_OLANG/5DDB94DF#89651: 我们是嵌进旧威慑体系的一枚齿轮。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
憬,U+61AC,CJK UNIFIED IDEOGRAPH-61AC,Lo,CJK Unified Ideographs,5,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_019000#10: 这个嘛……我对巴黎姑娘有点憧憬…… || BRIEFING/BRIEFING_FILES_BLOCK_019D90#12: 憧憬会催生新的憧憬，最终变成把全人类都卷进去的巨大漩涡。 || BRIEFING/BRIEFING_FILES_BLOCK_077B90#5: 在曼彻斯特，很少有机会看到满天繁星。但那已经足以点燃我的憧憬。 || BRIEFING/BRIEFING_FILES_BLOCK_07CA30#32: 我感到羞愧。我只顾憧憬星空，却从未想过低头看看脚下，看看支撑着自己的这片大地。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
犷,U+72B7,CJK UNIFIED IDEOGRAPH-72B7,Lo,CJK Unified Ideographs,5,BRIEFING | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8008: 防御力、伪装率和主武器弹药携带量都较低，但移动速度出色的野性战士用战斗服。想投身粗犷激烈战斗的玩家可以选择这套制服。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#15713: 防御力、伪装率和主武器弹药携带量都较低，但移动速度出色的野性战士用战斗服。想投身粗犷激烈战斗的玩家可以选择这套制服。 || BRIEFING/BRIEFING_FILES_BLOCK_017AD0#8: 隐蔽性与攻击力的完美融合。粗犷的设计也很不错。这才叫完美设计！ || BRIEFING/BRIEFING_FILES_BLOCK_05A620#2: 那就好。我还以为像你这样的文化人，会不适应这么粗犷的平台。 || BRIEFING/BRIEFING_FILES_BLOCK_084BB0#5: 当然，毕竟是一群粗犷战士的生日会，不会搞什么吹蛋糕蜡烛之类装模作样的仪式。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
蛤,U+86E4,CJK UNIFIED IDEOGRAPH-86E4,Lo,CJK Unified Ideographs,5,BRIEFING | YPK_GTT,YPK_GTT/1C79F42D#31: 正好！让它吃掉蛤蟆SOMOZA吧！ || BRIEFING/BRIEFING_FILES_BLOCK_02FA90#7: 从那以后，蛤蟆SOMOZA就开始啃食我们的祖国。 || BRIEFING/BRIEFING_FILES_BLOCK_02FE70#0: 蛤蟆SOMOZA一家掌控尼加拉瓜，已经有40年了。 || BRIEFING/BRIEFING_FILES_BLOCK_0306F0#10: 也就是说，只要不是反美政权就行。哪怕对方是条狗，或者蛤蟆SOMOZA。 || BRIEFING/BRIEFING_FILES_BLOCK_035660#5: 而且最大的地主，偏偏还是蛤蟆SOMOZA一家。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
蟆,U+87C6,CJK UNIFIED IDEOGRAPH-87C6,Lo,CJK Unified Ideographs,5,BRIEFING | YPK_GTT,YPK_GTT/1C79F42D#31: 正好！让它吃掉蛤蟆SOMOZA吧！ || BRIEFING/BRIEFING_FILES_BLOCK_02FA90#7: 从那以后，蛤蟆SOMOZA就开始啃食我们的祖国。 || BRIEFING/BRIEFING_FILES_BLOCK_02FE70#0: 蛤蟆SOMOZA一家掌控尼加拉瓜，已经有40年了。 || BRIEFING/BRIEFING_FILES_BLOCK_0306F0#10: 也就是说，只要不是反美政权就行。哪怕对方是条狗，或者蛤蟆SOMOZA。 || BRIEFING/BRIEFING_FILES_BLOCK_035660#5: 而且最大的地主，偏偏还是蛤蟆SOMOZA一家。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
递,U+9012,CJK UNIFIED IDEOGRAPH-9012,Lo,CJK Unified Ideographs,5,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#5171: ●向NORAD传递情报 || STAGEDAT_OLANG/LANG_MYOUTER_TOP.OLANG#10127: 与战友互相传递武器和道具，一起完成困难的任务吧。 || STAGEDAT_OLANG/LANG_MYOUTER_TOP.OLANG#20128: 与战友互相传递武器和道具，一起完成困难的任务吧。 || SLOT_OLANG/5DDD0EA8#89721: ●向NORAD传递情报 || BRIEFING/BRIEFING_FILES_BLOCK_0924D0#1: 就是那个拉拢她安插的潜伏特工、不断向美国传递假情报的男人。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
酣,U+9163,CJK UNIFIED IDEOGRAPH-9163,Lo,CJK Unified Ideographs,5,SLOT_OLANG,SLOT_OLANG/5DDB94DF#88938: 那是在冷战正酣的1964年。 || SLOT_OLANG/5DDB94DF#89122: 那是在冷战正酣的1964年。 || SLOT_OLANG/5DDB94DF#89306: 那是在冷战正酣的1964年。 || SLOT_OLANG/5DDB94DF#89490: 那是在冷战正酣的1964年。 || SLOT_OLANG/5DDB94DF#89674: 那是在冷战正酣的1964年。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
吩,U+5429,CJK UNIFIED IDEOGRAPH-5429,Lo,CJK Unified Ideographs,4,SLOT_OLANG,SLOT_OLANG/5D4C49A2#35971: 支援也是正经任务！有什么尽管吩咐！ || SLOT_OLANG/5D4C49A2#36327: 支援也是正经任务！有什么尽管吩咐！ || SLOT_OLANG/5D4C49A2#36683: 支援也是正经任务！有什么尽管吩咐！ || SLOT_OLANG/5D4C49A2#37039: 支援也是正经任务！有什么尽管吩咐！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咐,U+5490,CJK UNIFIED IDEOGRAPH-5490,Lo,CJK Unified Ideographs,4,SLOT_OLANG,SLOT_OLANG/5D4C49A2#35971: 支援也是正经任务！有什么尽管吩咐！ || SLOT_OLANG/5D4C49A2#36327: 支援也是正经任务！有什么尽管吩咐！ || SLOT_OLANG/5D4C49A2#36683: 支援也是正经任务！有什么尽管吩咐！ || SLOT_OLANG/5D4C49A2#37039: 支援也是正经任务！有什么尽管吩咐！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
寞,U+5BDE,CJK UNIFIED IDEOGRAPH-5BDE,Lo,CJK Unified Ideographs,4,BRIEFING | YPK_GTT,YPK_GTT/1C79F42D#61: 冷饭总让人觉得有点寂寞……热一下也许更好吃。 || BRIEFING/BRIEFING_FILES_BLOCK_00E980#37: 大概是儿子死了，又赶上离婚，父亲太寂寞了吧……所以才会对我这种人产生兴趣。 || BRIEFING/BRIEFING_FILES_BLOCK_041360#0: 和母亲分开生活，你不觉得寂寞吗？ || BRIEFING/BRIEFING_FILES_BLOCK_077B90#9: 自然而然，我只能在夜里外出。因此几乎没有机会和同龄孩子一起玩，但我也不觉得寂寞。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
捺,U+637A,CJK UNIFIED IDEOGRAPH-637A,Lo,CJK Unified Ideographs,4,SLOT_OLANG,SLOT_OLANG/5D4C49A2#36188: Boss！请把我派上战场！我已经坐不住了！浑身都按捺不住！ || SLOT_OLANG/5D4C49A2#36544: Boss！请把我派上战场！我已经坐不住了！浑身都按捺不住！ || SLOT_OLANG/5D4C49A2#36900: Boss！请把我派上战场！我已经坐不住了！浑身都按捺不住！ || SLOT_OLANG/5D4C49A2#37256: Boss！请把我派上战场！我已经坐不住了！浑身都按捺不住！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
溪,U+6EAA,CJK UNIFIED IDEOGRAPH-6EAA,Lo,CJK Unified Ideographs,4,BRIEFING | YPK_GTT,YPK_GTT/1C79F2ED#23: 往北边的溪谷走。 || YPK_GTT/1C7A72ED#93: 前往北边的山谷溪流。 || BRIEFING/BRIEFING_FILES_BLOCK_042040#0: 村子北边有一条山溪。那里横着一根带踏板的水管，可以当桥用。听说原本是给抽水蓄能电站引水用的。 || BRIEFING/BRIEFING_FILES_BLOCK_042040#3: 听说山溪里有Basilisco，不过可别被它分散注意力，掉下去了。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
绷,U+7EF7,CJK UNIFIED IDEOGRAPH-7EF7,Lo,CJK Unified Ideographs,4,SLOT_OLANG,SLOT_OLANG/5D4C49A2#36149: 来，绷紧屁股狠狠干吧！ || SLOT_OLANG/5D4C49A2#36505: 来，绷紧屁股狠狠干吧！ || SLOT_OLANG/5D4C49A2#36861: 来，绷紧屁股狠狠干吧！ || SLOT_OLANG/5D4C49A2#37217: 来，绷紧屁股狠狠干吧！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
罕,U+7F55,CJK UNIFIED IDEOGRAPH-7F55,Lo,CJK Unified Ideographs,4,BRIEFING | LOOSE_OLANG,LOOSE_OLANG/00D345A5#5946: 以西德军主力步枪G3为基础衍生制造的冲锋枪。使用欧洲常见的9毫米弹药，威力中等。所配备的消音器为内置式，因此消音效果不会中断。作为冲锋枪，它罕见地采用闭膛待击机构，命中精度明显高于其他型号。凭借较高精度，其部位目标修正距离也比其他冲锋枪更远，使用手感接近突击步枪。面对中近距离敌人时，是一把可靠的武器。 || LOOSE_OLANG/00D345A5#5947: 以西德军主力步枪G3为基础衍生制造的冲锋枪。使用欧洲常见的9毫米弹药，威力中等。作为冲锋枪，它罕见地采用闭膛待击机构，命中精度明显高于其他型号。凭借较高精度，其部位目标修正距离也比其他冲锋枪更远，使用手感接近突击步枪。面对中近距离敌人时，是一把可靠的武器。配有消音器，但使用次数有限，需要注意。 || LOOSE_OLANG/00D345A5#5948: 以西德军主力步枪G3为基础衍生制造的冲锋枪。使用欧洲常见的9毫米弹药，威力中等。作为冲锋枪，它罕见地采用闭膛待击机构，命中精度明显高于其他型号。凭借较高精度，其部位目标修正距离也比其他冲锋枪更远，使用手感接近突击步枪。面对中近距离敌人时，是一把可靠的武器。 || BRIEFING/BRIEFING_MISSION_BLOCK_3705D0#41: 就是幸存下来的恐龙，或者罕见的怪物MONSTER之类。我以后想成为猎人HUNTER。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
