record_index,status,mapped_codepoints,record_file_offset,record_hex,u0,v0,u1,v1,bearing_x,width,advance,reserved,own_nonzero,own_bbox,paired_00c7_nonzero,paired_00c7_bbox,own_sha256,paired_00c7_sha256
20,USED,U+004C,,,724,1,769,67,1,45,44,0,621,"[0,9,44,57]",,,1941830280639b77040def8562b8b0273484ecab6b6d3cfb6751e2b661b3384a,
21,USED,U+004D,,,771,1,829,67,1,58,58,0,1201,"[0,9,58,58]",,,398f6c7f34a83445945c3aa6e6724d5a69d7f206a6f47f3f426846497509607b,
22,USED,U+004E,,,831,1,883,67,1,52,51,0,823,"[0,9,52,58]",,,dd4981b315e099e67e5d6c8fe56f33c3781f294f662abb9eeca98d7597430e63,
23,USED,U+004F,,,885,1,935,67,1,50,50,0,948,"[0,8,50,58]",,,e9893bdb66d597afa19906163defc4af667d2646f6f9346725f96b64146dcf00,
24,USED,U+0050,,,937,1,980,67,1,43,43,0,822,"[0,9,43,57]",,,805b29249ce30468f199577fc322c386a8306115fa1c12ec57303e60ebb3229a,
25,USED,U+0052,,,982,1,1032,67,1,50,49,0,1084,"[0,9,50,57]",,,e665279cc977a7744085bf2ec3fdc3c06410c4c11d5ae48ac6caae020eb2182b,
26,USED,U+0053,,,1034,1,1073,67,1,39,39,0,792,"[0,8,38,58]",,,4cf7b483bd99dfea3f1111ce3bb57fdb497335a2285c472e67751a53db03dc6c,
27,USED,U+0054,,,1075,1,1126,67,1,51,50,0,723,"[0,9,51,57]",,,c58a11fbe88a3b893d8e605bc43d3d79c8350c0bce7c820fe8bb70d0a3e43f03,
28,USED,U+0055,,,1128,1,1181,67,1,53,52,0,653,"[0,9,53,57]",,,098b6505c78de6f25b5d1ed085626d0132b03d9258a5f413c5f6f6d91fca10b4,
29,USED,U+0057,,,1183,1,1245,67,1,62,61,0,1145,"[0,9,62,58]",,,b67b590e920410c3b16450bb153c7e0d4b7f48e1ff8cf75a3290d8457c73e7e3,
30,USED,U+0060,,,1247,1,1266,67,1,19,20,0,100,"[0,0,19,8]",,,9cd33d40d647e7c41f7fbb058e53cc64b7056aaf29c0bdc211e096ad29cddaf0,
31,USED,U+0061,,,1267,1,1305,67,-1,38,38,0,663,"[0,23,38,58]",,,73f1cd844e000427f1fe3d28f32c4b763897446cd3b5620d2ad03f86320d3da2,
32,USED,U+0062,,,1306,1,1346,67,-1,40,39,0,817,"[0,5,40,58]",,,517032783fb6322893460d933ae3b29977a433568fcd4ff2caf60109f2cd743d,
33,USED,U+0065,,,1348,1,1382,67,1,34,34,0,553,"[0,23,34,58]",,,dad6a4905331c20829e9fd9056058b0a687b725755debcea376d3f7505240202,
34,USED,U+0069,,,1383,1,1406,67,-1,23,23,0,482,"[0,8,23,57]",,,cf52b8c0e6140e0ec496d93a8369909e27aae5e82ce9c31b19b8e8ff0419524f,
35,USED,U+006C,,,1407,1,1430,67,-1,23,23,0,511,"[0,5,23,57]",,,6dbf9cb06cf3d6c88a184368c2fcfb1e612f11483a42e6b3b9b3a18df18b26dc,
36,USED,U+006E,,,1431,1,1477,67,0,46,45,0,761,"[0,22,46,57]",,,78f7a16483305e4c8ca92f11610ae1e5304dff890a0040a7647f5f2af2411f6c,
37,USED,U+006F,,,1478,1,1514,67,0,36,36,0,594,"[0,23,36,58]",,,ac7c962b95285ec7e3e52027bf22984cb53f69746944fb46bc7ece02596787a7,
38,USED,U+0072,,,1515,1,1545,67,0,30,29,0,459,"[0,22,30,57]",,,6e13169767ea4ab05bbf7817d6fe5c0f726b49f7820c47573e8c123347827a4e,
39,USED,U+0074,,,1546,1,1573,67,0,27,27,0,468,"[0,12,27,58]",,,2e623d080f5cdbbcbbe93168884f13dc5874f9569b1da7ee2f0e931458be2572,
40,USED,U+0079,,,1574,1,1617,67,0,43,42,0,558,"[0,23,43,65]",,,27dcd0759082b7a5b66c1a520a73b91ab44a580d9f035d6497500da4dd55c958,
41,USED,U+00AE,,,1618,1,1619,67,0,1,66,0,0,,,,efbb03b7a7f6fd3c29391d4d0281e1830a85caadd831c3f04716faca4107a42e,
42,USED,U+201C,,,1656,1,1722,67,36,66,68,0,320,"[36,1,64,21]",,,65390cf70447f25b92500ce0cdb2be9df805adf28bf8aa9eaf4de06b5e90b5c9,
43,USED,U+201D,,,1725,1,1791,67,2,66,102,0,318,"[2,1,30,21]",,,61c2d6ccdd6bf2d4f6d1cefc156dafa99a734f074eef89b326f6c88d11cbcd66,
44,USED,U+2026,,,1797,1,1863,67,5,66,71,0,394,"[5,27,61,40]",,,4648e8caf44eb991492d4b5cc22f6e79dfbccf79d205c970e6a56a38249dac86,
45,USED,U+3001,,,1866,1,1932,67,2,66,113,0,144,"[2,44,19,61]",,,81478a0dfb10b6d566e23aa7fa44a04a9b9dc5f54051ce6b7f0ed1aa4feacc5c,
46,USED,U+3002,,,1935,1,2001,67,2,66,112,0,186,"[2,44,20,62]",,,8760f37f1efe9c0bd19afcb56e8670d0b1238fe3ff38919a12c37c6ead6697eb,
47,USED,U+3005,,,8,68,74,134,7,66,74,0,799,"[7,9,58,57]",,,468c26a030d8b77981229c16fd90074828816f1207f7c41218e1d0c8a8edffcf,
48,USED,U+300E,,,113,68,179,134,38,66,69,0,546,"[38,3,63,50]",,,601461b4bee039eac56dc6bcbd1617162c503b788e58a11d04d52674d6691bbc,
49,USED,U+300F,,,183,68,249,134,3,66,104,0,538,"[3,17,28,63]",,,c0157f1c3760e28ad62c3463bd3652729de527ea539647e6dd687d9bd900da81,
50,USED,U+3042,,,256,68,322,134,6,66,73,0,1497,"[6,4,59,62]",,,1a1eac836d9f11973dc363b97dc39fef04c363e026de4f6257de35ae7c92a6c5,
51,USED,U+3044,,,330,68,396,134,7,66,72,0,894,"[7,10,60,59]",,,d0fdb708784b2b9d59126e51643289e95c07747385157f5754fbc364f6dc8594,
52,USED,U+3046,,,408,68,474,134,11,66,77,0,889,"[11,4,55,62]",,,de8e99d4f61321122bc9b2aa494a8f8bda5ac6c45556f7dbd7fb5f50534c3686,
53,USED,U+3048,,,481,68,547,134,6,66,71,0,1157,"[6,4,61,62]",,,9af38880f27438316161c696f6880e7808bbd156ec92c4b75a4169cb643393b0,
54,USED,U+304A,,,552,68,618,134,4,66,71,0,1446,"[4,4,61,62]",,,939352c866cdd2b53564a1a58398ec84e5e4273d66ea0562b744b890abaf9107,
55,USED,U+304B,,,623,68,689,134,4,66,70,0,1379,"[4,4,62,62]",,,8aad48973cc8718c197d64399fc26651e7242489805e60b7b3b57c589391d050,
56,USED,U+304C,,,694,68,760,134,4,66,68,0,1548,"[4,1,64,62]",,,f05d226e52e4131cf227633fe83090449a99ae560bad395dea1a9caa5c28ccde,
57,USED,U+304D,,,766,68,832,134,5,66,72,0,1339,"[5,5,60,61]",,,82c34bdf039b91e2c77e77b5ffac9e1cb538857e8c546bf039bfe6b0a2ee3af9,
58,USED,U+304F,,,845,68,911,134,12,66,82,0,657,"[12,5,50,62]",,,39ea91446c1656bd2a9308b1ee9ee5656551a581a5498b954bfcea6c0ae5e7e0,
59,USED,U+3050,,,921,68,987,134,9,66,68,0,823,"[9,1,64,62]",,,6471da779df63390b02c12f1d15388a912f34d14cc628fd48d36dcbc02d45af9,
60,USED,U+3051,,,995,68,1061,134,7,66,68,0,1234,"[7,5,64,64]",,,655f3fa60aa442b03585c47ab4d63cba165defa008306e6e1ce8bf8250b5a7ed,
61,USED,U+3052,,,1065,68,1131,134,3,66,66,0,1370,"[3,1,66,64]",,,03166f4e0fc678618ad464edd7396fa9c06721b6672f171f188ee64b6f0f391a,
62,USED,U+3053,,,1143,68,1209,134,11,66,75,0,779,"[11,9,57,60]",,,c912b43ed518fbdf6882b12ff79c35bec42bc4be4353ba5e68c62ddf5bce7795,
63,USED,U+3054,,,1220,68,1286,134,10,66,67,0,950,"[10,1,65,60]",,,272870c75852b97b3317f1ac664bdc5a2eeb65ce5cd68646a19574d95f4e9f5b,
64,USED,U+3055,,,1296,68,1362,134,9,66,75,0,1186,"[9,4,57,60]",,,467998442d671a701bd5021eb3b384c5bcd53338d5631311b3ab483b19ca06b5,
65,USED,U+3057,,,1374,68,1440,134,11,66,75,0,700,"[11,5,56,60]",,,a0be5f3b74dba9ec4c4ef41b527fa5fffc2ef91c857875f9f09b07945146bfe6,
66,USED,U+3058,,,1452,68,1518,134,11,66,75,0,865,"[11,5,57,60]",,,4634dba7d89417048c7cc899797160930cda7c64128e0b4d9968615dcbe57610,
67,USED,U+3059,,,1521,68,1587,134,2,66,69,0,1070,"[2,3,63,64]",,,0aff2299fbe8516033001e4d199afe3c1e4202f7ec47b71f586547848750845d,
68,USED,U+305A,,,1590,68,1656,134,2,66,67,0,1212,"[2,1,65,64]",,,854b0923c6a219095516cc6eaa3ee1633fdce0178108d1f2c886663bc5df13ca,
69,USED,U+305B,,,1659,68,1725,134,2,66,69,0,1333,"[2,5,63,59]",,,6932a69733c4b2727e525f259ee1108416bf3a74ad7423748e5d07d78eb82635,
70,USED,U+305D,,,1729,68,1795,134,3,66,69,0,1119,"[3,6,62,61]",,,6cbbd8f19941fae8465173401bdde8d05a605aead76b115ac78bcfc8e7948154,
71,USED,U+305E,,,1799,68,1865,134,3,66,67,0,1281,"[3,1,65,61]",,,a6643e723ba2cf6bfd0ba2a5c1cce8c7a1d5c3e933b7177a0b02e26fa3f6e341,
72,USED,U+305F,,,1870,68,1936,134,4,66,71,0,1171,"[4,4,61,61]",,,77323d460ba8a5dcb555178facc73f7ab72873990a3a32624ccf1d71cc5d45b4,
73,USED,U+3060,,,1941,68,2007,134,4,66,68,0,1347,"[4,2,64,61]",,,3efd2bf5a3a8758e544b9472b8b22e9f77c5c96017c2fe3c006f64d0d1d82875,
74,USED,U+3061,,,8,135,74,201,7,66,75,0,1061,"[7,4,57,63]",,,35e61d1d7c33a99c089f8786ed0756441a8c8304c44a7c6c011e13d6bc55ad20,
75,USED,U+3063,,,83,135,149,201,8,66,77,0,555,"[8,25,55,60]",,,cbbfca616bccb89a81990722963d3b9367a5ef4515c415602884a6a34ac7ba30,
76,USED,U+3064,,,154,135,220,201,4,66,71,0,823,"[5,13,60,57]",,,1d8e0896df31dccf27f5656d714ff157d1ea8269d9dfe3dfdc413e3996686eae,
77,USED,U+3066,,,224,135,290,201,3,66,70,0,866,"[3,8,62,61]",,,893171a65338c393f1e448d1982521b6ca2cd88a1abe24774cd9e6c40fd982fb,
78,USED,U+3067,,,294,135,360,201,3,66,70,0,1045,"[3,8,62,61]",,,65013fe0ef04e5479c3a39c0ba74b03f981dbf8f9e56514949be0e6bed180831,
79,USED,U+3068,,,372,135,438,201,11,66,75,0,944,"[11,5,57,60]",,,142b8e5dcb633aedb61d3e3a7cbb89b98b4e7e2ff5714d2b6b7152ed2b03ecbb,
80,USED,U+3069,,,450,135,516,201,11,66,68,0,1116,"[11,3,64,60]",,,07718a4934f210267f94f895a6c12d098f805899e693ba93acd5daf210259269,
81,USED,U+306A,,,521,135,587,201,4,66,71,0,1385,"[4,5,61,61]",,,936112e25d7c6cdb9f0e9cfa3f9f357484c1ac8adfef81eb8a4eafd7e02ba185,
82,USED,U+306B,,,595,135,661,201,7,66,73,0,1005,"[7,7,59,59]",,,36437640b286c1aadeefbc6d3eea0b980e597bda0bfb90598e7fec8914f62a63,
83,USED,U+306C,,,667,135,733,201,5,66,69,0,1544,"[5,5,63,60]",,,451dbd78a1794c5bdc7c56639948d59a4ea8424477a8f8ca75368fc2e7374ab4,
84,USED,U+306E,,,739,135,805,201,5,66,71,0,1225,"[5,9,61,59]",,,6734977a703a21a30a113ba8bd19c86462e405ad43f4372605b386f5987fc2fe,
85,USED,U+306F,,,812,135,878,201,6,66,69,0,1490,"[6,5,63,61]",,,83bd4844dc3ca2be5b758b1b89c996ca5c9a940012cfde9320d08276f2d4e605,
86,USED,U+3070,,,885,135,951,201,6,66,66,0,1617,"[6,1,66,61]",,,b722def042b826c8a6a7084a954b0a31fee9db5449ae72f0944c8e0518e95ff5,
87,USED,U+3072,,,957,135,1023,201,5,66,69,0,1190,"[5,8,63,61]",,,0108abd70754adc5264e754bd12b6812f407857931189f911283ab3d12c55137,
88,USED,U+3073,,,1029,135,1095,201,5,66,67,0,1341,"[5,1,65,61]",,,4267b4b18b949969c56a98fd5a878ceb34a10548ef1e1c1a8af841136d25f80b,
89,USED,U+3076,,,1099,135,1165,201,3,66,69,0,1306,"[3,1,63,62]",,,1ba22e987ac24a073f303c974f4630beaae205ea8df2d099a7af56f7e307a1af,
90,USED,U+307C,,,1170,135,1236,201,4,66,67,0,1665,"[4,1,65,60]",,,c08eb00ec9725829b828f814891be8333e7545315b1d518abfe1f5b7b3fd798c,
91,USED,U+307E,,,1244,135,1310,201,7,66,74,0,1365,"[7,5,58,60]",,,cc0c3fcce2cf21517a33e52177275688c5214ffceab3c1e5ab90dfe2097aea34,
92,USED,U+307F,,,1315,135,1381,201,4,66,69,0,1253,"[4,6,62,62]",,,70af9dde2e36c9aa713f1f013df22d46a5701f5e270f324bc18a2c59961130db,
93,USED,U+3081,,,1387,135,1453,201,5,66,70,0,1447,"[5,5,62,61]",,,3cdd9b1e2959f21e36c71d1fe27e1a8ca4dc1a1a4c4098191daed2604ee2b7b4,
94,USED,U+3082,,,1463,135,1529,201,9,66,75,0,1140,"[9,5,57,61]",,,17feb736c1325253fe4bf2bff0a0cc4256885b41766db571aef6fcff19a11577,
95,USED,U+3083,,,1537,135,1603,201,7,66,75,0,839,"[7,15,57,63]",,,c865948dd78482b2a5b1031dbe30ad7e0e94cc03f21ec1ae6c406d508a644372,
96,USED,U+3084,,,1607,135,1673,201,3,66,70,0,1163,"[3,5,61,63]",,,d4f86a5fbd05785f379ffb1d04bd994d5261d45afdb09f16474ca1a3840087ab,
97,USED,U+3088,,,1681,135,1747,201,7,66,74,0,1032,"[7,6,58,61]",,,c3ad3d6546f9cfc419fa7c492f095c342c7ba7284885cd8bf1c62d30a2603cb4,
98,USED,U+3089,,,1759,135,1825,201,11,66,77,0,867,"[11,4,55,61]",,,a8dac5f09f29815377d944914369cf5e44b8e460f94a481269027e5e6a222015,
99,USED,U+308A,,,1838,135,1904,201,12,66,80,0,979,"[12,5,52,61]",,,47e1e635a48aa8820d03ce7c14a8554abad50c5cd15afaff5ab2b8e9514ad17f,
100,USED,U+308B,,,1912,135,1978,201,7,66,75,0,1186,"[7,7,57,61]",,,c8440f20b5431eb2c82b57ee246a9d7346feae1fc415ee417ce5f561fe11bfd1,
101,USED,U+308C,,,4,202,70,268,3,66,69,0,1240,"[3,5,62,61]",,,ead7464e938613f66b7283fa6eb36ea544fc31190a8ed82c48a56cf9dee77243,
102,USED,U+308D,,,79,202,145,268,8,66,76,0,1011,"[8,7,56,61]",,,f2aa7b457590b62748465b272dcb008bbff2c3dd88db75f9786d5c64e6c25fef,
103,USED,U+308F,,,149,202,215,268,3,66,71,0,1233,"[3,4,61,62]",,,feb4bf1089b47d71794da91cc956ad1c7d8a27bcc29d3f7cde6a3db04b039308,
104,USED,U+3092,,,223,202,289,268,7,66,73,0,1349,"[7,4,59,61]",,,f4f8e68c2a720b57db543aaf81db7fc5513871b6ddd98fbee0d2ee8d49bad1c0,
105,USED,U+3093,,,294,202,360,268,4,66,70,0,1005,"[4,5,62,61]",,,798762549e4927bd0be014c724d9a1140e281cefc11295220977c94966106692,
106,USED,U+30A3,,,369,202,435,268,8,66,80,0,530,"[8,17,52,63]",,,5c3ebddee9cd8ddabb76dd709fbc75649b21af09a2f7d04fce578401cdf9eee9,
107,USED,U+30A4,,,441,202,507,268,5,66,75,0,746,"[5,5,57,63]",,,7c3719ff2c38bacfcab195252d1543caded5d0aac7eae2980cefac0e65aeab6c,
108,USED,U+30AD,,,512,202,578,268,4,66,70,0,1183,"[4,5,62,62]",,,48a287d9ab378a5640da970f485d2f61837f15dceee1dd969721db221d1d74a5,
109,USED,U+30AF,,,585,202,651,268,6,66,74,0,956,"[7,6,58,62]",,,052b2c79373c4ca592e197e5152114c4f40d3b3f151db1be5a950349b2e76f4a,
110,USED,U+30B2,,,656,202,722,268,4,66,66,0,1093,"[5,1,66,62]",,,70d82872602f101b4961ccf63ee0da9ca73f1796d7aad5fecd977f85df53a776,
111,USED,U+30B5,,,726,202,792,268,3,66,69,0,1244,"[3,5,63,62]",,,b0739bde0b96f2c65f9a5074ede27bfe6ab7813d2d759f0ff930ec3caee283fc,
112,USED,U+30B6,,,795,202,861,268,2,66,67,0,1370,"[2,0,65,62]",,,0c9f9cab0fa028495934fc6751aa50bc7057598bd77a50c8d2c8026004f4e679,
113,USED,U+30B7,,,869,202,935,268,7,66,71,0,773,"[8,7,61,61]",,,8607736d5a28ead05abe8bb1801e30c17e76b27ed37e6a23f07619aeb30a5d65,
114,USED,U+30B9,,,940,202,1006,268,4,66,73,0,982,"[4,8,59,61]",,,f389485dd32e37a76a368752316924b7cb59f646361bdcd626bf8fbdfa89c821,
115,USED,U+30BB,,,1011,202,1077,268,4,66,70,0,1231,"[4,5,62,60]",,,f9ac5f6ed3fca90329b7256381e1da3368f4fcc2c0d236d7dc0de53976f70958,
116,USED,U+30BF,,,1085,202,1151,268,7,66,73,0,1098,"[7,5,59,62]",,,3466820427d711d968fc9c8a5c969ca1704495f5f9036a13d058a465c4e6131b,
117,USED,U+30C0,,,1158,202,1224,268,6,66,66,0,1226,"[6,1,66,62]",,,7196c6669d3e1fa0fa14d0801837c43460635a645ab3acddf8d9adf42159adeb,
118,USED,U+30C3,,,1235,202,1301,268,10,66,78,0,588,"[10,21,54,63]",,,11f5fc40129d8675d79ba0b3660e5461fa1fb11f0525ac3ff21dd5d0839d24dd,
119,USED,U+30C6,,,1306,202,1372,268,4,66,71,0,1040,"[4,7,61,62]",,,e902fb90fa84d05f57161164c5c6fd196345d40672c3bcfc6f4c6f18c20d8350,
120,USED,U+30C7,,,1376,202,1442,268,3,66,67,0,1191,"[3,0,65,62]",,,e0e8f3473e7078395ac9bac19b5df7ec813a4373a8d850580967615cb704fe1b,
121,USED,U+30C8,,,1459,202,1525,268,16,66,76,0,790,"[16,5,56,62]",,,e1d76c53b9ade5d34e91ac5c1478af08c23b17d39100ff95290fb777c9392660,
122,USED,U+30CB,,,1530,202,1596,268,4,66,70,0,829,"[4,14,62,58]",,,9a272341cf3d435a161980ad06c6d80bbee1d31c4065f78bd05261b596b477a8,
123,USED,U+30CF,,,1603,202,1669,268,6,66,72,0,698,"[6,14,60,55]",,,e22129f0c3b9569808da5a9bd4ace8515cfd7650ae929cdce87b08a7127bebdf,
124,USED,U+30D0,,,1676,202,1742,268,6,66,71,0,851,"[6,5,61,55]",,,c4cdaca5169a809701c3e3aad6a054d915acc0f1759b3defccdc787539076cee,
125,USED,U+30D1,,,1749,202,1815,268,6,66,71,0,835,"[6,8,61,55]",,,c30df1a7bbdb991aba7c11bc7ea6b0e0bc7c27168a06f564cf4704eea5d0f7b6,
126,USED,U+30D6,,,1820,202,1886,268,4,66,66,0,978,"[4,0,66,63]",,,2835f379c1e649385aaeacc14a731c650f43dff66b0d62e035db2c19041cb9fb,
127,USED,U+30D7,,,1891,202,1957,268,4,66,66,0,958,"[4,1,66,63]",,,3c4f34ce258f74777ddd04d82c7dc6806b08afff7b16f9fd81e0995e0523979e,
128,USED,U+30DC,,,1962,202,2028,268,4,66,71,0,1483,"[4,1,61,62]",,,ee45ff15740fc4c694af08597423edfcd9ddd0f5d2a02a0a2b33aa7695ded5fc,
129,USED,U+30E0,,,6,269,72,335,5,66,73,0,940,"[6,8,59,61]",,,8a63ec88627988f4196ce94d0bcf74935cf393cb0ec023c064d3abc71b38b3ef,
130,USED,U+30E1,,,80,269,146,335,7,66,76,0,816,"[8,7,56,62]",,,eb3ac8994ba9015754360217149c19b95ec7c7a88cc08f85e786fbe0f51bd779,
131,USED,U+30E3,,,156,269,222,335,9,66,75,0,713,"[9,16,57,64]",,,29e6ec313f98bbd9622d9113579b567df5307930cc25826d21ac6a726a1c7d30,
132,USED,U+30E5,,,232,269,298,335,9,66,74,0,699,"[9,24,58,61]",,,0901d40ecd55e8920bf845b24cabbe9544c0787cdec2bcdd63b66ee29349773b,
133,USED,U+30E9,,,307,269,373,335,8,66,72,0,968,"[8,7,60,62]",,,5a8fc3860ead119ddcdae544c654b4eeecb8406c05f6c2e4add715c672bf5796,
134,USED,U+30EA,,,384,269,450,335,10,66,79,0,884,"[10,5,53,62]",,,575b1e2dc562f326db1a44df127af5efbb43254f8766e4187c9b955dd8dcb68d,
135,USED,U+30EB,,,455,269,521,335,4,66,69,0,1132,"[4,5,63,61]",,,d450bffa0e588aeac83f182cb905a3309895f5664f9dfafada4f5e3ddd3ef731,
136,USED,U+30EC,,,533,269,599,335,11,66,71,0,806,"[11,7,61,61]",,,e8bcb9da7b119ae70cd2162132c8dee4ec4580407c9b303af7c0e971157ec370,
137,USED,U+30F3,,,609,269,675,335,9,66,71,0,646,"[9,10,61,61]",,,bcab4530f6d9370ccea0e99b2032c382dfd782341c25d45ac2b2b18329d0e558,
138,USED,U+30FB,,,701,269,767,335,25,66,91,0,183,"[25,26,41,41]",,,e4967ecd1e8a80775d5fee5b331b6874c11e34c5e9eae4773677b6f0686665e8,
139,USED,U+30FC,,,773,269,839,335,5,66,71,0,448,"[5,25,61,39]",,,c7a3d4ebfc6fdefd60c38bb40d030e8b02b6e8d7fff675b20dd774d623964f84,
140,USED,U+4E00,,,843,269,909,335,3,66,70,0,217,"[4,25,62,34]",,,beaf21029f75a5d4252fe0fe866ff056da66b0358cc0fabb0555a31e0f60dbea,
141,USED,U+4E0B,,,914,269,980,335,4,66,69,0,850,"[4,3,63,63]",,,d73ceb03e50bad798313fad5c5213967f4c88cb641465f9fd38ed62087e00e2f,
142,USED,U+4E16,,,984,269,1050,335,3,66,69,0,1643,"[3,4,63,63]",,,42c251d4b83b010d2cffa3236de2467f4c222b9ceea7c27a30a62bf8e7eea327,
143,USED,U+4E2D,,,1059,269,1125,335,8,66,70,0,1247,"[8,2,62,64]",,,c1d538cd5da0fc712d250c0c8ad5befd114b7cab196d2c65fd213bf68c8fdd67,
144,USED,U+4E89,,,1128,269,1194,335,2,66,68,0,1401,"[2,2,64,63]",,,d80df926bab9a839a246b62126f8070623ff776da2fa0d04819f90b64758364e,
145,USED,U+4E8B,,,1198,269,1264,335,3,66,68,0,1706,"[3,3,64,64]",,,2bde99fcf30b20c11474bad3a46016e8ff1cfb2dd4004d49e5ef54eca0f143d6,
146,USED,U+4E92,,,1268,269,1334,335,3,66,68,0,1187,"[3,5,64,59]",,,7e5fde046df1559c7260e7828d064d0b1391e91f94a33e81e30a2ac021591453,
147,USED,U+4EBA,,,1339,269,1405,335,4,66,69,0,878,"[4,5,63,62]",,,a6e3d03f2488e790ec905c988c3f157864689f66c847beabca92c2c6440041a3,
148,USED,U+4ED6,,,1408,269,1474,335,2,66,67,0,2078,"[2,3,64,63]",,,20b1040e54822e25156059711664e0f16cc82b0db67ae82d070528188317404b,
149,USED,U+4ED8,,,1478,269,1544,335,3,66,68,0,1489,"[3,3,64,64]",,,1f7c96161bde6cd5de50a78b0d58e1d3381fb96bb35112852999d073f4d8f8fd,
150,USED,U+4EE3,,,1547,269,1613,335,2,66,68,0,1529,"[2,3,64,63]",,,9464f9f85191aeac1f8a602dc4cba0dbf7e72f7777410f15f176cc205c8603cf,
151,USED,U+4EF2,,,1616,269,1682,335,2,66,69,0,1748,"[2,3,63,64]",,,e5589536e2795999d7b8301bc66a186b5194ac7aea645d27a4f20a1086607391,
152,USED,U+4EFB,,,1685,269,1751,335,2,66,69,0,1517,"[2,3,63,63]",,,0f7d827d2953bfe9fc93f63e711dcf467fee5d40c6db90ddb96029a067c600ed,
153,USED,U+4F55,,,1754,269,1820,335,2,66,69,0,1762,"[2,3,63,64]",,,f469e172b65dbb9a6c7b56903c0c33e675497b5c33a2129261da2b5fbebf5949,
154,USED,U+4F5C,,,1822,269,1888,335,1,66,69,0,1552,"[1,3,63,63]",,,51780eff8a01304cdcfe5a1241a917b7b9997bd799f10a3521d2ede591452df4,
