resource_class,file_id,unique_index,reference_index,reference_indices,reference_count,jpn_text,visible_unique_chars,001c_covered_chars,001c_missing_chars,001c_coverage,0007_coverage,000e_coverage,00c7_coverage,loading_fixture_similarity_max,loading_union_similarity,is_loading_fixture,candidate_status,candidate_value,lower_other_fonts
BRIEFING,BRIEFING_FILES_BLOCK_000D00,1,,"[""stream=0x0;block=0xD00;text=1""]",1,"あんたは体験済みだっていってたが、俺のために手順を確
認させてくれ。
",、。あいがくさせただってにのはみめれをん体俺手済確認順験,、。あいがくさせただってにのはみめれをん俺手確,体済認順験,82.14%,85.71%,85.71%,100.00%,0.260870,0.079038,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,2,,"[""stream=0x0;block=0xD00;text=2""]",1,"わかった。
",。かたっわ,。かたっわ,,100.00%,100.00%,100.00%,100.00%,0.166667,0.017483,False,FONT_COVERAGE_CANDIDATE,ORDINARY_CANDIDATE,
BRIEFING,BRIEFING_FILES_BLOCK_000D00,3,,"[""stream=0x0;block=0xD00;text=3""]",1,"まずあんたが気絶させた敵や、拘束されている捕虜にバル
ーンをセットする。
",、。あいがさすずせたてにまやるれをんセットバルンー拘捕敵束気絶虜,、。あいがさすずせたてにまやるれをんセットバルンー敵気,拘捕束絶虜,84.38%,87.50%,84.38%,100.00%,0.208333,0.077966,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,4,,"[""stream=0x0;block=0xD00;text=4""]",1,"そうだ。回収したい相手の腰にワイヤーを固定する。この
ワイヤーの先にはヘリウムの詰まったバルーンがついてい
る。
",。いうがこしすそただっつてにのはまるをイウバヘムヤリルワンー先収回固定手相腰詰,。いうがこしすそただっつてにのはまるをイバムリルンー手,ウヘヤワ先収回固定相腰詰,69.23%,79.49%,79.49%,100.00%,0.226415,0.079734,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,5,,"[""stream=0x0;block=0xD00;text=5""]",1,"で、こっちはヘリで接近、宙に浮いたバルーンをヘリの回
収用フックに引っかけ、上空につり上げてカーゴに格納す
る。
",、。いかけげこすたちっつてでにのはりるをカクゴッバフヘリルンー上収回宙引接格浮用空納近,、。いかけげこすたちっつてでにのはりるをクッバリルンー用空,カゴフヘ上収回宙引接格浮納近,67.44%,83.72%,76.74%,100.00%,0.204082,0.082237,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,6,,"[""stream=0x0;block=0xD00;text=6""]",1,"それでいい。
",。いそでれ,。いそでれ,,100.00%,100.00%,100.00%,100.00%,0.185185,0.017483,False,FONT_COVERAGE_CANDIDATE,ORDINARY_CANDIDATE,
BRIEFING,BRIEFING_FILES_BLOCK_000D00,7,,"[""stream=0x0;block=0xD00;text=7""]",1,"バッチリだ。回収用のヘリ、<R=HU-1,ヒューイ>へのフック装着も完了
したし…。
",-1HU…、。しただのへもイクチッバヒフヘュリー了収回完用着装,-1HU…、。しただのもイクッバュリー完用,へチヒフヘ了収回着装,67.74%,93.55%,74.19%,100.00%,0.140000,0.042763,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,8,,"[""stream=0x0;block=0xD00;text=8""]",1,"だがカズ、このやり方には矛盾を感じるんだが。
",、。がこじだにのはやりるをんカズ感方盾矛,、。がこじだにのはやりるをん感,カズ方盾矛,75.00%,80.00%,75.00%,100.00%,0.212121,0.051546,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,9,,"[""stream=0x0;block=0xD00;text=9""]",1,"なんだ、またその話か？
",、かそただなのまん話？,、かそただなのまん？,話,90.91%,90.91%,90.91%,100.00%,0.285714,0.034843,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,10,,"[""stream=0x0;block=0xD00;text=10""]",1,"ふつうフルトン回収は固定翼機で行うもんだ。ヘリがある
なら着陸して直接乗せた方が確実だ。
",。あうがしせただつてでなはふもらるんトフヘリルン乗収回固定実接方機直着確翼行陸,。あうがしせただつてでなはもらるんトリルン実機確陸,ふフヘ乗収回固定接方直着翼行,64.10%,79.49%,69.23%,100.00%,0.226415,0.072607,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,11,,"[""stream=0x0;block=0xD00;text=11""]",1,"いいかスネーク、回収は任務中何度も繰り返すことになる。
敵の銃火を浴びる危険はなるべく少なくしたい。
",、。いかくこしすたとなにのはびべもりるをクスネー中任何務危収回少度敵浴火繰返銃険,、。いかくこしすたとなにのはびもりるをクスー中任何務度敵銃,べネ危収回少浴火繰返険,72.50%,70.00%,65.00%,100.00%,0.222222,0.093960,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,12,,"[""stream=0x0;block=0xD00;text=12""]",1,"それには高速で<R=飛び抜け,フライパスし>ながら回収できるフルトン回収シ
ステムが一番なんだ。
",。がきけしそだでなにはびらるれんイシステトパフムラルン一収回抜番速飛高,。がきけしそだでなにはびらるれんイシステトパムラルン一抜飛,フ収回番速高,82.86%,88.57%,77.14%,100.00%,0.233333,0.088136,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,13,,"[""stream=0x0;block=0xD00;text=13""]",1,"…本音は。
",…。は本音,…。は本,音,80.00%,100.00%,80.00%,100.00%,0.142857,0.013937,False,NOT_CANDIDATE,,JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,14,,"[""stream=0x0;block=0xD00;text=14""]",1,"ヘリの方が安い。撃たれたら修理代もかさむし。
",。いかがさしたのむもられヘリ代修安撃方理,。いかがさしたのもられリ代理,むヘ修安撃方,70.00%,85.00%,70.00%,100.00%,0.243243,0.044369,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,15,,"[""stream=0x0;block=0xD00;text=15""]",1,"それだカズ。コスト管理もいいが…。
",…。いがそだもれカコスズト理管,…。いがそだもれスト理,カコズ管,73.33%,93.33%,86.67%,100.00%,0.206897,0.034364,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,16,,"[""stream=0x0;block=0xD00;text=16""]",1,"ボス、軍にいた頃の感覚はそろそろ捨ててもらわなきゃ困
る。俺達は公費で贅沢出来る連中とは違うんだ。それとも
…。
",…、。いうきそただてでとなにのはもゃらるれろわんスボ中俺公出困感捨来沢覚費贅軍連達違頃,…、。いうきそただてでとなにのはもゃらるれろわんスボ中俺出感来覚達違,公困捨沢費贅軍連頃,79.07%,74.42%,65.12%,100.00%,0.320755,0.115254,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,17,,"[""stream=0x0;block=0xD00;text=17""]",1,"わかったわかった。選んだ理由が引っかかるだけだ。
",。かがけただっるわん引理由選,。かがけただっるわん理由選,引,92.86%,92.86%,78.57%,100.00%,0.250000,0.041667,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,18,,"[""stream=0x0;block=0xD00;text=18""]",1,"ヘリの方が即応性もある。確かに風変わりかも知れないが
不自由は感じないはずだ。あんたもすぐに馴染むさ。
",。あいかがぐさじすずただなにのはむもりるれわんヘリ不即変応性感方染由知確自風馴,。あいかがぐさじすずただなにのはもりるれわんリ変感由知確自,むヘ不即応性方染風馴,74.36%,76.92%,64.10%,100.00%,0.278689,0.094276,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001700,0,,"[""stream=0x1000;block=0x700;text=0""]",1,"スネーク、思い出してくれ。
",、。いくしてれクスネー出思,、。いくしてれクスー出思,ネ,92.31%,92.31%,92.31%,100.00%,0.230769,0.038194,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001700,1,,"[""stream=0x1000;block=0x700;text=1""]",1,"俺達の創った国境なき軍隊…。
",…。きたっなの俺創国境軍達隊,…。きたっなの俺創国達,境軍隊,78.57%,71.43%,64.29%,100.00%,0.222222,0.038062,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001700,2,,"[""stream=0x1000;block=0x700;text=2""]",1,"<R=Militaires,ミリテール> <R=Sans,サン> <R=Frontières,フロンティエール>の目的は国家や思想に囚
われず、必要な土地、勢力に必要な軍事力を供給すること
だ。
",FMSaeilnorstè、。こすずだとなにのはやるれわをィエサテフミリルロンー事供力勢囚国土地家必思想的目給要軍,FMSaeilnort、。こすずだとなにのはやるれわをィサテリルンー事供力国地家必思想目要,sèエフミロ勢囚土的給軍,78.95%,84.21%,71.93%,100.00%,0.175676,0.099359,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001700,3,,"[""stream=0x1000;block=0x700;text=3""]",1,"ご大層な信念があるわけじゃないが…。
",…。あいがけごじなゃるわ信大層念,…。あいがけごじなゃるわ大,信層念,81.25%,87.50%,75.00%,100.00%,0.206897,0.044983,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001700,4,,"[""stream=0x1000;block=0x700;text=4""]",1,"国の思惑には振り回されない。
",。いさなにのはりれ回国思惑振,。いさなにのはりれ国思,回惑振,78.57%,71.43%,71.43%,100.00%,0.257143,0.038062,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001700,5,,"[""stream=0x1000;block=0x700;text=5""]",1,"そうだ。俺たちは戦うことしかできないが…国家の事情に
翻弄されずに生きる。
",…。いうかがきこさしずそただちでとなにのはるれ事俺国家弄情戦生翻,…。いうかがきこさしずそただちでとなにのはるれ事俺国家弄情戦生翻,,100.00%,81.25%,84.38%,100.00%,0.937500,0.111888,False,FONT_COVERAGE_CANDIDATE,HIGH_VALUE_CANDIDATE,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001700,6,,"[""stream=0x1000;block=0x700;text=6""]",1,"MSFのマークは2億5千万年前の、パンゲア大陸をモチー
フにしている。世界がひとつの大陸だった時代。
",25FMS、。いがしただっつてとにのはひるをアクゲチパフマモンー万世代億前千大年時界陸,2FMS、。いがしただっつてとにのはひるをクゲパンー世代前千大年時界陸,5アチフマモ万億,81.40%,81.40%,72.09%,100.00%,0.229508,0.104027,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001700,7,,"[""stream=0x1000;block=0x700;text=7""]",1,"隔たりのないひとつの世界。
",。いたつとなのひり世界隔,。いたつとなのひり世界,隔,91.67%,66.67%,66.67%,100.00%,0.380952,0.038328,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001700,8,,"[""stream=0x1000;block=0x700;text=8""]",1,"俺達の力はそこに還元する。
",。こすそにのはる俺元力達還,。こすそにのはる俺力達,元還,84.62%,76.92%,84.62%,100.00%,0.263158,0.038194,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,0,,"[""stream=0x1000;block=0xB50;text=0""]",1,"カズ、お前はどうなんだ？　MSFを拡大したいのか？
",FMS、いうおかしただどなのはをんカズ前大拡？,FMS、いうおかしただどなのはをん前大？,カズ拡,86.96%,95.65%,91.30%,100.00%,0.272727,0.061856,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,1,,"[""stream=0x1000;block=0xB50;text=1""]",1,"もちろんだ。あんたの言うとおり、MSFをどこの国の干渉
も受けないような組織にしていきたい。
",FMS、。あいうおきけこしただちてとどなにのもよりろをん受国干渉組織言,FMS、。あいうおきけこしただちてとどなにのもよりろをん国言,受干渉組織,85.71%,88.57%,77.14%,100.00%,0.270833,0.095563,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,2,,"[""stream=0x1000;block=0xB50;text=2""]",1,"自分たちを守るためにも相応の力が必要だ。
",。がただちにのめもるを分力守必応相自要,。がただちにのめもるを分力守必自要,応相,89.47%,89.47%,84.21%,100.00%,0.258065,0.059028,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,3,,"[""stream=0x1000;block=0xB50;text=3""]",1,"多くの兵力を養うにも金が要る。
",。うがくにのもるを兵力多要金養,。うがくにのもるを兵力多要,金養,86.67%,86.67%,80.00%,100.00%,0.216216,0.045139,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,4,,"[""stream=0x1000;block=0xB50;text=4""]",1,"そのためにもMSFをもっと新しいビジネスにしたいんだ。
",FMS。いしそただっとにのめもをんジスネビ新,FMS。いしそただっとにのめもをんス新,ジネビ,86.36%,95.45%,95.45%,100.00%,0.255814,0.054795,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,5,,"[""stream=0x1000;block=0xB50;text=5""]",1,"直接的な戦闘だけじゃなく、兵站、訓練、武器の整備や開
発、軍事に関するあらゆることを請け負うような組織だ。
",、。あうくけこじすだとなにのゃやゆよらるを事備兵器戦接整武発的直站組練織訓請負軍開関闘,、。あうくけこじすだとなにのゃやよらるを事兵器戦負開,ゆ備接整武発的直站組練織訓請軍関闘,60.47%,74.42%,58.14%,100.00%,0.192982,0.082237,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,6,,"[""stream=0x1000;block=0xB50;text=6""]",1,"特殊部隊のような少数精鋭の行動力と正規軍にも対抗でき
る軍事力。
",。うきでとなにのもよる事力動対少抗数正殊特精行規軍部鋭隊,。うきでとなにのもよる事力対数正,動少抗殊特精行規軍部鋭隊,57.14%,71.43%,64.29%,100.00%,0.208333,0.053691,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,7,,"[""stream=0x1000;block=0xB50;text=7""]",1,"それだけの力があってこそ、国家の干渉から逃れることが
できる。
",、。あかがきけこそだってでとのらるれ力国家干渉逃,、。あかがきけこそだってでとのらるれ力国家,干渉逃,87.50%,83.33%,79.17%,100.00%,0.307692,0.072664,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,8,,"[""stream=0x1000;block=0xB50;text=8""]",1,"とにかくボスはフルトン回収で使えそうな奴を集めてくれ。
",。うえかくそてでとなにはめれをストフボルン使収回奴集,。うえかくそてでとなにはめれをストボルン使奴,フ収回集,84.62%,84.62%,88.46%,100.00%,0.261905,0.068493,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,9,,"[""stream=0x1000;block=0xB50;text=9""]",1,"それから、人員配置の指示を頼む。
",、。かそのむられを人員指示置配頼,、。かそのられを人指配頼,む員示置,75.00%,62.50%,62.50%,100.00%,0.200000,0.041379,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_001B50,10,,"[""stream=0x1000;block=0xB50;text=10""]",1,"あとの細かいことは俺に任せてくれ。
",。あいかくこせてとにのはれ任俺細,。あいかくこせてとにのはれ任俺,細,93.75%,87.50%,87.50%,100.00%,0.303030,0.052265,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_0020A0,0,,"[""stream=0x2000;block=0xA0;text=0""]",1,"あんたの師匠だったザ・ボスは西側では特殊部隊の母とも
呼ばれていたんだってな。
",。あいただってでとなのはばもれんザスボ・側匠呼師殊母特西部隊,。あいただってでとなのはばもれんザスボ・,側匠呼師殊母特西部隊,66.67%,73.33%,70.00%,100.00%,0.244444,0.067568,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_0020A0,1,,"[""stream=0x2000;block=0xA0;text=1""]",1,"プロパガンダに過ぎん。
",。ぎにんガダパプロン過,。にんダパプン過,ぎガロ,72.73%,90.91%,54.55%,100.00%,0.173913,0.024138,False,NOT_CANDIDATE,,JPN0007;JPN000E
