codepoint,decimal,character,present,glyph_index,record_file_offset,record_hex,bearing_x,width,advance,reserved,u0,v0,u1,v1,own_nonzero,own_bbox,paired_00c7_nonzero,paired_00c7_bbox,paired_00c7_sha256
U+0079,121,y,YES,40,0x2016A,06260001065100430000002B002A0000,0,43,42,0,1574,1,1617,67,558,"[0,23,43,65]",840,"[0,8,43,57]",148139b5568ba0e0f2b47089c263a238388e0ca03e2b9465bc96b5d646c97c9f
U+00AE,174,®,YES,41,0x2017A,06520001065300430000000100420000,0,1,66,0,1618,1,1619,67,0,,12,"[0,9,1,37]",c902ae07827e523cdc229b9d104766f909dfff53221d95937e0a938b36c4852f
U+201C,8220,“,YES,42,0x2018A,0678000106BA00430024004200440000,36,66,68,0,1656,1,1722,67,320,"[36,1,64,21]",1456,"[0,8,66,63]",32e50e33e8769d2c7df489c1d42b22fbce015b009e8d8fcace173cf9963a565b
U+201D,8221,”,YES,43,0x2019A,06BD000106FF00430002004200660000,2,66,102,0,1725,1,1791,67,318,"[2,1,30,21]",1028,"[0,8,66,57]",f5d38c62388ddea444ca6dfafdcc1281bf4dab35f0554d3b153521f84d647d86
U+2026,8230,…,YES,44,0x201AA,07050001074700430005004200470000,5,66,71,0,1797,1,1863,67,394,"[5,27,61,40]",855,"[0,9,66,57]",9f5c8dd14bdb047a117ac4e49ecdf82990130ae47c0d4d7b09d26de4fa8c9bc5
U+3001,12289,、,YES,45,0x201BA,074A0001078C00430002004200710000,2,66,113,0,1866,1,1932,67,144,"[2,44,19,61]",1149,"[0,9,66,56]",87ccf95c64e7e9a91887c5781bb095234f82c8c8aa5e7c13b85ca75a1ddc05ea
U+3002,12290,。,YES,46,0x201CA,078F000107D100430002004200700000,2,66,112,0,1935,1,2001,67,186,"[2,44,20,62]",1175,"[0,9,66,56]",50b7a8fbababf00c729694cb347afec8a884f3966268590f7a8e0bfa87a7f970
U+3005,12293,々,YES,47,0x201DA,00080044004A008600070042004A0000,7,66,74,0,8,68,74,134,799,"[7,9,58,57]",935,"[0,3,59,63]",7fa4f97f5c1cc75cbcca7d5a92aab9cbc764d50d0f082e5722c3b36d322b343c
U+300E,12302,『,YES,48,0x201EA,0071004400B300860026004200450000,38,66,69,0,113,68,179,134,546,"[38,3,63,50]",1761,"[0,4,66,63]",5c4247a0406e4750b159a48dec3f8cb26c7cc92ce4f7d4487b199a9bc575b62b
U+300F,12303,』,YES,49,0x201FA,00B7004400F900860003004200680000,3,66,104,0,183,68,249,134,538,"[3,17,28,63]",1111,"[0,5,66,63]",d4cd8fe889e4e217c99107d5c35c751d8e7b0739ac0010600438b6922d08ec16
U+3042,12354,あ,YES,50,0x2020A,01000044014200860006004200490000,6,66,73,0,256,68,322,134,1497,"[6,4,59,62]",115,"[36,45,52,61]",204b435849a232a463ac5b57a4b9c7cdf6e7704abe6fcf18128139cab4100ca6
U+3044,12356,い,YES,51,0x2021A,014A0044018C00860007004200480000,7,66,72,0,330,68,396,134,894,"[7,10,60,59]",330,"[0,21,66,61]",d6832d45a4ecfcbf46cb7546dd988793cde67a206ad39a732f8b31c75b75ca57
U+3046,12358,う,YES,52,0x2022A,0198004401DA0086000B0042004D0000,11,66,77,0,408,68,474,134,889,"[11,4,55,62]",821,"[0,4,66,62]",1db7821a4c02c73efe3b1616b657d4ff68768383fe0d5eed8c8474a86ac444a8
U+3048,12360,え,YES,53,0x2023A,01E10044022300860006004200470000,6,66,71,0,481,68,547,134,1157,"[6,4,61,62]",1093,"[0,3,66,63]",98841cd01788d31dc90dbb4062c47e66f2370a5e7f66fa55abbc510dccdb14da
U+304A,12362,お,YES,54,0x2024A,02280044026A00860004004200470000,4,66,71,0,552,68,618,134,1446,"[4,4,61,62]",973,"[0,3,65,63]",7225d2891aa9f402a2bfa7a9d84ffceba92995526701b19dc12d67457edc2aae
U+304B,12363,か,YES,55,0x2025A,026F004402B100860004004200460000,4,66,70,0,623,68,689,134,1379,"[4,4,62,62]",988,"[1,4,66,63]",791e03b92704945a386340870a716cce58253273f30f8825121a315467c3d2b6
U+304C,12364,が,YES,56,0x2026A,02B6004402F800860004004200440000,4,66,68,0,694,68,760,134,1548,"[4,1,64,62]",1144,"[0,4,66,63]",f173182e7f9cddeb4bf9543eba2580bd06d39cf82d03bb1a48344be51e9e9414
U+304D,12365,き,YES,57,0x2027A,02FE0044034000860005004200480000,5,66,72,0,766,68,832,134,1339,"[5,5,60,61]",1151,"[0,4,66,63]",7ea498888df5ebd98bbe8d071e9e90b628083780728a95d01bf500855974725d
U+304F,12367,く,YES,58,0x2028A,034D0044038F0086000C004200520000,12,66,82,0,845,68,911,134,657,"[12,5,50,62]",1424,"[0,4,66,62]",9c276435ac78ec0d08fe63216167e13cf05223bb025b2e9a2078865801a59343
U+3050,12368,ぐ,YES,59,0x2029A,0399004403DB00860009004200440000,9,66,68,0,921,68,987,134,823,"[9,1,64,62]",593,"[10,9,66,60]",7a6b30d2becae916294cb273d6c03546dd671805aa7643724fe2988d394c12cf
U+3051,12369,け,YES,60,0x202AA,03E30044042500860007004200440000,7,66,68,0,995,68,1061,134,1234,"[7,5,64,64]",600,"[0,12,66,63]",91021176721b13594c5d2058b462273c931a109049191f45f984426d6394f8f2
U+3052,12370,げ,YES,61,0x202BA,04290044046B00860003004200420000,3,66,66,0,1065,68,1131,134,1370,"[3,1,66,64]",896,"[0,5,59,62]",900f5e3bb1ea973059101917aa7ce23f6f5b2924fcf0cf0d1322fb5e782206e8
U+3053,12371,こ,YES,62,0x202CA,0477004404B90086000B0042004B0000,11,66,75,0,1143,68,1209,134,779,"[11,9,57,60]",939,"[0,5,66,61]",be99e4ff00ba4b913ef9323c0094fc515c2a711681b4223b45315eff9cd7a4d4
U+3054,12372,ご,YES,63,0x202DA,04C4004405060086000A004200430000,10,66,67,0,1220,68,1286,134,950,"[10,1,65,60]",963,"[0,16,66,61]",1ef606775a2a9acfd01bc1ddaa50f99231622eebc67406def19d5952b4ae6e26
U+3055,12373,さ,YES,64,0x202EA,051000440552008600090042004B0000,9,66,75,0,1296,68,1362,134,1186,"[9,4,57,60]",1328,"[0,4,66,60]",ad0946c2e6a5b08ef7edc7ef6f445d1ae5b7ffa5962bd44f83a3aadbe9dc7116
U+3057,12375,し,YES,65,0x202FA,055E004405A00086000B0042004B0000,11,66,75,0,1374,68,1440,134,700,"[11,5,56,60]",1160,"[0,5,66,60]",50125e034dcf3ecd221abb504390682df48d60a1519b7066e63ac68941b0f02b
U+3058,12376,じ,YES,66,0x2030A,05AC004405EE0086000B0042004B0000,11,66,75,0,1452,68,1518,134,865,"[11,5,57,60]",1265,"[0,2,66,60]",dffdabe2ba1b049fa794469f878fad84a2e476ab634473d9b6dd7093c1815c1e
U+3059,12377,す,YES,67,0x2031A,05F10044063300860002004200450000,2,66,69,0,1521,68,1587,134,1070,"[2,3,63,64]",1472,"[0,5,66,60]",1f8cace0975cf3c71513d342b62d698bf63100ff4616da9a58325dd56e02ba4f
U+305A,12378,ず,YES,68,0x2032A,06360044067800860002004200430000,2,66,67,0,1590,68,1656,134,1212,"[2,1,65,64]",724,"[0,2,62,62]",6091abac937dada389e6236132f78c092c0078256c2d2b72185b7a5871b6c5c6
U+305B,12379,せ,YES,69,0x2033A,067B004406BD00860002004200450000,2,66,69,0,1659,68,1725,134,1333,"[2,5,63,59]",846,"[0,2,66,63]",24231f4cf35599fc9b0564423cf7beec3c5725e7df49ba6b25d59d2f410e30f8
U+305D,12381,そ,YES,70,0x2034A,06C10044070300860003004200450000,3,66,69,0,1729,68,1795,134,1119,"[3,6,62,61]",962,"[0,6,63,62]",b7b1ea93c1cadeb2ff24a122aec69c3c26069bebb4149940c259e5026407c173
U+305E,12382,ぞ,YES,71,0x2035A,07070044074900860003004200430000,3,66,67,0,1799,68,1865,134,1281,"[3,1,65,61]",954,"[0,1,66,62]",970c03560e5151c3a00b129dcc58b7e6e00221eb1bf3dbffdbb7c01291e6f008
U+305F,12383,た,YES,72,0x2036A,074E0044079000860004004200470000,4,66,71,0,1870,68,1936,134,1171,"[4,4,61,61]",761,"[0,12,66,57]",a86b85f5bb0a27642d87625d3dae87db03fc768be306e0054a81fc3fd95d0d88
U+3060,12384,だ,YES,73,0x2037A,0795004407D700860004004200440000,4,66,68,0,1941,68,2007,134,1347,"[4,2,64,61]",1156,"[0,2,66,60]",85f69ade6e9221b58441da6b61de21b517e26f246c8f6bff767483e781ed1dfd
U+3061,12385,ち,YES,74,0x2038A,00080087004A00C900070042004B0000,7,66,75,0,8,135,74,201,1061,"[7,4,57,63]",1010,"[0,4,66,60]",33bc0dae8f3d28be0a9b6e69fefb22ef727d35ff5110d2b10cfbcd4a61882edb
U+3063,12387,っ,YES,75,0x2039A,00530087009500C900080042004D0000,8,66,77,0,83,135,149,201,555,"[8,25,55,60]",1030,"[0,5,66,60]",919d555f615399ad37577292aecd0346e0835d8f66fdcf913ae8820e018983df
U+3064,12388,つ,YES,76,0x203AA,009A008700DC00C90004004200470000,4,66,71,0,154,135,220,201,823,"[5,13,60,57]",535,"[0,16,66,53]",b68910675c361ce918a82726da55d51ca2c23870ac28d1bb20825c9d8214e4fc
U+3066,12390,て,YES,77,0x203BA,00E00087012200C90003004200460000,3,66,70,0,224,135,290,201,866,"[3,8,62,61]",646,"[0,9,66,53]",d71a08cfb6ff45d0119c8e5174b72cbf84521569bd6d131b08443bb568bde0fb
U+3067,12391,で,YES,78,0x203CA,01260087016800C90003004200460000,3,66,70,0,294,135,360,201,1045,"[3,8,62,61]",1021,"[0,8,66,60]",7efd7b15a1784cc66f4c1df9ab303efb9d2c97eff24278603a1710cdd95acd9d
U+3068,12392,と,YES,79,0x203DA,0174008701B600C9000B0042004B0000,11,66,75,0,372,135,438,201,944,"[11,5,57,60]",1455,"[0,8,66,60]",8087f1319e217893e2a111192a347c7ad5469fa2a62223ba11a32072bb01d26f
U+3069,12393,ど,YES,80,0x203EA,01C20087020400C9000B004200440000,11,66,68,0,450,135,516,201,1116,"[11,3,64,60]",1359,"[0,0,66,60]",a7b69db27a86906deac304e3c667fcd80af31f15acfa707bbcc421b904077d88
U+306A,12394,な,YES,81,0x203FA,02090087024B00C90004004200470000,4,66,71,0,521,135,587,201,1385,"[4,5,61,61]",1383,"[0,1,66,61]",e3a690bfeefceefa32ddf313f83d3ba2811f2b48ddad050a87c271789b10d2f5
U+306B,12395,に,YES,82,0x2040A,02530087029500C90007004200490000,7,66,73,0,595,135,661,201,1005,"[7,7,59,59]",1167,"[1,6,60,62]",1760673d56c712e576764c1126a80793610a0d0a6805156b34184ef97195f063
U+306C,12396,ぬ,YES,83,0x2041A,029B008702DD00C90005004200450000,5,66,69,0,667,135,733,201,1544,"[5,5,63,60]",1202,"[0,4,66,61]",b59b1b23c3e484807b5fd1489112c926690fec043b1e84728d28a4b2da331c6e
U+306E,12398,の,YES,84,0x2042A,02E30087032500C90005004200470000,5,66,71,0,739,135,805,201,1225,"[5,9,61,59]",1312,"[0,5,66,61]",2a135d40558b3e9b02c0f7bb18219e83819e070ebe73486f56293bfab3f64c7a
U+306F,12399,は,YES,85,0x2043A,032C0087036E00C90006004200450000,6,66,69,0,812,135,878,201,1490,"[6,5,63,61]",974,"[0,5,66,63]",c0d6c66c6cb90693117139605223c6db8529cbe170511baee96451293e95cacd
U+3070,12400,ば,YES,86,0x2044A,0375008703B700C90006004200420000,6,66,66,0,885,135,951,201,1617,"[6,1,66,61]",1083,"[0,5,66,62]",99234dd8f7a4508322d5137ee559e2541b3a45a057117490ccf154e57931911f
U+3072,12402,ひ,YES,87,0x2045A,03BD008703FF00C90005004200450000,5,66,69,0,957,135,1023,201,1190,"[5,8,63,61]",1200,"[5,10,66,63]",538d5853a9654cdf166ed64159b4c4d74c86c48cad361c33fabca4c14390f544
U+3073,12403,び,YES,88,0x2046A,04050087044700C90005004200430000,5,66,67,0,1029,135,1095,201,1341,"[5,1,65,61]",1352,"[0,4,66,63]",0a5c4c14c95778c4e6d4ad89be8face2cff2d4ceb44598e12d18c76d4f6884f0
U+3076,12406,ぶ,YES,89,0x2047A,044B0087048D00C90003004200450000,3,66,69,0,1099,135,1165,201,1306,"[3,1,63,62]",1012,"[0,5,66,62]",37d6b9cc10f22f81367541e9d6c9006912717f3635030a5d44a2d8bfca7a90cb
U+307C,12412,ぼ,YES,90,0x2048A,0492008704D400C90004004200430000,4,66,67,0,1170,135,1236,201,1665,"[4,1,65,60]",977,"[0,3,66,61]",94d058a1b4805cce0be7eaf4dd4c20914350eaa14d7f9b56d29eadfd68b2d140
U+307E,12414,ま,YES,91,0x2049A,04DC0087051E00C900070042004A0000,7,66,74,0,1244,135,1310,201,1365,"[7,5,58,60]",1225,"[0,6,66,61]",0c8e0eb9d95f51bb4c8cc189c3a020c06ffd00b951dbf4fca2779b0d41e48ba5
U+307F,12415,み,YES,92,0x204AA,05230087056500C90004004200450000,4,66,69,0,1315,135,1381,201,1253,"[4,6,62,62]",1141,"[0,4,66,61]",16b124374a2eb044611419ade8d63a557dd4f5025ed4449acf5e55086f9ee6b1
U+3081,12417,め,YES,93,0x204BA,056B008705AD00C90005004200460000,5,66,70,0,1387,135,1453,201,1447,"[5,5,62,61]",1085,"[0,5,66,61]",7c11583d6965cb3808c478ffd9bde0d7624c19b4d2d728bf276bdfcef54c7d7f
U+3082,12418,も,YES,94,0x204CA,05B7008705F900C900090042004B0000,9,66,75,0,1463,135,1529,201,1140,"[9,5,57,61]",1121,"[0,5,66,61]",f9b5cb1ae755cf260c7365c887b3aab635becd287da9abd6a7e1371eefe2f90c
U+3083,12419,ゃ,YES,95,0x204DA,06010087064300C900070042004B0000,7,66,75,0,1537,135,1603,201,839,"[7,15,57,63]",1291,"[0,4,66,60]",6bbb59118c4183c7fd603ba0a58a5b8d9f0959534617f4e1776237da28959156
U+3084,12420,や,YES,96,0x204EA,06470087068900C90003004200460000,3,66,70,0,1607,135,1673,201,1163,"[3,5,61,63]",845,"[0,7,66,63]",a0301d125eb409d5f107abe6a38b02d739b682622bd456db897dbb0d9ac32845
U+3088,12424,よ,YES,97,0x204FA,0691008706D300C900070042004A0000,7,66,74,0,1681,135,1747,201,1032,"[7,6,58,61]",823,"[0,9,63,61]",94dd75059125b7840b2a1edfc34c80d070fce385c134fd2e1549c22e1efb12a3
U+3089,12425,ら,YES,98,0x2050A,06DF0087072100C9000B0042004D0000,11,66,77,0,1759,135,1825,201,867,"[11,4,55,61]",656,"[0,18,66,63]",96ef09f78e4efb0f4a336c8273c5b00e1d7bf1f2acbd3c32fcf3c49444b53bec
U+308A,12426,り,YES,99,0x2051A,072E0087077000C9000C004200500000,12,66,80,0,1838,135,1904,201,979,"[12,5,52,61]",701,"[0,5,66,63]",61a17c66e9d58943f8e9d7c021bea0eb6015569f003275308491faa6982dfc24
U+308B,12427,る,YES,100,0x2052A,0778008707BA00C900070042004B0000,7,66,75,0,1912,135,1978,201,1186,"[7,7,57,61]",1028,"[0,4,66,61]",f3ad15f95e3156e1f68ca84793f435c17036d2f27aa50d028cb9bcb41423bf38
U+308C,12428,れ,YES,101,0x2053A,000400CA0046010C0003004200450000,3,66,69,0,4,202,70,268,1240,"[3,5,62,61]",684,"[1,15,66,55]",909166d6eeed5d69451435e71e92fb626389463fca1ed58477e6be0e491cb877
U+308D,12429,ろ,YES,102,0x2054A,004F00CA0091010C00080042004C0000,8,66,76,0,79,202,145,268,1011,"[8,7,56,61]",1109,"[0,4,66,56]",cfad04e0731c13fd98d30cef5816e6fc676466a4455bbd4a6fb6f5ffaa552307
U+308F,12431,わ,YES,103,0x2055A,009500CA00D7010C0003004200470000,3,66,71,0,149,202,215,268,1233,"[3,4,61,62]",938,"[0,4,66,63]",845e15c86665fe539abbf8dc4e5ae4d68de95ff6d04f78782b151a200eec9fb4
U+3092,12434,を,YES,104,0x2056A,00DF00CA0121010C0007004200490000,7,66,73,0,223,202,289,268,1349,"[7,4,59,61]",644,"[0,6,66,55]",10871d41f1c7e5bff57df662dffdea580f47c3676342b4dd0664e5d28b349e27
U+3093,12435,ん,YES,105,0x2057A,012600CA0168010C0004004200460000,4,66,70,0,294,202,360,268,1005,"[4,5,62,61]",736,"[0,5,66,55]",5b9675d7fd27084a04bbc8ae7b2b197de700bb0d00757b76ffb841937409bbf6
U+30A3,12451,ィ,YES,106,0x2058A,017100CA01B3010C0008004200500000,8,66,80,0,369,202,435,268,530,"[8,17,52,63]",792,"[2,4,62,55]",da5bb885545f6c77b6df94f1168672c9a7b2a32422b4d8b3e53fea41ee9ec909
U+30A4,12452,イ,YES,107,0x2059A,01B900CA01FB010C00050042004B0000,5,66,75,0,441,202,507,268,746,"[5,5,57,63]",1242,"[0,6,66,58]",6c80cb3228ef325cbf6884618ae0a9adafb642b8c5ebbe038d3186d4c5afccaf
U+30AD,12461,キ,YES,108,0x205AA,020000CA0242010C0004004200460000,4,66,70,0,512,202,578,268,1183,"[4,5,62,62]",1009,"[0,2,66,58]",2c00c509d5e976b72192895e760aeb79271d103851ea968583e417e5598f5f2e
U+30AF,12463,ク,YES,109,0x205BA,024900CA028B010C00060042004A0000,6,66,74,0,585,202,651,268,956,"[7,6,58,62]",907,"[0,3,66,61]",9b882bd71ed140a2f79e227c13a814b748769b3450732dbb6f3da7cafcc36359
U+30B2,12466,ゲ,YES,110,0x205CA,029000CA02D2010C0004004200420000,4,66,66,0,656,202,722,268,1093,"[5,1,66,62]",827,"[0,1,66,62]",9283c91a52c52764c895298e0688394a44858b6750355564df63cebd6e9d73a8
U+30B5,12469,サ,YES,111,0x205DA,02D600CA0318010C0003004200450000,3,66,69,0,726,202,792,268,1244,"[3,5,63,62]",868,"[4,2,65,62]",21d095c4277845ab86e5fbec41e47116c24d7e3eaf862f3ac3db375ea986184c
U+30B6,12470,ザ,YES,112,0x205EA,031B00CA035D010C0002004200430000,2,66,67,0,795,202,861,268,1370,"[2,0,65,62]",547,"[2,14,59,53]",a91c07b6bdc368e34e8e007c8a55f324abf635a061a29263f61fd47afe857f55
U+30B7,12471,シ,YES,113,0x205FA,036500CA03A7010C0007004200470000,7,66,71,0,869,202,935,268,773,"[8,7,61,61]",681,"[0,7,66,53]",04879bd62889b0d36b0e425b79db4f244fc48bdcaddb3e8dec89e2336381dd81
