character,codepoint,production_occurrences,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
Q,U+0051,510,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
R,U+0052,10032,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
S,U+0053,13864,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
T,U+0054,14836,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
U,U+0055,4011,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
V,U+0056,2293,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
W,U+0057,1532,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
X,U+0058,2621,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
Y,U+0059,1508,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
Z,U+005A,1560,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
[,U+005B,1934,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
],U+005D,1934,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
^,U+005E,1,CN_ALREADY_COVERED,NO,YES,NO,YES,NO,YES
_,U+005F,1114,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
`,U+0060,1,CN_ALREADY_COVERED,NO,YES,YES,YES,NO,YES
a,U+0061,7174,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
b,U+0062,720,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
c,U+0063,1850,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
d,U+0064,1428,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
e,U+0065,6774,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
f,U+0066,171,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
g,U+0067,522,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
h,U+0068,1342,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
i,U+0069,3326,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
j,U+006A,19,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
k,U+006B,2831,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
l,U+006C,2947,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
m,U+006D,2305,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
n,U+006E,4424,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
o,U+006F,6242,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
p,U+0070,1070,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
q,U+0071,34,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
r,U+0072,3915,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
s,U+0073,4421,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
t,U+0074,2972,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
u,U+0075,1873,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
v,U+0076,520,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
w,U+0077,109,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
x,U+0078,247,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
y,U+0079,1798,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
z,U+007A,805,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
{,U+007B,10,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
©,U+00A9,58,CN_ALREADY_COVERED,NO,YES,NO,YES,NO,YES
®,U+00AE,70,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
°,U+00B0,1,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
·,U+00B7,552,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
È,U+00C8,2,CN_ALREADY_COVERED,YES,YES,NO,NO,YES,YES
É,U+00C9,6,CN_ALREADY_COVERED,YES,YES,NO,NO,YES,YES
Í,U+00CD,1,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
×,U+00D7,429,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
Ú,U+00DA,5,CN_ALREADY_COVERED,YES,YES,NO,NO,YES,YES
á,U+00E1,26,CN_ALREADY_COVERED,YES,YES,NO,NO,YES,YES
è,U+00E8,13,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
é,U+00E9,58,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
í,U+00ED,19,CN_ALREADY_COVERED,YES,YES,NO,NO,YES,YES
ó,U+00F3,4,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
ú,U+00FA,12,CN_ALREADY_COVERED,YES,YES,NO,NO,YES,YES
Č,U+010C,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
—,U+2014,862,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
‘,U+2018,148,CN_ALREADY_COVERED,NO,YES,NO,NO,YES,YES
’,U+2019,148,CN_ALREADY_COVERED,YES,YES,NO,NO,YES,YES
“,U+201C,2018,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
”,U+201D,2018,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
…,U+2026,20223,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
※,U+203B,159,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
℃,U+2103,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
™,U+2122,538,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
←,U+2190,16,CN_ALREADY_COVERED,NO,YES,NO,NO,NO,YES
→,U+2192,16,CN_ALREADY_COVERED,NO,YES,NO,NO,NO,YES
□,U+25A1,68,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
△,U+25B3,67,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
○,U+25CB,50,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
●,U+25CF,529,CN_ALREADY_COVERED,NO,YES,NO,YES,NO,YES
★,U+2605,10,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
♪,U+266A,6,CN_ALREADY_COVERED,NO,YES,NO,YES,NO,YES
、,U+3001,2370,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
。,U+3002,34802,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
〇,U+3007,7,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
《,U+300A,253,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
》,U+300B,253,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
「,U+300C,328,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
」,U+300D,328,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
『,U+300E,1818,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
』,U+300F,1818,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
【,U+3010,1559,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
】,U+3011,1559,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
い,U+3044,1,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
だ,U+3060,1,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
は,U+306F,1,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
ら,U+3089,1,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
ア,U+30A2,10,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
イ,U+30A4,8,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
ェ,U+30A7,1,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,NO
キ,U+30AD,1,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,NO
ク,U+30AF,10,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
サ,U+30B5,8,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
ス,U+30B9,10,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
ッ,U+30C3,10,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
バ,U+30D0,16,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
ル,U+30EB,8,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
・,U+30FB,793,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
ー,U+30FC,132,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
一,U+4E00,4867,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
丁,U+4E01,6,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
七,U+4E03,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
万,U+4E07,28,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
丈,U+4E08,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
三,U+4E09,197,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
上,U+4E0A,2191,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
下,U+4E0B,3012,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
不,U+4E0D,7417,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
与,U+4E0E,1003,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
专,U+4E13,291,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
且,U+4E14,217,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
世,U+4E16,286,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
业,U+4E1A,51,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
丛,U+4E1B,189,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
东,U+4E1C,1252,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
丝,U+4E1D,44,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
丢,U+4E22,112,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
两,U+4E24,353,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
严,U+4E25,86,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
丧,U+4E27,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
个,U+4E2A,2417,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
中,U+4E2D,3236,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
丰,U+4E30,29,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
串,U+4E32,23,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
临,U+4E34,21,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
丸,U+4E38,22,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
为,U+4E3A,1988,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
主,U+4E3B,975,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
丽,U+4E3D,12,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
举,U+4E3E,166,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乃,U+4E43,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
久,U+4E45,383,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
么,U+4E48,3840,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
义,U+4E49,92,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
之,U+4E4B,922,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乌,U+4E4C,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乍,U+4E4D,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乎,U+4E4E,190,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乏,U+4E4F,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乐,U+4E50,84,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乖,U+4E56,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乘,U+4E58,15,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
九,U+4E5D,8,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
也,U+4E5F,3228,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
习,U+4E60,74,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乡,U+4E61,25,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
书,U+4E66,85,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
买,U+4E70,23,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
乱,U+4E71,44,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
乳,U+4E73,43,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
了,U+4E86,8656,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
予,U+4E88,354,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
争,U+4E89,163,CN_ALREADY_COVERED,NO,YES,YES,YES,YES,YES
事,U+4E8B,1107,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
二,U+4E8C,172,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
于,U+4E8E,962,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
亏,U+4E8F,23,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
云,U+4E91,189,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
互,U+4E92,88,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
五,U+4E94,167,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
井,U+4E95,8,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
亚,U+4E9A,619,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
些,U+4E9B,478,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
亡,U+4EA1,325,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
交,U+4EA4,389,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
产,U+4EA7,272,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
享,U+4EAB,60,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
京,U+4EAC,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
亮,U+4EAE,65,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
亲,U+4EB2,172,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
人,U+4EBA,6391,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
亿,U+4EBF,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
什,U+4EC0,2454,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
仁,U+4EC1,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
仅,U+4EC5,405,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
仇,U+4EC7,8,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
今,U+4ECA,146,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
介,U+4ECB,36,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
仍,U+4ECD,41,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
从,U+4ECE,838,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
仓,U+4ED3,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
仔,U+4ED4,118,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
他,U+4ED6,1685,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
仗,U+4ED7,19,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
付,U+4ED8,179,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
仙,U+4ED9,4,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
代,U+4EE3,431,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
令,U+4EE4,559,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
以,U+4EE5,3190,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
仪,U+4EEA,46,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
们,U+4EEC,1728,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
仰,U+4EF0,9,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
件,U+4EF6,2403,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
价,U+4EF7,69,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
任,U+4EFB,3048,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
份,U+4EFD,97,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
仿,U+4EFF,22,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
企,U+4F01,16,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
伊,U+4F0A,165,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
伍,U+4F0D,37,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伏,U+4F0F,176,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
伐,U+4F10,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
休,U+4F11,174,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
众,U+4F17,22,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
优,U+4F18,106,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伙,U+4F19,455,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
会,U+4F1A,4258,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
伞,U+4F1E,30,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伟,U+4F1F,27,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
传,U+4F20,321,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伤,U+4F24,544,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伦,U+4F26,166,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伪,U+4F2A,350,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伯,U+4F2F,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
估,U+4F30,44,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伴,U+4F34,632,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
伸,U+4F38,7,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
似,U+4F3C,123,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
但,U+4F46,867,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
位,U+4F4D,1052,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
低,U+4F4E,515,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
住,U+4F4F,1373,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
佐,U+4F50,3,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
佑,U+4F51,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
体,U+4F53,679,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
何,U+4F55,265,CN_ALREADY_COVERED,NO,YES,YES,YES,YES,YES
余,U+4F59,176,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
佛,U+4F5B,11,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
作,U+4F5C,1566,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
你,U+4F60,5713,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
佣,U+4F63,304,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
佩,U+4F69,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
佳,U+4F73,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
使,U+4F7F,3978,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
侃,U+4F83,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
例,U+4F8B,8,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
供,U+4F9B,165,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
依,U+4F9D,34,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
侣,U+4FA3,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
侦,U+4FA6,126,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
侧,U+4FA7,42,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
侮,U+4FAE,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
侵,U+4FB5,290,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
便,U+4FBF,489,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
促,U+4FC3,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
俄,U+4FC4,16,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
俗,U+4FD7,7,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
俘,U+4FD8,559,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
保,U+4FDD,733,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
信,U+4FE1,795,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
俩,U+4FE9,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
修,U+4FEE,184,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
俯,U+4FEF,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
俱,U+4FF1,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
倍,U+500D,163,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
倒,U+5012,290,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
候,U+5019,389,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
倚,U+501A,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
借,U+501F,141,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
值,U+503C,357,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
倾,U+503E,11,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
假,U+5047,81,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
偏,U+504F,108,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
做,U+505A,468,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
停,U+505C,400,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
健,U+5065,4,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
偶,U+5076,40,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
偷,U+5077,58,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
偿,U+507F,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
储,U+50A8,37,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
催,U+50AC,57,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
傲,U+50B2,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
傻,U+50BB,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
像,U+50CF,371,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
僚,U+50DA,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
