file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_BRIEFING.OLANG,0,0,0;0,2,,page7:tag:entity23:key00BE55EF:ref0:ord0;page174:tag:entity23:key00BE55EF:ref0:ord0,,BRIEFING FILES,・,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,11,11,11;11,2,,page7:tag:entity4:key00201843:ref11:ord0;page174:tag:entity4:key00201843:ref11:ord0,UNKNOWN,ストレンジラブ,スネーク＆ミラー,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,12,12,12;12,2,,page7:tag:entity20:key009F57BB:ref12:ord0;page174:tag:entity20:key009F57BB:ref12:ord0,ストレンジラブ,スネーク＆ミラー,スネーク,,,,NOT_CHECKED,24,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,13,13,13;13,2,,page7:tag:entity7:key00235E68:ref13:ord0;page174:tag:entity7:key00235E68:ref13:ord0,スネーク＆ミラー,スネーク,パス,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,14,14,14;14,2,,page7:tag:entity9:key0028BB4D:ref14:ord0;page174:tag:entity9:key0028BB4D:ref14:ord0,スネーク,パス,－－,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,15,15,15;15,2,,page7:tag:entity15:key006D472A:ref15:ord0;page174:tag:entity15:key006D472A:ref15:ord0,パス,－－,ミラー,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,16,16,16;16,2,,page7:tag:entity6:key0021516A:ref16:ord0;page174:tag:entity6:key0021516A:ref16:ord0,－－,ミラー,ヒューイ,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,17,17,17;17,2,,page7:tag:entity2:key0013B77E:ref17:ord0;page174:tag:entity2:key0013B77E:ref17:ord0,ミラー,ヒューイ,資料ファイル,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,18,18,18;18,2,,page7:tag:entity1:key0012884A:ref18:ord0;page174:tag:entity1:key0012884A:ref18:ord0,ヒューイ,資料ファイル,EVA,,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,19,19,19;19,2,,page7:tag:entity8:key002891D4:ref19:ord0;page174:tag:entity8:key002891D4:ref19:ord0,資料ファイル,EVA,チコ,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,20,20,20;20,2,,page7:tag:entity5:key00207D71:ref20:ord0;page174:tag:entity5:key00207D71:ref20:ord0,EVA,チコ,セシール,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,21,21,21;21,2,,page7:tag:entity24:key00DCC628:ref21:ord0;page174:tag:entity24:key00DCC628:ref21:ord0,チコ,セシール,ザ・ボスAI,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,22,22,22;22,2,,page7:tag:entity19:key0084E8AB:ref22:ord0;page174:tag:entity19:key0084E8AB:ref22:ord0,セシール,ザ・ボスAI,アマンダ,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,23,23,23;23,2,,page7:tag:entity12:key005BD921:ref23:ord0;page174:tag:entity12:key005BD921:ref23:ord0,ザ・ボスAI,アマンダ,BACK,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_BRIEFING.OLANG,24,24,24;24,2,,page7:tag:entity11:key003011A2:ref24:ord0;page174:tag:entity11:key003011A2:ref24:ord0,アマンダ,BACK,BRIEFING FILES,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
