file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
LANG_STAGETELOP.OLANG,0,0,0;0,2,,page156:tag:entity0:key00C0CE51:ref0:ord0;page168:tag:entity0:key00C0CE51:ref0:ord0,,LOADING POINT,MSF基地,,,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,,[],LOADING POINT,"[""LOADING POINT""]",AUX_UNCHANGED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,1,1,1;1,2,,page156:tag:entity1:key0008F1C2:ref1:ord0;page168:tag:entity1:key0008F1C2:ref1:ord0,LOADING POINT,MSF基地,NEXT AREA [ MSF BASE ],,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,,[],MSF Base,"[""MSF Base""]",AUX_UNCHANGED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,12,12,12;12,2,,page156:tag:entity12:key0012A0D1:ref12:ord0;page168:tag:entity12:key0012A0D1:ref12:ord0,エル・セナガル / 峡谷,NEXT AREA [ EL CENAGAL: RAVINE ],エル・セナガル / 沼地,,,,NOT_CHECKED,32,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,13,13,13;13,2,,page156:tag:entity13:key0008F1C2:ref13:ord0;page168:tag:entity13:key0008F1C2:ref13:ord0,NEXT AREA [ EL CENAGAL: RAVINE ],エル・セナガル / 沼地,NEXT AREA [ EL CENAGAL: SWAMP ],,,,NOT_CHECKED,30,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,泥沼：沼泽,"[""泥沼：沼泽""]",El Cenagal: Swamp,"[""El Cenagal: Swamp""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,14,14,14;14,2,,page156:tag:entity14:key0012A0D1:ref14:ord0;page168:tag:entity14:key0012A0D1:ref14:ord0,エル・セナガル / 沼地,NEXT AREA [ EL CENAGAL: SWAMP ],リオ・デル・ハーデ,,,,NOT_CHECKED,31,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,15,15,15;15,2,,page156:tag:entity15:key0008F1C2:ref15:ord0;page168:tag:entity15:key0008F1C2:ref15:ord0,NEXT AREA [ EL CENAGAL: SWAMP ],リオ・デル・ハーデ,NEXT AREA [ RlO DEL JADE ],,,,NOT_CHECKED,27,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,玉河,"[""玉河""]",Río del Jade,"[""Río del Jade""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,16,16,16;16,2,,page156:tag:entity16:key0012A0D1:ref16:ord0;page168:tag:entity16:key0012A0D1:ref16:ord0,リオ・デル・ハーデ,NEXT AREA [ RlO DEL JADE ],バナネル・フルタ・デ・オロ / 選別所,,,,NOT_CHECKED,26,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,17,17,17;17,2,,page156:tag:entity17:key0008F1C2:ref17:ord0;page168:tag:entity17:key0008F1C2:ref17:ord0,NEXT AREA [ RlO DEL JADE ],バナネル・フルタ・デ・オロ / 選別所,NEXT AREA [ BANANAL FRUTA DE ORO: SORTING SHED ],,,,NOT_CHECKED,51,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,金果香蕉园：分拣棚,"[""金果香蕉园：分拣棚""]",Bananal Fruta de Oro: Sorting Shed,"[""Bananal Fruta de Oro: Sorting Shed""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,18,18,18;18,2,,page156:tag:entity18:key0012A0D1:ref18:ord0;page168:tag:entity18:key0012A0D1:ref18:ord0,バナネル・フルタ・デ・オロ / 選別所,NEXT AREA [ BANANAL FRUTA DE ORO: SORTING SHED ],バナネル・フルタ・デ・オロ / 農場,,,,NOT_CHECKED,48,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,19,19,19;19,2,,page156:tag:entity19:key0008F1C2:ref19:ord0;page168:tag:entity19:key0008F1C2:ref19:ord0,NEXT AREA [ BANANAL FRUTA DE ORO: SORTING SHED ],バナネル・フルタ・デ・オロ / 農場,NEXT AREA [ BANANAL FRUTA DE ORO: FARM ],,,,NOT_CHECKED,48,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,金果香蕉园：农场,"[""金果香蕉园：农场""]",Bananal Fruta de Oro: Farm,"[""Bananal Fruta de Oro: Farm""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,20,20,20;20,2,,page156:tag:entity20:key0012A0D1:ref20:ord0;page168:tag:entity20:key0012A0D1:ref20:ord0,バナネル・フルタ・デ・オロ / 農場,NEXT AREA [ BANANAL FRUTA DE ORO: FARM ],カミーノ・デ・ラーバ / 坂道,,,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,21,21,21;21,2,,page156:tag:entity21:key0008F1C2:ref21:ord0;page168:tag:entity21:key0008F1C2:ref21:ord0,NEXT AREA [ BANANAL FRUTA DE ORO: FARM ],カミーノ・デ・ラーバ / 坂道,NEXT AREA [ CAMINO DE LAVA: HILLSIDE ],,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,熔岩之路：山坡,"[""熔岩之路：山坡""]",Camino de Lava: Hillside,"[""Camino de Lava: Hillside""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,22,22,22;22,2,,page156:tag:entity22:key0012A0D1:ref22:ord0;page168:tag:entity22:key0012A0D1:ref22:ord0,カミーノ・デ・ラーバ / 坂道,NEXT AREA [ CAMINO DE LAVA: HILLSIDE ],カミーノ・デ・ラーバ / 三叉路,,,,NOT_CHECKED,38,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,23,23,23;23,2,,page156:tag:entity23:key0008F1C2:ref23:ord0;page168:tag:entity23:key0008F1C2:ref23:ord0,NEXT AREA [ CAMINO DE LAVA: HILLSIDE ],カミーノ・デ・ラーバ / 三叉路,NEXT AREA [ CAMINO DE LAVA: JUNCTION ],,,,NOT_CHECKED,42,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,熔岩之路：岔路口,"[""熔岩之路：岔路口""]",Camino de Lava: Junction,"[""Camino de Lava: Junction""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,24,24,24;24,2,,page156:tag:entity24:key0012A0D1:ref24:ord0;page168:tag:entity24:key0012A0D1:ref24:ord0,カミーノ・デ・ラーバ / 三叉路,NEXT AREA [ CAMINO DE LAVA: JUNCTION ],カフェタル・アロマ・エンカンタド / 精製所,,,,NOT_CHECKED,38,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,25,25,25;25,2,,page156:tag:entity25:key0008F1C2:ref25:ord0;page168:tag:entity25:key0008F1C2:ref25:ord0,NEXT AREA [ CAMINO DE LAVA: JUNCTION ],カフェタル・アロマ・エンカンタド / 精製所,NEXT AREA [ CAFETAL AROMA ENCANTADO: MILL ],,,,NOT_CHECKED,60,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,迷香咖啡园：磨坊,"[""迷香咖啡园：磨坊""]",Cafetal Aroma Encantado: Mill,"[""Cafetal Aroma Encantado: Mill""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,26,26,26;26,2,,page156:tag:entity26:key0012A0D1:ref26:ord0;page168:tag:entity26:key0012A0D1:ref26:ord0,カフェタル・アロマ・エンカンタド / 精製所,NEXT AREA [ CAFETAL AROMA ENCANTADO: MILL ],アルデア・ロス・デスピェルトス,,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,27,27,27;27,2,,page156:tag:entity27:key0008F1C2:ref27:ord0;page168:tag:entity27:key0008F1C2:ref27:ord0,NEXT AREA [ CAFETAL AROMA ENCANTADO: MILL ],アルデア・ロス・デスピェルトス,NEXT AREA [ ALDEA LOS DESPIERTOS ],,,,NOT_CHECKED,45,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,觉醒者村,"[""觉醒者村""]",Aldea Los Despiertos,"[""Aldea Los Despiertos""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
