jpn_base,jpn_ruby,cn_base,cn_ruby,occurrence_count
バシリスク,バシリスコ,Basilisk,Basilisco,2
バードウォッチャー,バーダー,观鸟者,BIRDER,3
プログラム内蔵,ストアドプログラム,存储程序,STORED PROGRAM,2
マカロン,macaroon,马卡龙,MACAROON,2
マザーベース,MSFのプラント,母基地,MSF PLANT,2
了解,レディ,了解,READY,2
仮想敵国,どこかのだれか,假想敌国,某个国家,2
六角,ヘックス,六边形,HEX,3
勝利,VICTORY,胜利,VICTORY,2
可搬型,ポータブル,便携式,PORTABLE,2
合衆国,ステイツ,美国,STATES,2
命令,アテンション,命令,ATTENTION,2
哺乳類,ママル,哺乳类,MAMMAL,4
国家軍事指揮センター,NMCC,国家军事指挥中心,NMCC,2
地図,マップ,地图,MAP,2
地獄,ヘル,地狱,HELL,3
場所,エリア,区域,AREA,4
大脳ＡＩ,ママルポッド,大脑AI,MAMMAL POD,2
天国,シエロ,天堂,CIELO,2
奴ら,CIA,他们,CIA,2
子供,チコ,孩子,CHICO,2
宇宙船,マーキュリー,宇宙船,MERCURY,2
希望,エスペランサ,希望,ESPERANZA,2
年齢,とし,年龄,AGE,2
幽霊,ゴースト,幽灵,GHOST,2
応答,アクノリッジ,应答,ACKNOWLEDGE,4
怪物,モンストルオ,怪物,MONSTRUO,2
新しい人間,オンブレ・ヌエボ,新人,HOMBRE NUEVO,4
暗殺者,アサシン,刺客,ASSASSIN,2
暗視装置,NVG,夜视装置,NVG,2
最期,ウィル,结局,WILL,2
本部,HQ,总部,HQ,2
本部,ＨＱ,总部,ＨＱ,2
槍,スピア,长矛,SPEAR,3
汚れ仕事,BLACK OPS,脏活,BLACK OPS,2
潜入工作員,スリーパー,潜伏特工,SLEEPER,2
狼,ロボ,狼,Lobo,2
異常,ストレンジ,奇怪,STRANGE,2
知識,ナレッジ,知识,KNOWLEDGE,2
第一設計局,OKB-1,第一设计局,OKB-1,2
米,アロス,米,ARROZ,2
米政府,ホワイトハウス,美国政府,WHITE HOUSE,2
級,クラス,级,CLASS,2
緊張緩和,デタント,缓和,DÉTENTE,6
聖ヨハネ,サン・ファン,圣约翰,San Juan,2
艀,はしけ,驳船,BARGE,3
蜂の巣,ハニカム,蜂巢,HONEYCOMB,2
象徴,イコン,象征,ICON,3
近接戦闘訓練施設,キルハウス,近身战斗训练设施,KILL HOUSE,2
連絡,CALL,联系,CALL,2
部隊,フレンテ,部队,FRENTE,2
降伏,ホールドアップ,投降,HOLD UP,2
零,ゼロ,零,ZERO,2
ＳＡＳ,Special Air Service,ＳＡＳ,Special Air Service,2
  核  ,デイビークロケット,核武器,Davy Crockett,1
  至急  ,on the double,火速,on the double,1
  馬  ,アンダルシアン,马,ANDALUSIAN,1
 F S L N ,サンディニスタ,FSLN,SANDINISTA,1
 KGB ,ツェントル,KGB,Tsentr,1
 NORAD ,シャイアン・マウンテン,NORAD,CHEYENNE MOUNTAIN,1
 ご飯 ,ガジョピント,饭,GALLO PINTO,1
 スイカ ,サンディーア,西瓜,sandía,1
 一 撃 必 殺 ,ワンショット・ワンキル,一 击 必 杀,one shot one kill,1
 乾期 ,ドライシーズン,旱季,Dry Season,1
 偽 装 ,カムフラージュ,伪装,Camouflage,1
 出 口 主 義 ,エグジッタンシアリスム,出 口 主 义,EXITENTIALISME,1
 分類学者 ,タクソノミスト,分类学家,Taxonomist,1
 制服 ,スーツマン,制服,西装男,1
 司 令 官 ,コマンダンテス・デラ・レボルシオン,指 挥 官,COMANDANTES DE LA REVOLUCION,1
 司令官 ,コマンダンテ,指挥官,COMANDANTE,2
 国 ,ニカラグア,祖国,尼加拉瓜,1
 地　獄 ,アウター・ヘブン,地　狱,OUTER HEAVEN,1
 奴ら ,CIAやKGB,那帮家伙,CIA AND KGB,1
 対象 ,レッドリスト,保护对象,红色名录,1
 幽霊 ,ファンタズマ,幽灵,FANTASMA,1
 彼女 ,ピースウォーカー,她,PEACE WALKER,1
 怪 物 狩 り ,モンスターハント,怪物狩猎,MONSTER HUNT,1
 懐古録 ,ノスタルジア,怀古录,NOSTALGIA,1
 支局長 ,ステーションチーフ,站长,Station Chief,1
 改造 ,チューンナップ,改装,TUNE-UP,1
 本 体 ,プラットフォーム,本 体,PLATFORM,1
 楽園 ,コスタリカ,乐园,哥斯达黎加,1
 溶岩の道 ,カミーノ・デ・ラーバ,熔岩之路,Camino de Lava,1
 特権階級 ,ノーメンクラツーラ,特权阶级,NOMENKLATURA,1
 狙撃 ,スナイピング,狙击,sniping,1
 祖国 ,ニカラグア,祖国,NICARAGUA,2
 空 ,CIPHER,空,CIPHER,1
 緑 ,ビリジアン,绿色,VIRIDIAN,1
 繭 ,コクーン,茧,Cocoon,1
 脚 ,ピースウォーカー,脚,PEACE WALKER,1
 自動報復 ,フェイル デッドリー,自动报复,Fail-deadly,1
 蛹 ,ピューパ,蛹,Pupa,1
 諜 報 機 関 ,インテリジェンス・コミュニティ,情 报 机 构,INTELLIGENCE COMMUNITY,1
 部屋 ,アパルトマン,房间,APPARTEMENT,1
 魂 ,エスピリトゥ,灵魂,ESPÍRITU,1
10代,ティーン,十几岁,TEEN,1
10年,ディケイド,10年,DECADE,1
14バーラ,12m,14瓦拉,12m,1
1954年の実験,キャッスル・ブラボー,1954年的试验,CASTLE BRAVO,1
1バーラ,80cm,1瓦拉,80cm,1
2バーラ,1.6m,2瓦拉,1.6m,1
2バーラ,約1.6m,2瓦拉,约1.6m,1
2年生,ソフモア,大二,SOPHOMORE,1
30バーラ,25m,30瓦拉,25m,2
3バーラ,2.5m,3瓦拉,2.5m,1
4バーラ,3m,4瓦拉,3m,1
70バーラ,50m,70瓦拉,50m,1
A,アルファ,A,ALPHA,1
CIA,やつら,CIA,THEM,1
CIA,カンパニー,CIA,COMPANY,1
FSLN兵,サンディニスタ,FSLN战士,SANDINISTA,1
Frontières,フロンティエール,Frontières,FRONTIÈRES,1
HU-1,ヒューイ,HU-1,HUEY,1
KGB,ツェントル,KGB,TSENTR,1
KGB,ルビヤンカ,KGB,LUBYANKA,1
MIRV,マーヴ,MIRV,分导式多弹头,1
MSF,うち,MSF,MSF,1
MSF,おれたち,MSF,我们,1
Militaires,ミリテール,Militaires,MILITAIRES,1
NASAの飛行場,ケープ・カナベラル,NASA的发射场,CAPE CANAVERAL,1
NORAD,ノーラッド,NORAD,NORAD,1
OPTIONS,オプション,选项,OPTIONS,2
RDS-220,ツァーリ・ボンバ,RDS-220,沙皇炸弹,1
SALT II,ソルト ツー,SALT II,SALT II,2
Sans,サン,Sans,SANS,1
V,ピース,V,PEACE,1
Z,ズールー,Z,ZULU,1
ZEKE,これ,ZEKE,这个,1
chrysalis,クリサリス,chrysalis,CHRYSALIS,1
“リスプレンデント・ケツァール”,カザリキヌバネドリ,‘凤尾绿咬鹃’,Resplendent Quetzal,1
“勝利まで永遠に”,Hasta la victoria siempre,“永远走向胜利”,Hasta la victoria siempre,1
“彼女”,ママルポッド,“她”,MAMMAL POD,1
“怪物”,メタルギア,“怪物”,METAL GEAR,1
“息子たち”,バックアッププラン,“儿子们”,BACKUP PLAN,1
“成虫”,イメイゴ,‘成虫’,Imago,1
“教授”,ガルベス,“教授”,GALVEZ,1
“槍”,スピア,“长矛”,SPEAR,1
“機械の中の幽霊”,ゴースト・イン・ザ・マシーン,“机器中的幽灵”,GHOST IN THE MACHINE,1
“潜友”,トモダチ,“潜友”,FRIEND,1
“隠れんぼ”は終わりだ さあ 何者だ？,Fini de jouer a cache-cache. Dit moi qui tu es.,‘捉迷藏’结束了。说吧，你是谁？,Fini de jouer a cache-cache. Dit moi qui tu es.,1
　 泥　 ,エル・セナガル,泥,El Cenegal,1
　C　4　,コンポジション4,C　4,Composition 4,1
　Z　,ズールー,Z,ZULU,1
　　輪　　,CO-OPリング,圈,CO-OP环,1
　カリブ海の沿岸　,マール・カリベのコステーニャ,加勒比海沿岸,CARIBBEAN COAST,1
　人　形　,イワン・イワノヴィチ,人　形,IVAN IVANOVICH,1
　命　,LIFEゲージ,命,LIFE槽,1
　命令　,アテンション,命令,ATTENTION,1
　場所　,ロケーション,地点,LOCATION,1
　彼　,ザ・ソロー,他,THE SORROW,1
　怪 物 の 島　,イスラ・デル・モンストルオ,怪 物 之 岛,ISLA DEL MONSTRUO,1
　戦士　,war fighter,战士,war fighter,1
　競合　,コンフリクト,冲突,CONFLICT,1
　米　,アロス,米,ARROZ,1
　船　,マーキュリー,船,MERCURY,1
　隠　顕　,ポップアップ,弹出式,POP-UP,1
「幸せに暮らしました」,ハッピー エバー アフター,“从此幸福地生活”,HAPPY EVER AFTER,1
『DELIVERY』,デリバリー,『DELIVERY』,DELIVERY,1
『RECRUIT』,リクルート,『RECRUIT』,RECRUIT,1
『TRADE』,トレード,『TRADE』,TRADE,1
『ZEKE』,ジーク,『ZEKE』,ZEKE,1
『任務』,ミッション,『任务』,MISSION,1
『天国の外側』,アウター・ヘブン,『世外天堂』,OUTER HEAVEN,1
『新しい人間』,オンブレ・ヌエボ,『新人』,HOMBRE NUEVO,1
あいつ,コールドマン,那家伙,COLDMAN,1
あのAI,ママルポッド,那个AI,MAMMAL POD,1
あの人,ザ・ボス,她,THE BOSS,1
あの女,ストレンジラブ,那个女人,STRANGELOVE,1
あの子,パス,那孩子,PAZ,1
あの搬入施設,プエルト・デル・アルバ,那座搬运设施,PUERTO DEL ALBA,1
あんた,VOS,你,VOS,1
おしまい,ゲームオーバー,结束,游戏结束,1
お前の基地,マザーベース,你的基地,MOTHER BASE,1
ここ,コスタリカ,这里,COSTA RICA,2
ここ,マザーベース,这里,MOTHER BASE,1
こっち,マザーベース,这边,MOTHER BASE,1
この国,アメリカ,这个国家,美国,1
この辺,コスタリカ,这一带,COSTA RICA,1
さもなければ 死しかない,ビクトリア オ ムエルテ,否则只有死亡,VICTORIA O MUERTE,1
さらわれた,アブタクト,抓走,abduct,1
さらわれたら,ラプタール,抓走,raptar,1
ぶら下がる,エルード,悬挂,ELUDE,1
みんな,フレンテ,大家,FRENTE,1
よく出来たな,ウエルダンだ,干得不错,Well done,1
よそ者,ウォーカー,外来者,WALKER,1
アーモンドパウダー,プードル・ダマンド,杏仁粉,POUDRE D'AMANDE,1
イエス,ヘスス,耶稣,Jesús,1
イギリス人,SAS,英国人,SAS,1
エクストラ,EXTRAS,附加内容,EXTRAS,1
エクレア,エクレール,闪电泡芙,ECLAIR,1
オオメジロザメ,チブロントロ,公牛鲨,tiburón toro,1
カリフォルニア工科大学,カルテク,加州理工学院,CALTECH,1
カリブ海の対岸,キューバ,加勒比海对岸,CUBA,1
ガルベス教授,KGB,Gálvez教授,KGB,1
コスタリカ,ここ,哥斯达黎加,这里,1
コスタリカ人,ティコ,哥斯达黎加人,Tico,1
コスタリカ開発公社,CODESA,哥斯达黎加发展公司,CODESA,2
コロンビア,ここ,哥伦比亚,这里,1
コンテナ,ターゲット,集装箱,TARGET,1
サンディニスタ,フレンテ,桑地诺派,FRENTE,1
サンディニスタ民族解放戦線,FSLN,桑地诺民族解放阵线,FSLN,1
シュークリーム,シュー・ア・ラ・クレーム ,泡芙,CHOU A LA CREME,1
ゼロ,CIPHER,Zero,CIPHER,1
ゼロ式,ZEKE,零式,ZEKE,1
ソ連第一設計局,OKB-1,苏联第一设计局,OKB-1,1
ソ連軍参謀本部情報総局,GRU,苏军总参谋部情报总局,GRU,1
ダイヤ,bort,金刚石,bort,1
ニカラグア人民,ニカ,尼加拉瓜人民,NICA,1
ハチドリ,コリブリ,蜂鸟,COLIBRI,1
ハーデ川,リオ・デル・ハーデ,哈德河,RIO DEL JADE,1
ヒョウタン,ポロンゴ,葫芦,porongo,1
ピースウォーカー,こいつ,和平行者,这家伙,1
フィナンシェ,フィナンシエ,费南雪,FINANCIER,1
フランス人か,A French...,法国人吗,A French...,1
プライド,サムライ,自尊,武士,1
ボスの紛い物,AI,Boss的仿制品,AI,1
マカロニ,macaroni,马卡罗尼,MACARONI,1
マカロン,macaron,马卡龙,MACARON,1
マカロン・パリジャン,macaron parisien,巴黎马卡龙,MACARON PARISIEN,1
マサチューセッツ工科大学,MIT,麻省理工学院,MIT,1
マザーベース,プラント,母基地,PLANT,1
ママルポッド,AI,MAMMAL POD,AI,1
ママルポッド,あれ,MAMMAL POD,THAT,1
ミルフィーユ,ミル・フイユ,千层酥,MILLE-FEUILLE,1
ヤツ,モンスター,家伙,MONSTER,1
ラテンアメリカ核兵器禁止機構,OPANAL,拉丁美洲禁止核武器组织,OPANAL,2
リーダー,コマンダンテ,领导者,COMANDANTE,1
上陸,ランディング,着陆,LANDING,1
世界,コミューン,世界,COMMUNE,1
中南米,ラテンアメリカ,中南美洲,LATIN AMERICA,1
中央保安部,CSS,中央保安部,CSS,1
中米,こっち,中美洲,这边,1
乳の森,セルバ・デ・ラ・レチェ,乳之森,Selva de la Leche,1
予,あらかじ,预先,ADVANCE,1
二人一組,ツーマンセル,两人一组,TWO-MAN CELL,2
二重語,doublet,同源异形词,doublet,1
亡霊,ゴースト,亡灵,GHOST,1
交, II,谈,II,1
交渉人,ネゴシエーター,谈判专家,NEGOTIATOR,1
人的諜報,ヒュミント,人力情报,HUMINT,1
仕事,ビジネス,工作,BUSINESS,1
他人,ひと,他人,HITO,1
代表者,デレガド,代表,DELEGADO,1
仲間,FSLN,伙伴,FSLN,1
仲間,コンパ,同伴,COMPA,1
仲間を誤射,フレンドリーファイア,误射同伴,友军误伤,1
休憩,ブレイク,休息,休息,1
何処,どこ,何处,哪里,2
作戦,ミッション,行动,MISSION,1
依,よ,依赖,RELY,1
依頼,オファー,委托,提议,1
俺たち,日本人,我们,日本人,1
俺達のボス,スネーク,我们的Boss,SNAKE,1
借り物,パクリ,借来,抄来,1
偉大な力,英雄度,伟大力量,英雄度,1
偽装,ダミー,伪装,模拟,1
僻地,へきち,偏远地区,偏远地区,1
兆候,サイン,征兆,迹象,1
先住民,インディヘナ,原住民,indígena,1
先魁,さきがけ,先驱,PIONEER,1
公式記録,デブリーフィング,官方记录,DEBRIEFING,1
共産主義者,アカ,共产主义者,RED,1
兵糧,レーション,口粮,RATION,1
列車車庫,ターミナル ,铁路货运站,TERMINAL,1
初代のソモサ,タチョ,第一代索摩查,Tacho,1
初期目標,ターゲット,初始目标,TARGET,1
勝つぞ,ベンセレーモス,我们必胜,VENCEREMOS,2
勝つぞ ,ベンセレーモス,我们必胜,VENCEREMOS,1
勝利,ビクトリア,胜利,VICTORIA,1
勝利,ヴィクトリー,胜利,Victory,1
勝利か死か,ビクトリア オ ムエルテ,胜利或死亡,Victoria o Muerte,1
勝利の,VIC,胜利的,VIC,1
北アメリカ航空宇宙防衛司令部,NORAD,北美防空司令部,NORAD,1
十八番,おはこ,拿手好戏,惯用手段,1
半バーラ,40cm,半瓦拉,40cm,1
半島戦争,スペイン独立戦争,半岛战争,西班牙独立战争,1
博士の異常な愛情,ドクター・ストレンジラブ,奇爱博士,DR. STRANGELOVE,1
危険,リスク,危险,RISK,1
反政府組織,FSLN,反政府组织,FSLN,1
古典的,クラシック,古典,CLASSIC,1
同期,シンクロ,同步,Sync,1
名誉,オナー,荣誉,HONOR,2
否定できる,ディナイアブルな,可否认的,DENIABLE,1
呼び出す事,CALL,呼叫,CALL,1
命中精度,CEP,命中精度,CEP,1
和平,カズヒラ,和平,KAZUHIRA,1
哀しみ,ソロー,悲伤,Sorrow,1
商売,ビジネス,生意,BUSINESS,1
喜び,ジョイ,喜悦,JOY,2
嗅ぎ煙草,スナッフ,鼻烟,鼻烟,1
回収,リカバリ,回收,RECOVERY,1
回収地点,ゴール,回收地点,GOAL,1
国境,サン・ファン河,国境,圣胡安河,1
国境,ニカラグア,边境,NICARAGUA,1
国境なき軍隊,MSF,无国界军队,MSF,1
国境なき軍隊,ミリテール・サン・フロンティエール,无国界军队,MILITAIRES SANS FRONTIÈRES,1
国家偵察局,NRO,国家侦察局,NRO,1
国家安全保障局,NSA,国家安全局,NSA,1
国家警備隊,グアルディア,国民警卫队,LA GUARDIA,1
国防,D,国防,D,1
国防情報局,DIA,国防情报局,DIA,1
国防総省外国語学校,DLI,国防部语言学院,DLI,1
国防高等研究企画局,DARPA,国防高级研究计划局,DARPA,1
地下核実験制限条約,TTBT ,地下核试验限制条约,TTBT,1
地点,ポイント,地点,POINT,1
地点 Ｂ,ポイントブラボー,地点 B,POINT BRAVO,1
均衡,バランス,均衡,BALANCE,2
基地,ベース,基地,BASE,2
基盤,ベース,基地,基地,1
堪,こた,撑,承受,1
増援は出せない,ネガティブ,无法派出增援,NEGATIVE,1
大戦中,かつて,大战期间,ONCE,1
大鍋,カルデラ,大锅,CALDERA,1
失敗,ミス,过错,MISTAKE,1
女性,ひと,女人,人,2
妨害,ブラックアウト,干扰,BLACKOUT,1
宇宙人が連れてきた怪物,エイリアン・アニマル,外星人带来的怪物,ALIEN ANIMAL,1
家畜,キャトル,家畜,CATTLE,1
宿命,カルマ,宿命,KARMA,1
専門家,エキスパート,专家,EXPERT,1
将軍の名前,サンディーノ,将军的名字,Sandino,1
小さな戦士,チコ,小战士,奇科,1
小型核弾頭,デイビークロケット,小型核弹头,DAVY CROCKETT,1
小癪,こしゃく,碍事,PESKY,1
局面,フェイズ,阶段,PHASE,1
居住区域,バラック,居住区,BARRACKS,1
川沿いの拠点,リオ・デル・ハーデ,河边据点,RIO DEL JADE,1
帰還報告,デブリーフィング,任务报告,DEBRIEFING,2
幕僚部民政局,GS,参谋部民政局,GS,1
平和,PEACE,和平,PEACE,1
平和歩行計画,ピースウォーカー,和平行者计划,PEACE WALKER,3
引き受けた,ディールだ,成交,DEAL,1
弟子,サン,弟子,SON,2
強制収容所,ラーゲリ,强制收容所,LAGER,1
弾丸,タマ,子弹,子弹,1
弾道ミサイル早期警戒システム,BMEWS,弹道导弹预警系统,BMEWS,1
役割を演じる,ロールプレイ,扮演角色,ROLE PLAY,1
彼ら,FSLN,他们,FSLN,1
彼女,クドリャフカ,她,KUDRYAVKA,1
彼女,ストレンジラブ,她,STRANGELOVE,1
彼女達,FSLN,她们,FSLN,1
待ち伏せ,アンブッシュ,伏击,AMBUSH,3
待機,スタンバイ,待机,STANDBY,1
忠,loyalty,忠诚,loyalty,1
怪 物 狩 り ,モンスター ハンティング,怪物狩猎,MONSTER HUNTING,1
怪物,モンスター,怪物,MONSTER,1
悪夢,フィクション,噩梦,FICTION,1
意志,WILL,意志,WILL,1
愚連隊,ノーマッド,暴徒,NOMAD,1
愛国心,patriotism,爱国心,patriotism,1
愛国者,パトリオット,爱国者,PATRIOT,2
感情移入能力,エンパシー,共情能力,EMPATHY,1
戦争の犬たち,ザ・ドッグズ・オブ・ウォー,战争之犬,DOGS OF WAR,1
戦士,War fighter,战士,War fighter,1
戦略兵器制限交渉,SALT,战略武器限制谈判,SALT,1
戦略空軍,SAC,战略空军,SAC,1
戯言,ざれごと,胡言乱语,胡话,1
所詮,しょせん,说到底,SHOSEN,1
手榴弾,パイナップル,手榴弹,pineapple,1
承認処理,アクノリッジ,确认处理,确认,1
技術者,ターゲット,技术人员,TARGET,1
抑止力,同じ事,威慑力,话,1
抹殺計画,スネーク イーター,消灭叛徒计划,食蛇者行动,1
指定,タギング,指定,TAGGING,1
捌,さば,合众国,美国,1
援護,カバー,掩护,COVER,1
携行型核砲弾,デイビー・クロケット,便携式核炮弹,DAVY CROCKETT,1
操作,アクション,操作,ACTION,1
支援,バックアップ,支援,BACKUP,1
攻撃ヘリ,ガンシップ,攻击直升机,GUNSHIP,1
放射性降下物,フォールアウト,放射性沉降物,FALLOUT,2
放浪者,ノーマッド,流浪者,Nomad,1
政府機関紙,イズベチヤ,政府机关报,IZVESTIA,1
故郷,アメリカ,故乡,美国,1
敵を見失った,ロストコンタクト,失去敌踪,LOST CONTACT,1
敵兵,ライブターゲット,敌兵,LIVE TARGET,1
暗号,CIPHER,暗号,CIPHER,1
暗号名,コードネーム,代号,CODE NAME,1
最優先目標,ターゲット,最高优先目标,TARGET,1
最期の思考,ラストウィル,最后思念,遗愿,1
未確認飛行物体,UFO,未确认飞行物体,UFO,1
本当,ネイキッド,真实,NAKED,1
本拠地,マザーベース,大本营,MOTHER BASE,1
核,フォコ,核心,FOCO,1
核不拡散条約,NPT,核不扩散条约,NPT,1
核出力,イールド,核当量,YIELD,1
核弾頭,積み荷,核弹头,CARGO,1
業,わざ,成果,WAZA,1
楽園,エリュシオン,乐园,ELYSIUM,1
標的を見失った,ターゲットロスト,失去目标,TARGET LOST,1
歓喜,ジョイ,欢喜,JOY,1
死の灰,フォールアウト,死之灰,FALLOUT,1
死んだ手,DEAD HAND,死手,DEAD HAND,1
民兵,ミニットマン,民兵,MINUTEMAN,1
民心獲得作戦,ハーツアンドマインド,争取民心行动,Hearts and Minds,1
流浪の民,ノーマッド,流浪之民,NOMAD,1
海洋温度差発電,OTEC,海洋温差发电,OTEC,1
準軍事部隊,パラミリタリー,准军事部队,PARAMILITARY,1
潜入任務,スニーキングミッション,潜入任务,SNEAKING MISSION,1
無人飛行機,UAV,无人飞机,UAV,1
無線,CALL,呼叫,CALL,1
煙草,シガレット,香烟,CIGARETTE,3
照準線,LOS,瞄准线,LOS,1
熟練兵,ベテラン,老兵,veteran,1
熱き,ホット,热血,Hot,1
熱帯雲霧林,クラウド・フォレスト,热带云雾林,CLOUD FOREST,1
熱帯雲霧林,ジャングル,热带云雾林,JUNGLE,1
爆弾の皇帝,ツァーリボンバ,炸弹皇帝,TSAR BOMBA,1
爆薬保管庫,イグルー,爆药保管库,IGLOO,1
特撮,SFX,特效,SFX,1
狙い撃つ,スナイプ,狙击,SNIPE,1
狙撃,スナイプ,狙击,SNIPE,1
狩り,ハント,狩猎,HUNT,1
狩猟,ハント,狩猎,HUNT,1
猟犬,ハウンド,猎犬,hound,1
現地工作員,エージェント,当地特工,AGENT,1
理由,わけ,理由,缘由,1
生きる屍,リビング・デッド,活死人,LIVING DEAD,1
生命,いのち,生命,LIFE,1
発射,ランチ,发射,LAUNCH,1
目的,ミッション,目的,任务,1
相棒,ミラー,搭档,Miller,1
研究室,ラボ,研究室,LAB,1
研究所,ラボ,研究所,LAB,1
祖国か死か,パトリア オ ムエルテ,祖国或死亡,Patria o Muerte,1
私がオニね,C'est moi le loup!,这次我当鬼,C'est moi le loup!,1
私生児,バスタード,私生女,BASTARD,2
秘密軍事組織,OAS,秘密军事组织,OAS,1
空中指揮所,カバーオール,空中指挥所,COVERALL,1
突然変異,ミューテーション,突然变异,MUTATION,1
立案,プラン,策划,策划,1
竜,ドラゴン,龙,DRAGON,1
第二次戦略兵器制,SALT,第二次战略武器制,SALT,1
米国防総省,ペンタゴン,美国国防部,五角大楼,1
紙巻き,シガレット,卷烟,CIGARETTE,1
終わり,ジ・エンド,终结,THE END,1
終末段階,ターミナル・フェイズ,末段,TERMINAL PHASE,1
組織,MSF,组织,MSF,1
結合,アセンブル,结合,ASSEMBLE,1
結末,エンディング,结局,ENDING,1
絞首台,エル・カダルソ,绞刑架,El Cadalso,1
統合参謀本部議長,CJCS,参谋长联席会议主席,CJCS,1
背,そむ,背叛,SOMU,1
脆弱,ぜいじゃく,脆弱,薄弱,1
自国,アメリカ,本国,AMERICA,2
自律歩行型核兵器,モビルランチャー,自主步行核兵器,移动发射台,1
自然活動,シグネチャー,自然活动,SIGNATURE,1
自由な人々の将軍,ヘネラル デ オンブレス リブレス,自由人的将军,General de Hombres Libres,1
自由な祖国か 死か,パトリア・リブレ・オ・モリール,祖国自由，或死亡,PATRIA LIBRE O MORIR,1
