source,container,stream_index,stream_offset,next_text_stream_offset,distance_to_next_text_stream,stream_probe_size,parsed_extent,valid_data_overlaps_next_stream,block_index,block_offset_in_stream,block_file_offset,block_total_size,block_end_file_offset,field_04_hex,field_08_hex,version,relative_value,size_minus_four,field_1c_hex,offset_table_file_offset,text_base_file_offset,text_capacity,briefing_id,translation_unit_id,logical_ids_json,identifier_status,text_index,text_relative_offset,text_file_offset,terminator_file_offset,terminator_present,jpn_text,jpn_control_tokens,jpn_utf8_bytes,parse_status,parse_error,cn_text,lane,file_id,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason,eng_source_rows_json,alignment_shape
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,10,1196,0x500,0x54F,YES,"もともとは、プラントを増築していく計画だったんだな。
",[],79,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"这么说他们原本是打算
扩建这地方的，是吧？","[""这么说他们原本是打算\n扩建这地方的，是吧？""]","So they were originally planning on expanding the
place, huh?
","[""So they were originally planning on expanding the\nplace, huh?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#18; block_semantic_score=0.258965.,"[""0x944B0#18""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,11,1276,0x550,0x5DC,YES,"俺たちがそいつをやってやろう。人を集めて、物を作り、
MSFの拠点として、プラントを拡大するんだ。
",[],140,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"我们可以多召集一些人，
把这地方建成MSF真正的家。","[""我们可以多召集一些人，\n把这地方建成MSF真正的家。""]","We can get some more people together and build
this place up into a proper home for MSF.
","[""We can get some more people together and build\nthis place up into a proper home for MSF.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#20; block_semantic_score=0.258965.,"[""0x944B0#20""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,12,1417,0x5DD,0x5FC,YES,"よろしく頼む、ボス。
",[],31,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,Boss，这件事你支持我吧？,"[""Boss，这件事你支持我吧？""]","You're with me on this, right, Boss?
","[""You're with me on this, right, Boss?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#21; block_semantic_score=0.258965.,"[""0x944B0#21""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,1,0x790,0x790,544,0x9B8,0xFFFFFFFF,0xFFFFFFFF,20,40,540,0x00000000,0x7B0,0x7C4,500,,STREAM_000000_BLOCK_0790,[],NONE,0,0,0x7C4,0x870,YES,"新型のプラントは<R=六角,ヘックス>タイプだ。今までのものより面積も
広いし、増築も計画的に行える。派手に拡大出来るぞ。
","[""<R=六角,ヘックス>""]",172,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000790,"新平台是六边形结构的，
这让它比以前的结构有更大的表面积，","[""新平台是六边形结构的，\n这让它比以前的结构有更大的表面积，""]","The new plant is a hex type. That gives it more
surface area than previous types
","[""The new plant is a hex type. That gives it more\nsurface area than previous types\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x790; ENG blocks=0x94D00; ENG source rows=0x94D00#0; block_semantic_score=0.185934.,"[""0x94D00#0""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,1,0x790,0x790,544,0x9B8,0xFFFFFFFF,0xFFFFFFFF,20,40,540,0x00000000,0x7B0,0x7C4,500,,STREAM_000000_BLOCK_0790,[],NONE,1,173,0x871,0x8BB,YES,"<R=六角,ヘックス>か。<R=蜂の巣,ハニカム>みたいだな。
","[""<R=六角,ヘックス>"", ""<R=蜂の巣,ハニカム>""]",74,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000790,"而且也更容易规划扩建。
我们要把这地方做大做强。六边形啊，像蜂巢一样。","[""而且也更容易规划扩建。\n我们要把这地方做大做强。六边形啊，像蜂巢一样。""]","and also makes it easier to plan expansions. We're
gonna make this place huge.
Hex, huh. Like a beehive.
","[""and also makes it easier to plan expansions. We're\ngonna make this place huge.\nHex, huh. Like a beehive.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x790; ENG blocks=0x94D00,0x94D00; ENG source rows=0x94D00#1,0x94D00#2; block_semantic_score=0.185934.","[""0x94D00#1"", ""0x94D00#2""]",1:2
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,1,0x790,0x790,544,0x9B8,0xFFFFFFFF,0xFFFFFFFF,20,40,540,0x00000000,0x7B0,0x7C4,500,,STREAM_000000_BLOCK_0790,[],NONE,2,248,0x8BC,0x968,YES,"<R=蜂の巣,ハニカム>、結構じゃないか。ハニカム構造は強度が高いって
言うぞ。戦車の装甲にも採用が検討されていると聞く。
","[""<R=蜂の巣,ハニカム>""]",172,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000790,"这没什么不好。据说蜂巢
结构是最坚固的设计之一。我听说他们甚至在考虑
把它用在坦克装甲上。","[""这没什么不好。据说蜂巢\n结构是最坚固的设计之一。我听说他们甚至在考虑\n把它用在坦克装甲上。""]","Nothing wrong with that. They say the honeycomb
design is one of the strongest.
I hear they're even thinking of using it in tank
armor.
","[""Nothing wrong with that. They say the honeycomb\ndesign is one of the strongest.\nI hear they're even thinking of using it in tank\narmor.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x790; ENG blocks=0x94D00,0x94D00; ENG source rows=0x94D00#3,0x94D00#4; block_semantic_score=0.185934.","[""0x94D00#3"", ""0x94D00#4""]",1:2
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,1,0x790,0x790,544,0x9B8,0xFFFFFFFF,0xFFFFFFFF,20,40,540,0x00000000,0x7B0,0x7C4,500,,STREAM_000000_BLOCK_0790,[],NONE,3,421,0x969,0x99D,YES,"了解だ。せっせと蜜を運ぶとしよう。
",[],52,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000790,"这样就够了。我去想办法
给我们找些""工蜂""来。","[""这样就够了。我去想办法\n给我们找些\""工蜂\""来。""]","Good enough for me. I'll see about finding us some
worker bees.
","[""Good enough for me. I'll see about finding us some\nworker bees.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x790; ENG blocks=0x94D00; ENG source rows=0x94D00#5; block_semantic_score=0.185934.,"[""0x94D00#5""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,1,0x790,0x790,544,0x9B8,0xFFFFFFFF,0xFFFFFFFF,20,40,540,0x00000000,0x7B0,0x7C4,500,,STREAM_000000_BLOCK_0790,[],NONE,4,474,0x99E,0x9B7,YES,"頼んだぞ、ボス。
",[],25,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000790,谢了，Boss。,"[""谢了，Boss。""]","Appreciate it, Boss.
","[""Appreciate it, Boss.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x790; ENG blocks=0x94D00; ENG source rows=0x94D00#6; block_semantic_score=0.185934.,"[""0x94D00#6""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,2,0xA80,0xA80,388,0xC0C,0xFFFFFFFF,0xFFFFFFFF,20,48,384,0x00000000,0xAA0,0xABC,336,,STREAM_000000_BLOCK_0A80,[],NONE,0,0,0xABC,0xAEA,YES,"ちなみに女王蜂は誰になるんだ？
",[],46,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000A80,"话说回来，Kaz，
你觉得谁会是我们的蜂后？","[""话说回来，Kaz，\n你觉得谁会是我们的蜂后？""]","By the way, Kaz, who do you think's our queen bee?
","[""By the way, Kaz, who do you think's our queen bee?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0xA80; ENG blocks=0x94FD0; ENG source rows=0x94FD0#0; block_semantic_score=0.084801.,"[""0x94FD0#0""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,2,0xA80,0xA80,388,0xC0C,0xFFFFFFFF,0xFFFFFFFF,20,48,384,0x00000000,0xAA0,0xABC,336,,STREAM_000000_BLOCK_0A80,[],NONE,1,47,0xAEB,0xB22,YES,"そうだな？　俺はパスだと思うけどな。
",[],55,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000A80,好问题。我觉得可能是Paz。,"[""好问题。我觉得可能是Paz。""]","Good question. I was thinking maybe Paz.
","[""Good question. I was thinking maybe Paz.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0xA80; ENG blocks=0x94FD0; ENG source rows=0x94FD0#1; block_semantic_score=0.084801.,"[""0x94FD0#1""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,2,0xA80,0xA80,388,0xC0C,0xFFFFFFFF,0xFFFFFFFF,20,48,384,0x00000000,0xAA0,0xABC,336,,STREAM_000000_BLOCK_0A80,[],NONE,2,103,0xB23,0xB51,YES,"そうか、俺はストレンジラブ…。
",[],46,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000A80,嗯…我觉得会是Strangelove…,"[""嗯…我觉得会是Strangelove…""]","Hmm. I was thinking Strangelove...
","[""Hmm. I was thinking Strangelove...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0xA80; ENG blocks=0x94FD0; ENG source rows=0x94FD0#2; block_semantic_score=0.084801.,"[""0x94FD0#2""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,2,0xA80,0xA80,388,0xC0C,0xFFFFFFFF,0xFFFFFFFF,20,48,384,0x00000000,0xAA0,0xABC,336,,STREAM_000000_BLOCK_0A80,[],NONE,3,150,0xB52,0xB80,YES,"そうだな、セシールもそうかも。
",[],46,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000A80,这倒说得通。或者也可能是Cecile。,"[""这倒说得通。或者也可能是Cecile。""]","I can see that. Or maybe Cecile.
","[""I can see that. Or maybe Cecile.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0xA80; ENG blocks=0x94FD0; ENG source rows=0x94FD0#3; block_semantic_score=0.084801.,"[""0x94FD0#3""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,2,0xA80,0xA80,388,0xC0C,0xFFFFFFFF,0xFFFFFFFF,20,48,384,0x00000000,0xAA0,0xABC,336,,STREAM_000000_BLOCK_0A80,[],NONE,4,197,0xB81,0xBAF,YES,"いや、アマンダとも云えるかも。
",[],46,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000A80,转念一想，我可能会选Amanda。,"[""转念一想，我可能会选Amanda。""]","On second thought, I might go with Amanda.
","[""On second thought, I might go with Amanda.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP,JPN is authoritative; auxiliary alignment=FILES_BRACKETED_LOCAL_CONTEXT_PLUS_ROW_DP; shape=1:1; JPN blocks=0xA80; ENG blocks=0x94FD0; ENG source rows=0x94FD0#4; block_semantic_score=0.084801.,"[""0x94FD0#4""]",1:1
