file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7C736D,0,,,,,record0:segment0:timing0-0,,何かロック部分を壊す手段は無いか？,糸鋸だ スネーク\n糸鋸を使えば脱出できる,,有什么办法能破坏那把锁吗？,,MATCH,51,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,16,,,,,record10:segment0:timing84-128,高いところに脱出できそうな開口部はないか？\n探してみろ,糸鋸を挽くにはアイコンのボタンを交互に押すんだ,音を聞かれないようにな,,用钢丝锯时，要交替按图标对应的按键。,,MATCH,69,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,17,,,,,record10:segment1:timing0-0,糸鋸を挽くにはアイコンのボタンを交互に押すんだ,音を聞かれないようにな,アイコンのボタンを交互に押して糸鋸を使うんだ,,别让他们听到声音。,,MATCH,33,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,18,,,,,record11:segment0:timing83-117,音を聞かれないようにな,アイコンのボタンを交互に押して糸鋸を使うんだ,音には気をつけてくれよ,,交替按图标对应的按键使用钢丝锯。,,MATCH,66,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,19,,,,,record11:segment1:timing0-0,アイコンのボタンを交互に押して糸鋸を使うんだ,音には気をつけてくれよ,尋問が終わったらしいな,,注意别弄出声音。,,MATCH,33,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,20,,,,,record12:segment0:timing0-0,音には気をつけてくれよ,尋問が終わったらしいな,戻ってきたか\n無事だといいが…,,审讯好像结束了。,,MATCH,33,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,21,,,,,record13:segment0:timing0-0,尋問が終わったらしいな,戻ってきたか\n無事だといいが…,どうやら喋らなかったようだな\nさすがボスのバディだ,,回来了啊。\n希望他没事……,,MATCH,44,38,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,22,,,,,record14:segment0:timing0-0,戻ってきたか\n無事だといいが…,どうやら喋らなかったようだな\nさすがボスのバディだ,一人連れて行かれたか\n耐えてくれよ…,,看来他什么都没说。\n不愧是Boss的搭档。,,MATCH,74,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,23,,,,,record15:segment0:timing0-0,どうやら喋らなかったようだな\nさすがボスのバディだ,一人連れて行かれたか\n耐えてくれよ…,持って行かれたな\n…無事に帰って来いよ,,有一个人被带走了吗。\n撑住啊……,,MATCH,53,47,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,24,,,,,record16:segment0:timing0-0,一人連れて行かれたか\n耐えてくれよ…,持って行かれたな\n…無事に帰って来いよ,連行されたか\nウタうなよ…頼むぜ…,,被带走了啊。\n……一定要平安回来。,,MATCH,56,50,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,25,,,,,record17:segment0:timing0-0,持って行かれたな\n…無事に帰って来いよ,連行されたか\nウタうなよ…頼むぜ…,仲間を置き去りにする気か？,,被押走了吗。\n别招供啊……拜托了……,,MATCH,50,53,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,26,,,,,record18:segment0:timing0-0,連行されたか\nウタうなよ…頼むぜ…,仲間を置き去りにする気か？,仲間と一緒に脱出するんだ,,你打算把同伴丢下吗？,,MATCH,39,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,27,,,,,record19:segment0:timing0-0,仲間を置き去りにする気か？,仲間と一緒に脱出するんだ,仲間がいる独房のロックを開けないか？,,和同伴一起逃出去。,,MATCH,36,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,28,,,,,record20:segment0:timing0-0,仲間と一緒に脱出するんだ,仲間がいる独房のロックを開けないか？,制御室で独房のロックを解くんだ,,不能把关着同伴的牢房打开吗？,,MATCH,54,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,29,,,,,record21:segment0:timing0-0,仲間がいる独房のロックを開けないか？,制御室で独房のロックを解くんだ,何とかして仲間を助けてくれ スネーク\n一緒に脱出するんだ,,在控制室解除牢房的锁。,,MATCH,45,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,30,,,,,record22:segment0:timing0-0,制御室で独房のロックを解くんだ,何とかして仲間を助けてくれ スネーク\n一緒に脱出するんだ,ダメだ 警戒レベルが高いとそのドアは開かない,,想办法救出同伴，Snake。\n一起逃出去。,,MATCH,81,52,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,31,,,,,record23:segment0:timing90-134,何とかして仲間を助けてくれ スネーク\n一緒に脱出するんだ,ダメだ 警戒レベルが高いとそのドアは開かない,警戒レベルが下がるのを待つんだ,,不行，警戒级别太高时那扇门打不开。,,MATCH,64,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,32,,,,,record23:segment1:timing0-0,ダメだ 警戒レベルが高いとそのドアは開かない,警戒レベルが下がるのを待つんだ,時間がない\nピースウォーカーの格納庫へ向かってくれ,,等警戒级别降下来。,,MATCH,45,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,33,,,,,record24:segment0:timing0-0,警戒レベルが下がるのを待つんだ,時間がない\nピースウォーカーの格納庫へ向かってくれ,ピースウォーカーは起動準備中だ\n急いでくれ！,,没时间了。\n去和平行者的机库。,,MATCH,74,44,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C736D,34,,,,,record25:segment0:timing0-0,時間がない\nピースウォーカーの格納庫へ向かってくれ,ピースウォーカーは起動準備中だ\n急いでくれ！,,,和平行者正在准备启动。\n快！,,MATCH,65,41,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
