selector,atlas_width,atlas_height,pixel_size,padding,packing_algorithm,selector_requirement,retained_clean_glyph_count,retained_zero_bitmap_records,han_override_count,new_missing_han_count,missing_non_han_count,generated_glyph_count,total_final_glyph_count,packed_rectangle_count,projected_used_texels,projected_usage_percent,free_texels,packed_height,overflow
00c7c9f9.xpr,4096,4096,66,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,13756637,81.996,3020579,3401,NO
00c7c9f9.xpr,4096,4096,66,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,14592167,86.976,2185049,3571,NO
001cbbd1.xpr,4096,4096,52,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,8853728,52.772,7923488,2202,NO
001cbbd1.xpr,4096,4096,52,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,9515240,56.715,7261976,2394,NO
001cbbd1.xpr,4096,4096,56,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,10126048,60.356,6651168,2524,NO
001cbbd1.xpr,4096,4096,56,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,10833000,64.570,5944216,2670,NO
001cbbd1.xpr,4096,4096,58,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,10796288,64.351,5980928,2664,NO
001cbbd1.xpr,4096,4096,58,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,11525960,68.700,5251256,2876,NO
001cbbd1.xpr,4096,4096,60,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,11489248,68.481,5287968,2870,NO
001cbbd1.xpr,4096,4096,60,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,12241640,72.966,4535576,3026,NO
001cbbd1.xpr,4096,4096,62,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,12204928,72.747,4572288,3020,NO
001cbbd1.xpr,4096,4096,62,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,12980040,77.367,3797176,3180,NO
001cbbd1.xpr,4096,4096,64,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,12943328,77.148,3833888,3174,NO
001cbbd1.xpr,4096,4096,64,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,13741160,81.904,3036056,3406,NO
001cbbd1.xpr,4096,4096,66,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,13704448,81.685,3072768,3400,NO
001cbbd1.xpr,4096,4096,66,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,142,0,143,2578,119,2840,2982,2982,14525000,86.576,2252216,3640,NO
