file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DCDD1C4,0,0,0;0,2,,page28:tag2:entity23:key00BE55EF:ref0:ord0;page40:tag1:entity23:key00BE55EF:ref0:ord0,,BRIEFING FILES,・,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,11,11,11;11,2,,page28:tag2:entity4:key00201843:ref11:ord0;page40:tag1:entity4:key00201843:ref11:ord0,UNKNOWN,ストレンジラブ,スネーク＆ミラー,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,12,12,12;12,2,,page28:tag2:entity20:key009F57BB:ref12:ord0;page40:tag1:entity20:key009F57BB:ref12:ord0,ストレンジラブ,スネーク＆ミラー,スネーク,,,,NOT_CHECKED,24,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,13,13,13;13,2,,page28:tag2:entity7:key00235E68:ref13:ord0;page40:tag1:entity7:key00235E68:ref13:ord0,スネーク＆ミラー,スネーク,パス,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,14,14,14;14,2,,page28:tag2:entity9:key0028BB4D:ref14:ord0;page40:tag1:entity9:key0028BB4D:ref14:ord0,スネーク,パス,－－,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,15,15,15;15,2,,page28:tag2:entity15:key006D472A:ref15:ord0;page40:tag1:entity15:key006D472A:ref15:ord0,パス,－－,ミラー,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,16,16,16;16,2,,page28:tag2:entity6:key0021516A:ref16:ord0;page40:tag1:entity6:key0021516A:ref16:ord0,－－,ミラー,ヒューイ,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,17,17,17;17,2,,page28:tag2:entity2:key0013B77E:ref17:ord0;page40:tag1:entity2:key0013B77E:ref17:ord0,ミラー,ヒューイ,資料ファイル,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,18,18,18;18,2,,page28:tag2:entity1:key0012884A:ref18:ord0;page40:tag1:entity1:key0012884A:ref18:ord0,ヒューイ,資料ファイル,EVA,,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,19,19,19;19,2,,page28:tag2:entity8:key002891D4:ref19:ord0;page40:tag1:entity8:key002891D4:ref19:ord0,資料ファイル,EVA,チコ,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,20,20,20;20,2,,page28:tag2:entity5:key00207D71:ref20:ord0;page40:tag1:entity5:key00207D71:ref20:ord0,EVA,チコ,セシール,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,21,21,21;21,2,,page28:tag2:entity24:key00DCC628:ref21:ord0;page40:tag1:entity24:key00DCC628:ref21:ord0,チコ,セシール,ザ・ボスAI,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,22,22,22;22,2,,page28:tag2:entity19:key0084E8AB:ref22:ord0;page40:tag1:entity19:key0084E8AB:ref22:ord0,セシール,ザ・ボスAI,アマンダ,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,23,23,23;23,2,,page28:tag2:entity12:key005BD921:ref23:ord0;page40:tag1:entity12:key005BD921:ref23:ord0,ザ・ボスAI,アマンダ,BACK,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DCDD1C4,24,24,24;24,2,,page28:tag2:entity11:key003011A2:ref24:ord0;page40:tag1:entity11:key003011A2:ref24:ord0,アマンダ,BACK,BRIEFING FILES,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
